CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q3 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	3672273	3154196	3251944	3116983	2954573	2911246	2807896	2915958	3067355	3042529	2708585	2667643	2619488	2807834	2136727	1851503	1798789	1875452	1926213	1648044	1581495	1457824	1475442	1506584	1477146	1282357	1144787	1185807	1354218	1220477	1121719	1156670	1147134	1147134	1078943	1034672	1048795	1165051	1169577	1162932	1075000	1123944	1239231	1239231	1519466	1697357	1464283	1187771	1203910	875687	798895	997642	998634	1095103	705521	965378	864095	787824	567778	441220	495184	560978	305507	157217	249567	179250
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	190332	105209	61412	61412	43252	97930	115829	212906	212893	230036	290837	442644	564028	264028	95638	160597	142561	226732	226732	142420	53906	17744	22840	22840	132535	28867	50511	30549	30549	46506	9815	10029	20909	20909	11475	23439	16857	14859	12919	11283	60954	21107	56948	56948	45072	67489	18785	24039	24039	15225	39065	55280	128942	392940	29640	17008	11633	17292	17079	71714	148053	264679	94360	27927	6914	7397
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	26430	41000	19000	19000	0	50660	20000	96000	96000	77000	77000	77000	27000	351660	61000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1940	0	0	0	0	0	0	0	0	0	0	13938	43938	202355	221655	28155	0	0	504	504	504	0	10575	13814	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2444421	1968748	2246063	2142514	2147426	2016337	1720870	1694797	1874774	1837871	1425208	1501532	1445068	1618613	1412264	1178455	1136702	1016694	1053219	1087576	1112715	1045626	1057379	1085437	962410	849537	665123	688692	857102	720660	695445	675904	682327	682327	635085	605832	631356	764607	764611	691086	648313	630057	655392	655392	602682	765926	709695	480316	474409	478094	386307	404650	373384	405743	493006	669437	544562	438701	232560	208603	190204	181721	142089	60008	176140	130606
Hàng tồn kho###Inventory	890224	902398	824799	790127	667352	657697	861327	833235	822718	817652	843814	593264	538976	527746	537360	459544	458194	569469	574061	374316	377340	361190	355207	357778	347211	376258	368830	405001	405001	390490	358129	397711	356529	356529	352415	340347	334686	329536	334118	403449	312920	405573	459035	459035	791995	792216	671158	621782	635874	307871	275655	277380	239381	230037	137853	256690	285664	310515	297053	150869	140532	94287	63368	64598	59586	36565
Tài sản ngắn hạn khác###Other Current Assets	120865	136841	100670	103930	96543	88622	89870	79020	60970	79970	71726	53203	44415	45789	30465	32906	61332	62557	72201	43732	37533	33264	40015	40528	34990	27696	60324	61566	61566	62821	58330	73026	87368	87368	79968	65054	65897	56049	55990	57115	52812	67206	67856	67856	79716	71726	64645	61633	69589	60559	53930	57977	35272	38228	45021	22243	21732	20811	20581	10035	5820	6476	5689	4683	6926	4682
Tài sản dài hạn###Non-current Assets	1917656	1737237	1466782	1483215	1301873	1274426	1353941	1313649	1290130	1247669	1221832	1022742	944817	907659	712589	714017	738070	737762	761843	755266	788435	783723	787064	788102	699339	715980	764895	660763	659819	793815	792873	645174	788582	841517	833501	845021	856269	853203	849397	926445	1000318	995615	994481	994244	868847	852933	848099	862356	880751	805829	781405	641697	713237	633794	520069	357775	338053	334690	321943	216274	151777	141067	110212	130620	56480	38166
Các khoản phải thu dài hạn###Long term Account Receivable	19783	6373	6368	0	0	6363	5	0	0	5	0	7	0	624	2	2	2	2	2	53368	100868	118826	118826	118826	56692	71261	120505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4551	7306	6388	3249	3707	12013	1150	1104
Tài sản cố định ###Fixed assets	334976	352653	370225	370215	375658	393514	354672	369578	369578	314117	325855	240836	233471	233471	150070	156429	112332	118160	118160	123287	103413	91901	93848	93848	66103	94349	85503	179154	90392	124740	126415	115243	355405	355405	312316	308695	295280	125343	296229	268096	344935	351575	178152	358248	260178	252290	226275	233555	265228	287675	293324	267021	292383	291433	250540	226461	202037	198577	195371	119514	51178	50065	48928	65389	51888	34157
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-186313	-176726	-162455	-162465	-147728	-133301	-122363	-111202	-111202	-98235	-86071	-75534	-66705	-66705	-59642	-52488	-45230	-43777	-43777	-41558	-36659	-322945	-323551	-323551	-318394	-359104	-352753	-347447	-347447	-350393	-342786	-336194	-331370	-331370	-326447	-323502	-326215	-320943	-320943	-332612	-327304	-313205	-280397	-280397	-254760	-229982	-160409	-108394	-108394	-67259	-58844	-37866	-6730	-6773	-5515	-5148	-4463	-3657	-3614	-12204	0	0	-8614	0	-13741	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-18538	-15892	-13247	-13247	-10563	-7312	-4861	-3681	-3681	-2399	-1279	-577	-192	-192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-224	-112	0	0	0	0	0	0	0	-3183	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-9179	-8842	-8505	-8505	-8166	-7827	-7497	-7199	-7199	-6895	-6590	-6289	-5991	-5991	-5686	-5382	-5081	-4783	-4783	-4479	-4176	-3875	-3575	-3575	-3270	-2966	-2665	-2367	-2367	-2062	-1758	-1456	-1158	-1158	-854	-549	-268	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-20	-19	-17	-17	-16	-14	-12	-11	-11	-9	0	0	-4	0	-50	0
Lợi thế thương mại	9652	11385	10390	11385	11385	11127	11834	11865	0	11385	11955	0	12661	0	0	14128	0	18295	0	0	5430	6410	7040	7040	7670	8300	8930	0	9560	10190	10820	11450	0	12080	12710	13340	13340	14600	13970	14600	15230	15860	17120	16490	17120	18380	19010	19640	55640	40270	20900	21530	16160	0	0	0	0	16160	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	708997	728516	728938	747146	758840	718177	800003	797132	798057	809705	808602	650733	600268	567431	476585	470466	486616	479390	478222	498757	504753	490486	490572	491610	493102	449161	454433	463988	463044	394959	391892	391977	405661	458596	480858	498704	518657	533377	534409	639367	635206	626909	618079	618079	589970	581280	601956	575473	557868	476245	458109	352071	403087	325082	256183	114548	118748	117248	108050	75050	79353	72442	56977	52641	1280	0
Tài sản dài hạn khác###Other long term assets	20121	20187	20563	20282	20987	21245	23489	19830	35105	46891	14473	23740	15923	20368	347	14387	304	18531	704	830	6801	1986	9924	2884	1905	3748	6399	8062	8062	15297	17088	18528	15436	15436	27618	24281	28362	8916	4160	3751	4316	641	1034	797	948	983	859	2015	2015	1640	9072	1075	1607	1118	806	3846	3968	5185	13971	14403	14857	15312	601	576	2162	2264
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	5589929	4891433	4718726	4600198	4256447	4185671	4161837	4229607	4357485	4290198	3930417	3690385	3564304	3715493	2849317	2565519	2536859	2613214	2688056	2403311	2369930	2241547	2262506	2294686	2176485	1998338	1909681	1846570	2014037	2014292	1914592	1801844	1935716	1988651	1912445	1879693	1905065	2018254	2018975	2089377	2075317	2119559	2233711	2233474	2388313	2550290	2312382	2050127	2084661	1681517	1580301	1639339	1711871	1728896	1225590	1323153	1202148	1122514	889721	657494	646961	702045	415719	287838	306047	217415
Nợ phải trả ###Liabilities	3970999	3290446	3131372	3035800	2663638	2609900	2658451	2757100	2910727	2912496	2512706	2317444	2436492	2584568	1781562	1445279	1449707	1537580	1619588	1391533	1363805	1250689	1281479	1313091	1177039	986173	913046	862639	1031781	1147645	1054199	953429	1087505	1087526	848498	784965	783995	863444	865300	905498	874677	898896	1014052	1014052	1092266	1278936	1074262	860819	904583	534839	478189	596995	693702	686662	562758	717858	657932	609297	365886	191172	183416	278285	231611	132346	277251	205385
