CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q2 2005
Tài sản ngắn hạn###Current Assets	159303	164138	162216	162216	197991	191617	184590	199774	199815	201998	160656	163390	166720	166757	167727	140173	132569	150764	150928	151576	144612	147184	143872	143904	150591	139047	121650	131713	131138	144935	133031	104358	111186	110349	115162	101996	78005	102327	102688	103425	95857	94035	107496	107956	102243	91745	91320	96466	96516	107356	101702	98732	107087	107518	113526	104194	89594	109729	112859	119094	91416	120695	92762	92762	82661	97812	97543	101211	101211	101175	94533	93727	100602	94533
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	9692	6292	19158	19158	9147	9034	20685	20475	20475	21795	8417	4879	15478	15478	14039	18231	20109	30641	30646	46551	51102	48341	54126	62126	41953	38735	26777	29708	29306	36087	48433	21647	18011	17997	12705	8172	1660	6278	6281	3867	4746	1143	5318	5259	4224	4595	5919	3580	3633	5117	5178	2799	11116	11226	13712	7076	1252	1199	1199	1935	2544	27893	4835	4835	3639	18106	3536	3536	3536	2218	6642	3067	6466	6642
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	8751	8408	9609	9609	9609	11428	9781	18056	18061	25437	32433	43828	42228	42228	35127	20000	20000	20000	20000	3000	3000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	290	270	229	229	223	237	237	177	177	177	211	211	329	329	301	372	372	383	383	383	158	158	158	158	3220	3220	3220	3771	3755	3755	3030	3030	3030	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	46880	52642	43889	43889	73826	67490	65421	61834	61871	63111	36528	38769	30611	30611	43386	32982	36594	26855	27015	27599	27804	32811	24821	24892	34127	29732	25208	23655	23425	26544	25550	22519	23213	23177	21416	24743	21733	21148	21372	22420	15623	14507	13729	14248	14437	16923	12599	11527	11633	16442	15415	15334	13884	14268	16970	18941	19787	21242	21222	23728	28413	31308	27572	27572	28600	30968	32644	30275	30275	29321	32916	38817	28112	32916
Hàng tồn kho###Inventory	93428	96786	89543	89543	105151	103140	87840	99392	99392	91400	82757	75903	78181	78209	75155	68955	55856	73253	73253	74178	62506	58022	56910	56871	74340	70272	69295	77810	77810	80245	57627	58464	69867	69078	78964	66278	54207	74559	74559	76142	74943	77888	87955	87955	83038	69687	72100	80225	80225	84612	79629	78311	80044	80044	81024	75963	67494	86850	86937	88016	56704	57592	56238	56238	46767	45425	58063	67240	67240	68589	54150	51070	65242	54150
Tài sản ngắn hạn khác###Other Current Assets	552	11	17	17	258	525	863	17	17	256	522	10	222	231	20	5	10	15	15	248	200	10	15	15	171	307	370	540	596	2059	1421	1728	94	97	1786	2533	176	113	254	758	308	321	318	318	333	329	373	805	722	814	1109	1905	1660	1598	1661	2056	902	281	281	2194	535	131	362	362	626	283	270	160	160	1047	825	773	781	825
Tài sản dài hạn###Non-current Assets	35696	37131	38652	38652	40129	41731	34604	35829	35829	37026	37665	37922	39231	39155	40543	41855	36220	37357	37515	38652	29001	28277	27803	27595	22215	22904	23841	24332	24466	24599	24101	25465	26903	26811	28278	27813	29794	31535	30720	33812	37864	41737	45653	45287	48508	51773	54067	56174	59405	61126	64449	66141	69273	71296	74001	77055	81481	83292	80052	81700	83453	87178	90742	90742	94958	98347	101452	105782	105782	114103	117076	122022	125446	117076
Các khoản phải thu dài hạn###Long term Account Receivable	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	259	259	259	259	259	258	259	258	258	258	258	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-109	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	30680	32200	33720	33720	35222	36824	29697	30922	30922	32147	32787	33043	34353	34277	35665	36977	31168	32306	32306	33444	23792	23068	22594	22594	17214	17902	18632	19123	19123	19256	19025	20389	21828	21735	23202	22734	24718	26460	25664	28756	32756	36576	40492	40126	43294	46559	49117	48102	51798	52669	55967	60314	62823	64846	67051	70105	74531	76342	76132	77780	81642	85167	88731	88731	92901	96291	99350	103680	103680	111956	114928	84534	123253	114928
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-214543	-213022	-232727	-232727	-231225	-229623	-228652	-234991	-234991	-233766	-232976	-231653	-230344	-230420	-229032	-227720	-230272	-229134	-229134	-227996	-226952	-226084	-229871	-229871	-229204	-228523	-227802	-227413	-227413	-226789	-225486	-224130	-222795	-222795	-221328	-219855	-218135	-216154	-216949	-213857	-209857	-206393	-202476	-202843	-198594	-194262	-189718	-187586	-187012	-183328	-179540	-175709	-173227	-171366	-168406	-164565	-160190	-158431	-158431	-157044	-152766	-147739	-144047	-144047	-139731	-135451	-131142	-126864	-126864	-122591	-119098	0	0	0
