CAN DOI KE TOAN	 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007
Tài sản ngắn hạn###Current Assets	1702446	1959668	1959668	1884286	3398977	3017085	3017085	3100422	2840687	2660217	2487303	2318613	2227976	2726089	2867304	2325525	2208981	2003099	2649770	3016069	3017470	2151946	1683756	1734235	1706082	1569068	1282836	976099	859520	946963	955702	688506	305513
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	887	1627	1627	5153	5153	28932	28932	19830	23165	20382	20382	24826	14456	13077	15213	15313	50852	28066	43838	189997	189986	159020	62123	112264	48605	48608	110259	72347	40564	16601	16605	16771	32196
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	14947	14947	9104	9104	9104	10604	36162	36162	36362	174126	176647	182847	240591	178614	660968	660968	30822	41033	36502	96848	96848	61863	8700	2200	1200	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1332055	1613806	1613806	1630645	952566	941559	941559	1030579	994090	967944	955469	1097994	1063715	1040246	1079136	1027388	1220330	1260620	1688408	1567911	1570682	1589388	1141158	825948	699077	697084	494822	435663	420208	253456	255105	222759	138654
Hàng tồn kho###Inventory	365501	340343	340343	247281	1948582	1460075	1460075	1427118	1244116	1102568	940590	601176	568933	1085644	1053979	559778	320974	305652	323123	294442	293084	171566	278539	580743	721409	586041	533211	390755	349075	632125	641220	379717	113504
Tài sản ngắn hạn khác###Other Current Assets	4002	3892	3892	1206	492677	571573	571573	613792	570213	560219	560258	558454	544710	550760	544850	546399	433978	168170	415789	302751	302751	201149	160902	178778	140143	140488	82680	68634	47472	43581	42773	69260	21159
Tài sản dài hạn###Non-current Assets	2844375	3053813	3053813	3286030	1771339	2717806	2717806	2720583	2709401	2701074	2947294	2953407	2961057	2536829	2278039	2854636	2706975	2755696	2646934	2577533	2570852	2548081	2309240	1778895	1573559	1703054	1013602	664877	508866	131608	123534	105807	8587
Các khoản phải thu dài hạn###Long term Account Receivable	5221	34221	34221	34191	34191	79521	79521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	79667	129254	129254	177052	177052	1946804	233000	260037	271938	1782916	286901	1977091	1985740	1529786	356842	2031765	1827837	1811840	1808654	416537	1759240	1817377	1619535	1438017	1266221	1396826	821393	523315	405560	49832	49162	28254	3017
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-382193	-355164	-355164	-308004	-308004	-261508	-261508	-242575	-232955	-222615	-218849	-206116	-199225	-188654	-176850	-174714	-158980	-141539	-123464	-104737	-104737	-79465	-62791	0	-86771	0	0	-5301	-3080	-2170	0	0	-484
