CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q1 2018	 2017	 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	87159	89134	86486	83913	83949	83588	83588	85356	81616	80744	112771	144871	163817	152076	152076	167994	158906	157152	176504	176683	174964	129072	148352	163746	163746	169531	137614	108574	163900	173598	426796	868267	724807	751110	742738	796749	761202	735990	752996	771056	927469	786648	716755	738188	811379	861907	736504	597523	362871	349969
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2288	1858	1903	1224	934	770	770	3648	828	780	1483	768	10540	825	825	5370	3763	999	3145	3145	1543	1437	4428	2329	2329	1834	5418	1175	1111	1111	1006	30229	10648	7774	7774	9881	3815	12165	7966	7966	34797	12469	14705	10963	10963	17881	5982	10804	13970	9795
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	19677	0	0	0	0	0	0	0	0	0	0	0	0	13000	13000	23000	0	0	0	0	0	0	0	20056	0	0	19000	19000	19000	19000	19000	19000	19000	19000	0	2500	2500	0	0	0	22534	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	15682	35332	35126	32984	33095	31533	31533	30193	29902	29449	53605	58922	68564	48800	47133	53073	65578	65723	77047	77047	90088	66989	82222	79955	79955	91563	56575	52084	73505	83245	91807	288326	181140	212737	213111	232596	205512	161257	187844	187208	326312	289636	251725	291657	394408	423257	361905	242223	197440	120286
Hàng tồn kho###Inventory	40601	42970	40553	40860	40937	41394	41394	41614	40992	40616	47777	75076	74598	79403	79403	77959	80763	79222	87454	87632	73159	51570	50707	44712	44712	40497	46947	27425	56566	56566	303844	506949	489844	486015	475960	493888	500236	503350	498771	517511	472619	431833	404447	398583	380307	382225	351331	325002	145339	214974
Tài sản ngắn hạn khác###Other Current Assets	8911	8974	8903	8845	8983	9892	9892	9901	9895	9899	9907	10105	10114	10048	11715	8592	8802	11209	8859	8859	10173	9075	10996	16694	16694	16638	9674	8890	13719	13677	11139	23763	24174	25585	45892	57885	49139	59218	58414	58370	71207	52711	45878	36985	25701	38544	17286	19495	6122	4914
Tài sản dài hạn###Non-current Assets	782680	788348	785788	733022	731344	732272	732272	680945	678212	681418	573592	549001	543678	540138	540138	546672	518792	507753	491316	491316	476224	433270	456898	448407	448115	425777	357179	160595	162703	171912	214754	431637	446042	421067	443399	449420	453622	465078	442381	436251	354216	318721	301075	277485	203015	151313	141392	212947	67247	60148
Các khoản phải thu dài hạn###Long term Account Receivable	173746	178870	176284	176099	173970	174289	174289	175016	170981	173485	153237	150202	150101	151416	151416	181415	176001	173819	172768	172768	171273	172122	170344	170384	170384	170425	144716	104585	106451	116219	114594	112413	125813	114456	117147	127419	127663	131288	129752	118347	96939	96755	95732	95732	0	0	0	85167	0	0
Tài sản cố định ###Fixed assets	122463	122863	123263	124111	124562	125171	125171	129126	130427	131130	133970	136121	137300	138326	138326	139147	140553	142001	143471	143471	145010	146571	148164	153119	153119	154868	159737	53876	53567	53008	56068	305199	309796	294000	302812	297544	300919	306921	289652	294927	225211	190869	174412	156608	179935	122858	108254	84270	60612	59645
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-60710	-60310	-59911	-59066	-58614	-60250	-60250	-87277	-85976	-85273	-82261	-79970	-91022	-77515	-77515	-82279	-80909	-79465	-78000	-78000	-76749	-75231	-73642	-73781	-73781	-72253	-67050	-62399	-63179	-62711	-61022	-81354	-77028	-72426	-72364	-67943	-63707	-57833	-56027	-56027	-51839	-50591	-48187	-45787	-44827	-43526	-42019	-38734	-32788	0
