CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	266774	260667	249765	249765	241940	219929	230670	223237	223237	202803	223139	203346	191229	161201	193853	166323	187102	187088	139695	150599	158189	155986	150978	165741	135088	128736	131478	97855	101620	88637	93491	92931	94402	95999	88769	96026	119077	111972	112611	109571	114067	127675	126479	148488	134491	158008	128852	119262	134240	123992	135315	149057	137545	137793	123889	104596	135022	126742	126744	135707	135239	165849	128675	128675	131471	126110	133450	128532	128532	49846	48617	47155	52998	53121	35988	35988	36074
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	32920	62643	69284	69284	57780	30120	74067	95753	95753	76621	86340	77161	74860	74860	62304	26094	38228	39025	80025	77013	70371	64699	73530	73530	35228	42594	14764	21456	21456	8706	13787	9479	14070	14070	6807	9209	24264	18859	18861	11744	11920	8618	17641	17641	3491	23105	13764	7830	7830	16934	18629	25394	25326	25326	19354	19341	15614	6878	6733	12527	15844	15042	4424	4424	11135	31006	44603	52295	52295	2749	17637	3699	2696	2696	4790	4790	9670
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	126455	92755	87755	87755	86640	88217	53187	37385	37385	29888	29888	17265	25583	25583	36584	69684	78812	91012	3253	3253	18253	24385	24385	24385	29640	29640	60724	16522	19322	20562	17937	19100	19131	19093	19259	22632	24966	27503	27399	26945	27336	27009	26299	30282	50473	52767	33464	33735	33990	33383	34892	44373	44940	44940	39837	37681	57673	59969	63271	77102	79014	109433	95001	95001	100025	74029	55557	54326	54326	24802	7463	23446	28611	28611	11253	11253	14172
Các khoản phải thu ngắn hạn###Short term Account Receivables	83417	80641	67043	67043	69371	71069	72251	67697	67697	72384	82209	82587	73251	43224	75540	50508	49051	42971	42336	53647	52533	49009	42784	57744	67157	52677	50793	52800	52889	51908	52249	54560	47635	48737	51087	53561	49814	41604	41533	42154	41369	47474	36963	56386	36727	36207	34783	29743	46794	28853	33062	36013	32266	32699	29765	17791	27125	27156	27313	18189	15430	23293	21729	21729	16348	18111	29365	16766	16766	13154	13403	17428	18292	12112	10080	10080	7602
Hàng tồn kho###Inventory	140	140	145	145	140	192	192	214	214	426	192	192	234	234	284	92	0	0	0	0	0	0	223	223	-100	0	19	688	688	19	19	19	3887	3887	19	0	9280	14167	14167	17678	24101	28442	34582	31765	33445	36984	38719	40645	38328	36286	36092	32603	26247	25972	26949	22469	18550	15085	11615	5783	1314	1237	1796	1796	1158	1206	1925	2270	2270	2124	2222	2582	2278	2278	1876	1876	2335
Tài sản ngắn hạn khác###Other Current Assets	23843	24487	25539	25539	28009	30331	30973	22188	22188	23484	24511	26140	17301	17301	19142	19946	21011	14081	14081	16686	17032	17893	10055	9858	3163	3825	5178	6390	7266	7442	9499	9773	9679	10212	11597	10624	10753	9839	10651	11050	9341	16133	10994	12414	10354	8946	8123	7308	7298	8536	12640	10674	8766	8857	7985	7314	16059	17653	17811	22105	23638	16844	5725	5725	2804	1758	2000	2876	2876	7017	7891	0	1122	7425	7989	7989	2295
Tài sản dài hạn###Non-current Assets	168050	172466	176828	176828	181995	187147	192028	196020	196020	195863	189704	190122	191317	221317	192471	203183	181760	178162	224920	227801	231086	216818	219929	219276	211848	211260	237663	233960	230896	233291	241084	242817	246408	246408	248006	242201	249646	254220	254220	251442	254531	251624	255165	254526	262897	257768	260027	257810	257555	260771	242975	215073	210740	208586	199231	200852	177650	171804	177867	152543	140039	118840	107366	107366	90813	78756	67086	63849	63849	62700	56780	55313	50520	50520	48354	48354	40828
Các khoản phải thu dài hạn###Long term Account Receivable	6999	7149	6906	6906	6612	6712	6862	6720	6720	6768	6918	7067	6764	6764	6764	6914	7106	6272	6272	7088	7238	7338	6968	6968	7131	7131	0	0	0	0	0	0	0	0	0	0	0	0	1169	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	73312	74943	77512	77512	81259	83921	86244	88601	88601	91243	93152	95051	97706	97706	99386	99455	97203	99681	99681	115971	117913	124120	127352	122653	123735	125989	147033	160890	145595	147236	150351	168436	171360	171360	169384	169845	174358	137244	179214	183103	186429	183852	145061	185327	187982	180140	180892	28907	181248	183233	167997	157897	153290	151136	144493	145083	121940	115824	116944	97052	88680	69811	59855	59855	56322	44009	35475	33552	33552	31814	29745	28818	26383	26383	17741	17741	13303
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-63690	-62863	-61550	-61550	-60318	-58912	-57511	-56120	-56120	-54734	-53359	-51997	-50598	-50598	-49215	-47836	-47127	-45906	-45906	-44687	-43493	-48718	-48040	-48050	-47449	-46257	-49914	-48574	-48574	-48784	-48468	-46907	-45348	-45348	-46139	-44868	-43682	-41967	-41967	-40299	-38610	-36914	-35502	-35220	-33967	-32750	-31837	-31075	-31075	-30297	-29531	-28818	-28133	-28133	-27636	-27219	-26784	-26329	-26329	-25795	-25268	-24755	-24296	-24296	-23811	-23339	-22898	-22646	-22646	-22225	-21832	-21935	0	0	0	0	0
