CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	 2010	Q4 2010
Tài sản ngắn hạn###Current Assets	154428	212863	231272	231272	278146	254317	238261	282897	282897	240399	245910	259232	245908	245848	227586	215966	250955	253020	253020	240661	245911	247610	256923	256636	271005	271005	392389	392389	380859	380859	368219	368219	461423	461423
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12640	19317	34155	34155	38628	36066	57166	53305	53305	53501	53207	47087	47341	47341	32488	45384	44335	56541	56541	39174	32791	65945	61994	61984	79343	79343	139448	139448	170504	170504	195158	195158	27738	27738
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	83000	132900	129560	129560	157460	149460	122260	161260	161260	128160	125960	151960	103300	103300	88460	77120	114620	106920	106920	112620	109460	59921	71286	71286	63864	63864	66304	66304	3814	3814	1200	1200	189674	189674
Các khoản phải thu ngắn hạn###Short term Account Receivables	58527	60482	67159	67159	81891	68623	58645	67731	67731	58533	65722	59854	94384	94333	106189	90349	91402	89065	89065	88220	103132	120973	122704	122387	123353	123353	177744	177744	204372	204372	169538	169538	243127	243127
Hàng tồn kho###Inventory	239	131	364	364	128	128	158	567	567	136	925	167	758	758	195	2791	407	414	414	507	289	650	790	790	3100	3100	6900	6900	108	108	62	62	58	58
Tài sản ngắn hạn khác###Other Current Assets	22	33	33	33	40	40	33	34	34	68	97	164	125	116	254	322	191	80	80	140	240	121	149	189	1345	1345	1993	1993	2061	2061	2262	2262	826	826
Tài sản dài hạn###Non-current Assets	347696	292466	294186	294186	247168	238759	270120	219037	205556	233987	214507	198574	202660	201565	189894	189761	172417	169053	176287	163229	161651	172163	167668	151641	201391	201391	140623	140623	132818	132818	119138	119138	120197	120197
Các khoản phải thu dài hạn###Long term Account Receivable	375	375	375	375	375	375	375	375	375	375	385	385	385	385	385	385	260	260	260	260	260	153	260	260	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	19997	21080	21774	21774	22502	22286	23043	23800	23800	24557	25317	26116	26940	26940	27763	28587	29411	30425	30425	31276	32182	33110	34049	34049	37851	37851	40101	40101	39487	39487	36489	36489	31831	31831
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-33582	-34179	-33491	-33491	-33659	-32907	-32156	-31406	-31406	-32184	-31896	-31104	-30287	-30287	-29469	-29160	-28343	-27813	-27813	-26968	-26069	-25148	-24215	-24215	-20619	-20619	-15609	-15609	-11870	-11870	-8074	-8074	-5015	-5015
