CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005
Tài sản ngắn hạn###Current Assets	261147	277680	263849	263849	271189	274896	267595	253742	253734	230464	188476	173479	168878	168878	195196	224261	221685	195121	195127	174146	143927	160411	168909	168909	142002	148398	148600	153848	153569	136191	161730	169896	176100	176100	163697	169269	168810	149920	151251	137623	143925	163359	117384	117384	125103	120475	102586	84632	84632	74663	101044	80185	63596	63596	66995	51971	44998	38146	38146	43689	44802	39823	33771	33771	37687	39855	34935	35696	35696	35432	29980	32472	32423	32423	33018
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2364	5155	6689	6689	1782	1767	3057	5364	5364	1499	2936	2592	4069	1069	9829	3967	3610	5004	5004	26630	2747	6531	6904	6904	11112	6118	6592	18185	19665	5587	10066	7595	21597	21597	4321	14067	3250	8184	9515	15450	8994	3964	5089	5089	3795	6852	10587	6569	6569	5432	22166	5760	8551	8551	3771	3179	1808	7509	7509	4999	1428	73	2613	2613	4177	302	1755	8596	8596	5197	1529	1883	4748	4748	490
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	1650	0	0	0	0	0	0	0	0	0	0	0	9987	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	222625	229507	204413	204413	225348	214104	223261	199175	199191	191926	147823	135340	124188	127188	141093	175032	186333	165014	164980	121528	114979	126665	137820	137820	96435	109426	112351	112336	110354	98167	124763	129188	119717	119717	131718	130244	148288	125347	125347	104258	119036	137365	88976	88976	102804	94496	73697	59962	59962	48371	59119	47811	36962	36962	45209	33363	36029	17590	17590	17663	13912	22115	14933	14933	18110	18563	16071	8596	8596	16359	15781	13462	9987	0	14141
Hàng tồn kho###Inventory	34152	41412	51141	51141	43133	57798	40090	47633	47609	36724	37567	35106	35958	35958	36105	42109	30278	24559	24559	25932	26170	27172	24077	24077	34421	32493	29648	23312	23536	30917	25729	21581	34460	34460	27524	24786	16248	16291	16291	17876	15852	21997	23241	23241	18197	19016	18134	18101	18101	20647	19544	23507	15757	15757	16824	15248	7123	13048	13048	21004	26810	15889	16205	16205	15315	20709	17013	18430	18430	13876	12669	17127	17688	17688	18351
Tài sản ngắn hạn khác###Other Current Assets	2006	1606	1606	1606	927	1227	1187	1570	1570	316	150	441	4663	4663	8169	3153	1464	544	585	56	31	43	108	108	33	361	9	14	14	1520	1173	11532	327	327	136	172	1025	98	98	39	43	33	78	78	307	111	169	0	0	213	215	3108	2325	2325	1190	181	39	0	0	23	1452	96	20	20	85	282	96	74	74	0	0	0	0	0	36
Tài sản dài hạn###Non-current Assets	154290	161286	164831	165682	154808	157862	166718	174089	174089	183473	190900	190295	195759	195759	153148	99189	67469	66199	66159	57997	51977	52929	55645	55645	52369	53961	56060	58823	58823	61534	39740	39706	41156	41156	38991	38135	39369	28522	27191	28613	28655	30232	32065	32074	33481	35053	36694	38353	38353	40085	42010	42580	44023	44023	28605	16138	17129	18488	18488	19386	18843	18530	19673	19673	20358	21365	21561	22562	22562	22593	24656	25625	26543	26543	27258
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	153960	160800	148907	148895	150936	157594	163697	170207	170207	173965	180521	184117	189526	189526	82103	85925	60559	61655	61383	42823	45624	45554	48224	48224	52175	53676	55719	58375	58375	59676	37745	37910	39361	39361	37328	36683	37897	27097	27109	28501	28500	30056	31852	31852	33394	34964	36644	38263	38295	39918	39847	41350	42761	42761	27682	15474	16215	17531	17531	17996	18672	18369	19343	19343	20216	21209	21434	22400	22400	22400	24336	25287	26135	26135	26937
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-162851	-155618	-151389	-151389	-145805	-139678	-133061	-126488	-126488	-119911	-113388	-106903	-100462	-100462	-109147	-105324	-101678	-99528	-99528	-96725	-93925	-91139	-88473	-88473	-85938	-83232	-80552	-77867	-77867	-75244	-75334	-73864	-72417	-72417	-71366	-70014	-68786	-67577	-67577	-65891	-64233	-62612	-61261	-61261	-59611	-57967	-56374	-54725	-54725	-53074	-51445	-49842	-48246	0	0	0	0	-46003	0	0	0	0	-42131	-42131	0	0	-39150	-38185	-38185	0	0	-35285	0	0	0
