CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q1 2007	 2006
Tài sản ngắn hạn###Current Assets	1629507	1634486	1629508	1399397	1055361	1404867	1484438	1487895	1446143	1278310	1288786	1378778	1416609	1298697	1324241	1299926	1217605	1208171	1195386	1235482	1130525	1174064	1074794	1085616	1058520	1130743	1204135	1187517	1065114	1077143	1013048	1095201	1094003	980961	970692	946443	912266	912266	871623	815988	777951	801660	801579	750134	770382	721629	787120	773269	739329	662636	623377	386890	611920	561232	494698	305064	455518	455518	253352	256640	260777	411858	411858	411858	294511
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	62577	70767	70749	37529	40728	72894	87056	87055	58257	60435	78515	80079	88008	57629	101733	90088	83548	83548	101952	66111	74807	103968	103968	115515	65405	102609	77125	77125	62960	12576	13028	58499	58499	8599	17211	8501	24578	24578	14262	12686	9352	25350	25350	13937	17763	19772	66722	66722	38591	16878	25233	13211	48407	19161	14221	3075	36037	36037	2695	3061	6121	31920	31920	0	13935
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	36895	26597	26597	21511	5784	76580	73285	73285	106213	6695	8115	7929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10700	10700	12237	12237	15237	30738	40756	39845	39845	34032	33308	32700	21700	21700	23510	17389	17021	14311	14311	10500	10000	5000	5000	5000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	964768	1081641	1078289	889029	716464	823469	868159	871614	865929	836825	727592	894305	926155	869567	871008	871473	866529	861003	769847	771994	665259	706366	606966	594225	607661	657530	770569	749615	602370	639719	586947	681059	681594	587656	577732	570104	540477	540477	520234	442304	438275	470814	470733	338199	337917	292532	306957	307010	260829	251351	227744	315512	192092	183862	180248	250861	130456	130456	203083	168313	181711	155730	155730	0	129026
Hàng tồn kho###Inventory	530953	433556	431930	418673	259802	400782	420008	419963	389913	352564	448736	381751	382073	358525	341292	330187	261460	257580	318219	381971	373621	347441	347677	361382	368304	357681	345924	329306	357551	381774	381694	331544	329927	358088	347923	342794	331672	331672	321459	332489	303289	278268	278268	365034	365911	348378	358362	344529	389602	348639	322980	33572	338258	321679	274473	32875	270464	270464	36406	73102	66644	215010	215010	0	148461
Tài sản ngắn hạn khác###Other Current Assets	34313	21926	21942	32656	32582	31142	35929	35977	25832	21792	25828	14714	20373	12976	10208	8178	6067	6039	5368	15406	16839	16289	16182	14494	17150	12923	10517	31470	42234	43075	31378	24098	23983	26617	27826	25044	15539	15539	15668	17808	16334	14991	14991	17727	18053	20191	15234	15162	16275	12460	14719	2895	11463	13021	8368	1233	4250	4250	668	2164	1302	4198	4198	0	3091
Tài sản dài hạn###Non-current Assets	574995	585157	585157	582288	490696	524561	498843	498290	437255	399480	257392	279882	279882	264885	248057	244255	238669	238669	227684	231250	234454	236941	336922	311781	291915	271151	221688	221651	208143	208986	209252	203275	203275	208790	207567	203100	190189	190198	150836	164316	167022	170597	170597	170534	159188	148013	115965	139494	129573	127246	127609	100226	184023	165415	153009	103641	153420	153420	115293	103953	97024	133087	133087	133087	88641
Các khoản phải thu dài hạn###Long term Account Receivable	137	137	137	137	137	137	421	421	931	931	921	127	127	127	127	127	127	127	5	5	5	5	99965	101836	101836	47491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	486779	487525	497626	230717	174927	203660	210172	210172	149968	153651	149610	159033	159033	150982	146075	148748	145479	145479	144347	145083	139710	140942	140964	116223	111680	107302	100113	100077	94099	96129	97974	116627	116627	122071	120064	114490	81761	102662	94361	93587	94010	84146	96819	98060	86614	84025	79281	103615	93106	95066	95985	20802	139939	119127	105910	24856	108684	108684	40386	43271	40321	106673	106673	0	68971
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-253618	-242710	-242771	-229491	-115577	-233152	-224968	-224968	-217170	-209385	-198851	-195186	-195186	-189861	-183497	-176882	-170232	-170232	-175344	-169761	-163173	-157946	-157924	-152137	-146707	-143728	-138387	-138423	-142059	-137231	-131666	-129380	-129380	-127536	-123821	-120035	-115548	-115548	-111903	-107537	-103296	-99116	-99116	-94426	-91508	-84476	-81296	-81297	-88673	-86155	-75854	-29774	-80167	0	-52352	0	-45140	-45140	0	0	0	-31802	-31802	0	-24119
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-5816	-5184	-5184	-4552	-3919	-3287	-2654	-2654	-1964	-1717	-1411	-871	-871	-653	-435	-418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-500	-488	-475	-462	-450	-450	-438	-425	-412	-400	-400	-388	-375	-363	-350	-350	-338	-325	-313	-300	-300	-288	-275	-263	-250	-250	-238	-225	-213	-200	-243	0	-210	0	-178	-178	0	0	0	-155	-155	0	-79
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	4680	4680	4345	4680	5014	5348	5348	0	6017	6351	6685	6685	7019	7354	7688	8022	8022	8356	8691	9025	0	9359	9693	9693	10028	10696	10362	10696	11030	11365	12033	11699	12033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
