CAN DOI KE TOAN	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q2 2010	 2009	Q4 2009	 2008
Tài sản ngắn hạn###Current Assets	106469	107642	100411	106464	111363	103757	113645	115380	108034	121004	118721	134746	115506	106418	112749	81926	99168	85745	58075	49303	52616	55670	43094	32687	35270	27278	31244	26740	23626	23843	18775	21383	18645	24208	26730	29117	31507	30368	26847	31472	29748	28297	28779	0	17265	17265	9119
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3198	9063	7721	4314	2053	3693	4065	2785	1076	4082	1216	2912	2375	1166	1516	6089	22754	19980	1792	2408	3340	3935	1420	4006	5576	3710	3539	3296	1014	1951	1093	2313	2144	581	805	3280	3501	4746	4492	5418	4168	998	1002	0	2002	2002	523
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	8544	8544	8544	5726	9604	6450	6450	7750	7400	6200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	80260	82775	75080	72954	72990	71609	82655	85920	66205	73257	75669	98487	99871	91891	92166	69322	69607	45646	46384	37328	32065	45691	36411	18434	21358	14213	19587	14217	11551	11084	11451	14419	11123	17144	18536	18013	19422	17355	13318	18516	20753	22322	25498	15108	12603	12603	8518
Hàng tồn kho###Inventory	14467	7261	9066	23469	26715	22005	20475	18926	33117	37145	40872	33331	13260	13361	19067	6515	6807	10515	9899	9567	8310	6044	4619	8524	7934	9019	7782	8715	10676	10423	5853	4272	5172	6266	7134	7294	7049	7364	8149	6937	4673	4836	2138	0	1836	1836	0
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	0	0	237	320	965	17	0	0	0	0	0	9604	0	0	8900	0	645	1721	403	336	336	512	385	385	379	379	206	217	254	530	1534	903	889	600	153	141	141	0	824	824	78
Tài sản dài hạn###Non-current Assets	8451	8803	12804	12964	8679	8755	8955	8955	9134	9369	9582	9793	9769	9872	10477	10743	11324	10526	3810	4057	998	1536	1030	1030	1135	1121	1240	990	984	1110	1177	1282	1275	330	417	495	590	477	600	725	645	727	676	0	4216	4216	4353
Các khoản phải thu dài hạn###Long term Account Receivable	403	604	4605	4605	121	1	1	0	0	4	0	8	0	0	356	407	750	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1058	1197	1197	1350	1533	1716	1899	1899	2081	2264	2447	2629	2629	2820	3011	3201	3392	3392	3585	3774	695	749	736	797	857	898	971	871	920	1007	1112	1201	1201	237	304	372	449	433	511	592	645	727	676	3749	3888	3888	4110
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3922	-3783	-3783	-3629	-3446	-3264	-3081	-3081	-2898	-2716	-2533	-2350	-2386	-2195	-2005	-1814	-1624	-1624	-1431	-1241	-997	-945	-958	-900	-842	-804	-733	-1368	-1320	-1264	-1607	-1520	-1520	-1440	-1375	-1310	-1235	-1234	-1159	-1080	-1004	-925	-963	-769	-615	-615	-340
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	-61	-61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
