CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	137604	135210	129239	128589	132839	131240	142604	138728	139712	130275	138792	119661	120111	114143	115206	120203	124969	112730	115021	108635	116264	113578	122835	119409	107502	109255	103645	107762	105890	100180	103016	101673	99715	99718	104878	97603	104094	108582	108591	113547	115972	108724	116574	117437	114056	126578	129700	120877	120877	101634	108121	122147	119884	119884	106486	103664	102385	101541	101548	110730	120174	126094	134819	134819	278480	80977	76755	72450	72450	72368	67739
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12991	21227	17338	19342	19880	12365	15507	32395	32388	27441	22780	22181	29578	36284	33439	36809	30493	32386	32649	22434	43858	42969	43685	53239	38797	33576	38425	31880	31886	26895	24019	26134	21442	20839	17804	14545	27396	28494	28494	28855	24947	19846	28653	29303	23637	32138	24423	22953	22953	10657	13659	21933	30919	30919	15601	17407	17130	14547	14547	11518	16380	22748	36217	36217	201659	835	3587	1755	1755	2494	5443
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	49844	36047	34047	32047	26870	27800	30952	30992	30992	28290	36590	33310	31310	24500	14700	16200	21500	21700	21500	28200	17000	15000	9500	0	0	0	0	0	0	0	0	300	300	300	5450	5450	1050	1050	1050	4050	5350	5350	350	350	5350	350	12683	14835	14835	16933	16933	16958	17058	17058	15908	16108	18638	11208	11208	23394	23949	29829	26550	26550	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	40913	47589	44813	44637	47089	41651	47466	32213	33388	34426	32242	33210	30129	23771	31996	25954	29079	24080	26321	20798	18398	16413	26042	22748	24266	28617	22548	22841	20875	19129	22976	19217	21124	21730	26093	23998	21037	24081	24081	22035	23711	23970	26226	28694	20077	19814	20886	19792	19792	21575	20125	31411	25732	25732	29254	26072	23361	31257	31264	34732	29335	32177	22339	22339	28283	25709	21358	26159	26335	17418	20128
Hàng tồn kho###Inventory	29224	29021	32031	32031	38085	47853	47294	41676	41301	39536	43814	30557	28312	28263	33639	39473	41890	33705	33719	34432	35069	38425	42791	42704	43406	45693	42445	51954	52032	51710	54005	52621	54682	54682	52865	51024	51592	53619	53619	56774	59666	56541	58005	58005	60420	68536	67416	60382	60382	50898	55851	48572	44947	44947	44320	40577	37653	39699	39699	36469	47013	39350	49006	49006	48052	53370	51684	44333	44333	51165	42126
Tài sản ngắn hạn khác###Other Current Assets	4633	1325	1010	533	915	1571	1385	1453	1643	581	3366	403	781	1324	1433	1766	2008	858	831	2771	1939	771	817	718	1033	1369	228	1087	1098	2446	2018	3400	2167	2168	2665	2585	3019	1337	1346	1833	2299	3016	3340	1085	4572	5739	4291	2916	2916	1571	1553	3272	1227	1227	1404	3501	5603	4830	4830	4617	3497	1990	707	707	486	1064	125	202	26	1291	41
Tài sản dài hạn###Non-current Assets	112097	110137	115856	115850	117347	120135	111447	112391	111629	105385	102817	107053	108208	107087	111486	110299	107218	111874	112461	112696	110118	115523	112358	112959	113624	112311	111908	114016	114166	115580	113663	114331	117960	117999	122494	120233	120369	122007	121988	125435	127477	127904	129759	128830	129514	141782	144038	147487	147487	148084	147599	147906	144944	144944	145804	148435	147676	146595	147056	129970	122882	113072	101021	101021	88333	79267	67662	66162	66162	62998	63751
Các khoản phải thu dài hạn###Long term Account Receivable	8297	4862	4867	4867	2567	2567	2567	2567	2567	2562	2587	2587	2586	2581	5581	5592	87	87	172	137	87	287	87	86	56	56	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	46853	46433	49289	49289	51357	53902	43209	42083	42166	38685	39499	39719	41452	41219	42898	42457	43796	46379	46379	46770	47324	49899	47914	47914	49766	50796	52931	54882	55031	53165	55322	56771	59309	59759	61338	63341	63250	64778	65016	66923	68954	70858	70913	72154	71781	83849	91438	89552	94837	103795	102481	103287	99627	99627	100973	102903	102886	139192	139607	126485	120291	110676	99580	99580	86885	77786	66087	64499	64499	60763	62734
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-128187	-126726	-123295	-123295	-119885	-116574	-120692	-117870	-90593	-88406	-113475	-83281	-109695	-82405	-81101	-106355	-105452	-102951	-107242	-104786	-102444	-99960	-97529	-97529	-95206	-92982	-91117	-88862	-51009	-49485	-84930	-83491	-81580	-80711	-80473	-78105	-79098	-76700	-76700	-74703	-72502	-70590	-68438	-68438	-67524	-65771	-63021	-62132	-62132	-59625	-56712	-56982	-54478	-54478	0	0	-49171	-47912	-47498	-53723	-50605	-49301	-47852	-47852	-45035	-43341	-41197	-40260	-40260	0	0
