CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012
Tài sản ngắn hạn###Current Assets	7641695	7625029	7560602	7786780	7557862	6896981	6221798	5931058	6050965	6182980	6829346	6881503	6778768	6905651	7137991	7452191	5373648	5363762	5794290	6002867	5224429	4893666	4933297	4933297	6202621	6348423	6128086	6091715	6193475	5981961	5981961	5395958
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2443622	2212814	2710172	2701853	2470958	1823267	1385990	1417335	1141356	1161230	1953020	1835571	2165665	2397654	2578515	2982249	868911	1054086	1052841	1232004	651599	541649	708454	708454	719991	928467	877539	1026375	1026375	586485	586485	160753
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	60083	59783	90396	98731	113541	360478	362109	356469	630672	418590	228059	291538	245538	15000	15000	10000	10000	10000	9900	11418	40059	40059	10196	10196	35276	35275	3301	142	2242	2100	2100	2200
Các khoản phải thu ngắn hạn###Short term Account Receivables	1407952	1408943	1147540	1184409	1313719	1322449	1210829	1102252	1083913	1307608	1388044	1409597	1288539	1370089	1595057	1524559	1424543	1233381	1364738	1459870	1602901	1464155	1324214	1324214	1686259	1492323	1427561	1262723	1302065	1449589	1449589	1767300
Hàng tồn kho###Inventory	3406424	3596531	3339514	3534371	3433036	3196819	3064205	2884355	3041254	3094981	3050044	3122806	2895913	2935977	2755356	2748871	2904778	2920375	3216355	3158301	2777034	2764114	2761304	2761304	3582943	3747558	3585978	3672084	3665149	3793708	3793708	3307464
Tài sản ngắn hạn khác###Other Current Assets	323614	346957	272980	267416	226609	193967	198666	170647	153769	200573	210179	221990	183112	186931	194062	186512	165416	145920	150457	141274	152837	83690	129130	129130	178152	144800	233706	130391	197645	150079	150079	158240
Tài sản dài hạn###Non-current Assets	13255381	12678313	12327152	12557077	11500214	11324416	10928223	10602134	10438550	10023119	9871275	9394033	9255478	8970406	8484161	8086268	7781412	7625700	7252947	7115843	7121245	6890977	6730003	6730003	6250858	6066289	6101014	6224967	6026217	5234707	5234707	5170596
Các khoản phải thu dài hạn###Long term Account Receivable	247312	250863	245391	250571	203362	201921	200333	186126	186219	198495	197972	191839	197272	194220	202181	204074	211870	211220	157548	211327	160804	209430	208565	208565	10860	10569	4052	208644	4050	4500	4500	3420
Tài sản cố định ###Fixed assets	4052790	4075484	4031106	3908701	3918256	3991211	3893823	3974573	3923347	3539578	3633523	3649622	3737221	3734059	3360750	3093071	3461238	3170619	3189603	3097563	3168596	2989802	3065884	3065884	3017842	3087399	2967088	3014240	3021392	3393572	2978267	2666827
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5069300	-5023084	-4922363	-4916307	-4811740	-4705966	-4634645	-4532294	-4531291	-4425898	-4339382	-4244966	-4150858	-4099055	-4003421	-4007379	-3863632	-3849410	-3797062	-3855790	-3770805	-3691668	-3605422	-3605422	-3513216	-3435285	-3359709	-3274985	-3274985	-2806092	-2806092	-2512871
