CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	5067256	6308614	6781657	6721112	6523580	6770911	5769157	6674497	6671465	5011057	5575415	5309734	5153756	5113914	4807649	4633210	3679499	4441540	4429922	3826706	3406175	3408109	4234739	4182007	4925691	5083266	6015578	6151053	6282498	6660155	5322021	4964285	3959029	3956634	3870984	4075525	3746075	4914530	5046523	8472524	4227975	5268539	4932543	5017966	5157213	6189260	5926363	5668990	5741619	5090568	4607929	3792017	3974182	1262289	1244221	1215302
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	82598	81396	115084	210304	234441	340177	376764	143298	143298	182205	64614	84577	158164	158164	108731	122288	26614	239684	247549	94463	43785	27208	21777	29647	167137	230080	236339	107032	107032	30867	66945	51495	153143	153143	82534	52584	140032	104425	104426	73782	121630	78092	231871	231235	98278	143482	90651	801470	626818	52769	62501	118014	557506	18717	4107	38170
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8084	0	0	271000	177615	218667	0	300	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2677403	3032479	3163796	3161204	2805565	2749792	3071064	3361572	3362761	3114339	3328805	2746072	2740316	2402001	2644621	2364524	2245744	2434555	2421732	2180455	1737718	1936941	1935948	1966975	2369768	2186441	2279178	2099085	2229399	2384029	2589321	2181559	1652142	1652227	1633150	1718312	1712049	2330502	2509895	4992892	2191989	1910967	2138228	2176366	2149905	2512573	2397835	2348870	2358855	2097581	1759144	1518445	1323984	923782	934153	584823
Hàng tồn kho###Inventory	1927740	2659859	3066037	2907159	3035637	3309081	1895760	2735778	2735778	1511726	2020358	2141694	1949507	2247380	1836557	1917758	1206023	1634959	1629450	1463635	1515287	1396721	2175629	2089899	2273888	2551727	3351907	3643113	3643113	3891417	2445601	2510841	2047380	2046582	2026637	2118181	1609339	2216768	2015918	2991380	1824516	2619217	2530662	2528192	2385754	3365757	3033390	2468992	2469018	2449672	2526155	1933118	2046687	303948	253035	489451
Tài sản ngắn hạn khác###Other Current Assets	379515	534880	436741	442445	447937	371861	425569	433849	429629	202786	161637	337391	305769	306369	217741	228641	201118	132342	131191	88153	109386	47240	101385	95485	114898	115017	148154	301823	302955	353842	220155	220391	106365	104682	128664	186448	284654	262835	416284	414469	89839	660263	31781	82174	523275	167448	396403	49660	286928	219545	82514	3773	46004	15542	52926	102858
Tài sản dài hạn###Non-current Assets	5697895	5161083	5017098	4890546	4825502	4700411	4573824	4333183	4320275	3204867	2606346	2546870	2509037	2556184	2459085	2497706	2597692	2608426	2645456	2693620	2733962	2861692	2888594	2916591	2984503	3042191	3136879	3218774	3221971	3306781	3400573	3450257	3535214	3537061	3591998	3684981	3764316	3890931	3725389	3669244	3922498	3185604	3740912	3812220	3190083	2935492	2133055	1995327	1931211	2029244	1962338	1972241	2030335	421646	171800	232723
Các khoản phải thu dài hạn###Long term Account Receivable	2000	2000	2000	0	0	81034	81034	81252	81252	166083	88510	99240	80010	127756	11027	10	29459	10	18976	14481	10	27761	10	17967	12	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45000	29000	0	0	0	0	0
Tài sản cố định ###Fixed assets	1933913	1982432	1914670	1914670	1951008	1999225	2049380	2093216	2093216	2146510	2190464	2228978	2255530	2255530	2280359	2337845	2391071	2455110	2455110	2477903	2555385	2629507	2706176	2706176	2775732	2854971	2934848	3005852	2995800	3067355	3145980	3262802	3348338	3348338	3423929	3503295	3543532	3601829	3494526	3407875	3607283	2958054	1657037	3582074	3013920	2774452	1949734	1653967	1746372	1739383	1778653	1817044	1869208	279840	150019	210576
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3259238	-3209337	-3159840	-3159840	-3109234	-3057600	-3004584	-2951822	-2951822	-2898219	-2844656	-2792758	-2740475	-2740475	-2683359	-2623852	-2563618	-2515004	-2515004	-2490626	-2411725	-2332814	-2253944	-2253944	-2175022	-2095159	-1823016	-1934143	-1934143	-1853684	-1773334	-1692572	-1612894	-1612894	-1537778	-1457420	-1387836	-1297612	-1322401	-1243431	-1151286	-1081536	-1028794	-1028794	-971647	-915458	-859918	-803787	-803787	-743936	-688364	-633072	-580779	-311832	-263421	-203301
