CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005	Q4 2005
Tài sản ngắn hạn###Current Assets	865925	1014098	912048	912048	948876	1151305	1193506	944800	954774	916683	730236	950169	684460	684460	764766	761815	805304	663252	663252	755734	750572	855917	624732	624732	775048	744461	707552	658208	658208	662914	727234	663924	508129	508125	471794	451753	488013	493068	493068	491925	547029	607588	540187	540187	550284	582946	569340	552462	552462	558584	526664	465918	405019	405019	391226	371937	323575	302659	302536	285665	325503	338666	276169	276169	341951	253026	240549	244534	244534	240914	253044	253044
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	79131	41195	40614	40614	24614	38106	27833	110829	110829	153338	40965	179884	12398	12398	24028	27459	11017	19612	19612	20344	6862	4043	9383	9383	53690	33330	32572	6679	6679	4707	9205	44491	22649	22649	20000	24893	24938	18226	18226	26319	43276	39433	85677	85677	53546	53480	37483	67484	67484	33966	47843	50010	37913	37913	54106	53869	18633	36325	36325	12098	27297	28390	26555	26555	33180	22912	19994	32529	32529	12992	37053	37053
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2245	1790	1790	1830	1715	1460	1190	1190	1615	1625	1755	1900	1900	1530	1575	1620	1700	1700	2360	2120	1580	1725	1725	2550	3968	4728	4728	4728	4728	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	175908	304665	266884	266884	293426	461931	533861	382276	382276	194779	192409	266490	168631	168631	164881	157078	209387	176155	176155	202911	191838	226447	182196	182196	203728	170048	186864	155690	155690	168575	234141	289270	210057	210052	185181	168409	178224	157206	157206	138687	201427	297027	179782	179782	179176	176117	238452	191769	191769	245650	210628	189699	138449	138449	114574	129619	122752	107329	107329	100553	120051	99675	101531	101531	130225	82261	112640	117827	117827	87233	125084	125084
Hàng tồn kho###Inventory	602439	663532	596877	596877	630197	639461	615477	448188	458162	566354	494212	503446	501599	501599	574196	576903	584448	466824	466824	530731	550742	617732	431695	431695	517486	540990	485082	490479	490479	480586	472138	326766	269900	269900	261528	255550	280167	314275	314275	321054	296590	266050	244564	244564	313244	348316	289127	286336	286336	272546	256996	216574	225038	225038	215893	179841	175374	149647	149647	167274	169764	191125	140477	140477	167015	141105	103527	92434	92434	138573	87779	87779
Tài sản ngắn hạn khác###Other Current Assets	8448	4706	7673	7673	639	11808	16335	3507	3507	2211	2649	349	1832	1832	1662	374	452	660	660	1747	1130	7695	1458	1458	143	92	3034	5359	5359	9046	11749	3397	5524	5524	5085	2901	2438	1570	1570	4035	4021	3618	28975	28975	2703	3409	2524	4972	4972	4891	9622	8016	1919	1919	4292	6488	5237	7633	7510	3190	4424	14747	2877	2877	6802	6749	4389	1744	1744	2115	3127	3127
Tài sản dài hạn###Non-current Assets	98048	107531	112323	112323	130334	132900	135037	68786	58812	67729	76801	87181	91228	91228	97114	102739	103080	119156	119156	95140	98898	106183	114338	114338	52780	54314	58263	66016	66016	51317	57929	63138	69138	69138	76599	77902	81539	86998	86998	91064	96773	84099	85981	87641	104632	44035	47056	50384	50384	51066	56762	59627	64648	64648	70618	76501	62456	68694	68694	57264	63075	64158	74207	74207	30816	56070	34975	40994	40994	51101	69350	69350
Các khoản phải thu dài hạn###Long term Account Receivable	3320	3320	3320	3320	3320	3320	3320	3320	3320	3320	3320	3320	3320	3320	3320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	75650	84702	95558	95558	110101	116180	43466	41269	41269	50913	59944	70288	74468	74468	80365	89239	89430	98869	98869	74234	78124	85913	94088	94088	31715	33268	37189	45032	44821	30981	37617	42999	49011	49011	56777	58080	61717	66959	66959	71543	77253	64578	65494	66461	84382	23785	26806	23453	30134	30816	36512	39377	44398	44398	50368	56251	62456	68694	68694	57264	63075	63978	74027	74027	30636	36161	34795	40814	40814	50883	69132	69132
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-628331	-619352	-608665	-608665	-593338	-584995	-572517	-561381	-561381	-550707	-540085	-529442	-519578	-519578	-509750	-500441	-489478	-478600	-478600	-468035	-459575	-451271	-442786	-442786	-436558	-432113	-427631	-418954	-418954	-411836	-405674	-399081	-392495	-392495	-390781	-385033	-380652	-374544	-374544	-368367	-362204	-357254	-352597	-352597	-334597	-331320	-327997	-324560	-324560	-318504	-312150	-306063	-300099	-300099	-294140	-288121	-282003	-275853	0	-271154	0	-263519	-253442	-253442	0	-237934	-235483	-228038	-228038	0	0	0
