CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	467919	453070	476426	476426	434376	444396	450198	467386	467386	431256	445847	491397	412621	412621	431334	398217	421614	392269	392269	382858	371918	339653	373626	373626	401073	421548	382957	475160	472634	608905	544917	550656	592786	594575	562163	574102	503706	522893	520786	528765	641092	663887	768461	765901	561535	753956	469708	290356	278556	333457	310344	261607	270194	268005	257294	256012	220633	213670	211040	210988	218254	221958	227830	223053	182332	139391	93958
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	25052	20403	44892	44892	18545	22381	14095	41431	41431	19209	15613	6495	17862	17862	16340	41200	21452	54996	54996	76348	43901	25149	82364	93364	24506	53491	21239	77305	77305	13204	35684	89152	21014	21014	121482	126585	14630	111581	89581	19178	234643	8587	374470	374470	23874	233717	8522	45253	45243	48193	79351	71588	27494	29949	26478	29217	46231	32595	30470	15517	5742	13389	2426	2426	1844	1388	8226
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	128000	100000	84000	84000	67000	57000	58000	51000	51000	76272	91295	149795	91024	91024	149524	97744	166744	142744	142744	93501	66257	83128	66128	55128	110000	92000	124000	102200	102200	117200	90200	24400	123500	123500	8020	19540	106085	28168	50168	44318	11343	296273	712	712	172022	10830	188063	10904	10891	65954	43358	37400	67390	67390	83500	86000	17000	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	106253	114931	124397	126352	139838	158029	151077	165900	165900	139585	166864	158920	151435	151435	140601	126535	118970	104382	104382	108132	127350	96646	92812	92812	97859	102403	84408	104946	102420	233843	214581	253299	269074	269074	215857	240014	241760	235601	232135	276415	193252	179368	201907	198460	161636	346456	133247	107887	104037	104117	83549	67493	96994	94424	60478	91948	105343	103611	103277	94583	73303	77294	96029	88353	76573	60555	40094
Hàng tồn kho###Inventory	199883	208648	214122	212167	202387	199432	218457	201692	201692	187674	168281	167966	141871	141871	112326	124429	105760	81827	81827	93015	125736	112412	117276	117276	152248	157694	142489	172609	172609	233157	187265	165150	170895	170895	198702	168701	117989	126531	126531	146404	157892	128946	148528	148528	159671	132617	113720	108654	100727	98288	89250	70131	65520	65520	76919	30582	35453	65060	67586	90146	116807	112506	101648	105713	84930	62915	40417
Tài sản ngắn hạn khác###Other Current Assets	8731	9089	9015	9015	6606	7554	8570	7363	7363	8516	3794	8221	10429	10429	12544	8309	8688	8320	8320	11860	8673	22318	15045	15045	16460	15960	10821	18100	18100	11501	17188	18655	8303	10092	18102	19262	23244	21012	22371	42450	43962	50714	42844	43731	44332	30336	26157	17658	17658	16905	14836	14996	12797	10722	9918	18266	16606	12405	9707	10742	22402	18769	27726	26561	18985	14533	5222
Tài sản dài hạn###Non-current Assets	217683	202046	189940	189940	190054	198200	189834	194992	194992	184648	245696	171830	231197	231197	176580	206029	186956	207554	207554	162101	154255	154722	161104	161104	164481	170392	173935	174937	174937	118929	122129	68662	67133	67133	67492	65300	86451	90774	90774	69961	201926	216296	222898	222898	228559	81029	82072	84150	83309	90041	91841	93992	96152	95540	93008	93541	93160	115110	122556	202118	211321	230210	205175	220024	198750	55882	34392
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	1142	1142	22930	22930	22930	22930	22930	21478	21478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	207987	196698	182623	182623	76622	74442	68566	70346	70346	63190	62593	63481	63667	63667	64280	51495	51557	51999	51999	46091	36663	39049	39418	39418	41984	42550	44983	42250	42250	44346	46231	44723	44217	44217	45830	43789	44479	46526	46526	31711	33397	34504	35009	35009	187273	39195	40190	42220	42220	45059	46836	48838	50993	50993	52056	52588	53701	56222	56236	59055	62031	65282	66403	66416	67794	55125	34246
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-107296	-103509	-100191	-100191	-97379	-94384	-91540	-88774	-88774	-86185	-84535	-82621	-80235	-80235	-77949	-75636	-74687	-72917	-72917	-72362	-73415	-70943	-68479	-68479	-66886	-64450	-62018	-60438	-60438	-58012	-55697	-53359	-51541	-51541	-49334	-48192	-46464	-44344	-44344	-42469	-40784	-39530	-37816	-37816	-36167	-34444	-32454	-30424	-30424	-29253	-27325	-25237	-23082	-23082	-21931	-20936	-19807	-19296	-19281	-17439	-15326	-13192	-10913	-10913	-8698	-21666	0
