CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	317833	352452	364012	364469	329253	380796	362637	342907	342940	347338	344193	339866	336162	336162	310933	352939	311280	283184	283184	284508	312913	308240	321091	321091	285198	262973	286998	263984	263992	245622	209481	206236	206915	207618	198626	199869	178461	161154	161154	179778	169413	163522	169347	169788	158525	153341	158608	186008	186008	155009	152804	161607	179349	179349	158339	129711	133490	149202	149553	141799	172057	149574	143662	143662	207638	190940	93041	87746
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	88178	65442	89506	89746	79088	77839	66837	83740	83740	126173	119855	96276	114096	121199	65204	55216	43590	98263	98263	98151	147027	117181	149571	149571	103570	104495	130325	101152	101152	99720	78704	80183	83722	83722	97993	100058	63269	62313	62313	64121	65550	79078	81600	81600	39203	23706	28442	37136	37136	29895	29761	17989	52101	52101	60715	38453	27505	24749	24749	17869	44182	54525	52061	52061	24664	78386	15811	17488
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	36445	18833	16479	16479	13922	9028	22919	20594	20594	5465	5748	4748	7104	0	1900	0	0	0	0	0	0	0	300	300	17732	10432	345	345	345	345	345	345	345	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2900	2900	2900	0	4500	3600	6600	6600	5000	5000	4500	0	0	5000	3000	16495	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	77981	78272	89913	90131	86504	86379	89794	105220	105253	74296	80907	67910	70499	70499	103290	108479	68756	74878	74878	61685	63961	54238	56610	56610	63454	51007	49349	60272	60280	53420	32363	49993	51933	52636	38099	30029	39914	36301	36301	38373	35175	29000	36752	37193	40505	35990	44521	46535	46535	40575	43053	55209	61396	61396	52625	51082	45609	48430	48432	47913	68524	53588	47722	47722	55221	53920	24045	25689
Hàng tồn kho###Inventory	111943	183987	163113	163113	144318	198432	175352	130869	130869	137644	135694	164709	138272	138272	134664	178593	187366	106371	106371	121112	100356	131981	111534	111534	96051	94421	104081	97653	97653	88090	94526	72439	67836	67836	58432	64234	67501	58901	58901	70978	64871	50215	47840	47840	72018	87884	78792	94919	94919	77108	73610	77951	58239	58239	39850	33216	52605	65681	66033	64829	48442	33699	40588	40588	66431	51407	34956	44457
Tài sản ngắn hạn khác###Other Current Assets	3287	5918	5001	5001	5421	9118	7735	2484	2484	3761	1990	6223	6191	6191	5875	10651	11568	3671	3671	3561	1569	4840	3076	3076	4392	2618	2898	4562	4562	4046	3542	3277	3078	3078	4102	5548	7776	3639	3639	6306	3817	5230	3155	3155	6800	5761	6853	7419	7419	7431	6379	7557	4713	4713	5149	2459	4171	3743	3739	6187	5909	3263	3291	3291	56321	4226	1733	112
Tài sản dài hạn###Non-current Assets	98393	106731	110565	110565	110131	111748	106308	108781	108781	106770	113813	117075	134326	134326	135449	134884	126615	125879	125879	125467	120118	120525	119797	119797	120444	121778	122727	124682	124682	125394	129796	132670	147042	146339	143335	144633	147403	148918	148918	149041	149836	154685	156449	154127	153216	159934	161465	166764	166816	166589	158817	126405	145945	145785	121293	115122	102355	114875	114520	115292	97108	96187	109192	109192	26317	21935	27661	9947
Các khoản phải thu dài hạn###Long term Account Receivable	1681	1972	1665	1665	1715	1738	1742	1782	1782	1515	1399	725	684	684	653	620	1246	1280	1280	1372	1390	2040	2308	2308	3400	5682	5418	5598	5598	7159	8051	8811	4511	3808	290	447	360	4715	4715	4555	5495	5537	6480	6480	6510	7439	7099	7947	7947	9006	9223	8834	9650	9650	9662	10448	10356	11116	11116	11116	0	0	12545	12545	0	0	0	0
Tài sản cố định ###Fixed assets	22882	29367	32073	32073	31240	29194	26945	28397	28397	27314	34380	34182	51429	51429	52668	51602	42748	41294	41294	39537	33839	33707	17589	17589	16990	34205	34315	34267	34267	33612	37024	38600	56740	56740	57048	58209	63322	42467	63685	63281	62211	139867	120098	139687	137550	142030	143607	126666	148340	132250	128642	101787	120182	120022	96951	76816	77557	86952	86941	88080	82789	87889	89329	89329	21561	19277	10841	9867
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-46935	-46700	-47655	-47655	-46533	-44715	-43971	-41941	-41941	-43135	-43160	-41283	-40316	-40316	-38314	-35296	-34073	-32311	-32311	-30383	-28777	-27786	-25857	-25857	-24509	-27734	-26281	-26492	-21640	-31809	-32961	-31198	-29194	-29194	-30709	-29332	-33329	-32335	-32261	-31663	-31672	-30685	-28743	-29357	-27578	-26296	-23898	-20942	-20957	-18907	-17001	-15453	-14135	-14295	-14025	-12612	-11481	-10759	-10758	-10154	-10014	0	-8823	-8823	-7984	-7232	-5866	0
