CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	10991	14465	20902	19837	17039	17039	16606	16606	17179	17179	26392	25171	26392	20351	24228	23677	30238	30205	25991	23633	26835	26685	26685	25238	20721	18643	25644	25800	18098	13755	16501	18767	18072	16999	19895	13849	18382	18382	14621	10917	9793	7382	7382	5022	6617
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	6441	3507	759	201	2634	2634	642	642	4306	4306	7054	7054	7054	1749	229	3807	8913	2713	151	2575	214	35	35	46	187	222	4243	4243	1365	65	851	59	59	78	266	481	882	882	359	612	500	348	348	288	884
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	4506	10927	13777	12582	10374	10374	13639	13639	9000	9000	0	0	0	0	0	0	0	6200	5300	0	3500	0	0	0	0	1500	0	0	3000	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	45	31	6366	7054	4031	4031	1399	1399	3006	3006	13835	12625	13835	6377	6205	5304	9781	9748	6848	7795	8635	11062	11066	9464	10684	7669	11348	11503	7336	8441	9901	12461	12461	11877	7248	5785	11257	11259	4281	289	272	3352	3352	588	1
Hàng tồn kho###Inventory	0	0	0	0	0	0	926	926	676	676	5503	5492	5503	12225	17583	14157	11395	11395	13692	13264	13907	14760	14760	14945	9537	8445	9471	9471	5792	3749	5748	5951	5552	5026	12318	7584	6241	6241	9594	9520	8435	3619	3619	3829	5417
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	0	0	191	191	0	0	0	0	212	408	149	149	0	0	580	829	824	783	313	807	582	582	605	0	0	295	0	18	63	0	2	0	386	496	586	63	63	316	314
Tài sản dài hạn###Non-current Assets	22304	18211	6279	7126	9794	9794	12396	12396	12730	12730	4071	4070	4071	4180	4289	4369	4476	4470	4579	4688	4798	4747	4747	5281	5257	5783	6291	6275	7257	7894	8518	8792	8905	9699	10532	11064	11433	11433	11374	11999	12660	13099	13113	13597	8911
Các khoản phải thu dài hạn###Long term Account Receivable	5000	5000	3000	2000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	0	0	0	6	10	10	10	10	3730	142	4071	4070	4071	4180	4289	4363	4470	4470	4579	4688	4798	4747	4747	5281	5257	5765	6273	6273	7254	7892	8516	8789	8905	9699	10532	11064	11433	8499	8420	9026	9668	10087	10087	10571	5825
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-745	-745	-745	-1163	-1612	-1612	-1612	-1612	-12297	-12297	-13879	-13881	-13879	-13790	-13700	-13641	-13554	-13554	-13464	-13374	-13284	-13211	-13211	-12697	-12208	0	-11232	-11232	-10270	-9651	-9047	-8756	-8660	0	-7053	-6540	-6190	-6190	-5815	-5210	-4568	-4148	0	0	0
