CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008
Tài sản ngắn hạn###Current Assets	122214	90834	79845	80000	85819	97877	88226	60661	60766	68988	77942	73316	62528	62654	65268	77308	75343	56874	56941	54857	71884	81041	62097	63352	61100	61073	81174	65466	68946	69368	82183	101276	98895	98798	84507	89149	71785	63553	63553	53328	69719	55733	56637	56563	53776	64548	56955	52769	52606	63599	61279	53044	54095	54095	59040	55449	45235	45235
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2146	3150	3479	26379	45907	3707	3778	17397	17397	27586	2156	2425	14990	14990	21092	4282	1403	11459	11459	9088	2732	2293	10152	10152	23864	5436	5887	14904	14904	9458	3731	1478	9735	9735	21236	1674	544	5778	5778	29665	9023	698	9715	9715	14800	2147	468	4919	4919	8670	7128	395	4229	3216	3912	7210	1012	3132
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	6376	6013	26913	4253	4076	12907	258	258	258	359	335	409	409	409	409	409	409	409	409	368	368	348	348	341	306	306	267	267	267	228	228	230	230	230	214	214	162	162	162	239	5239	179	179	179	217	-250	308	308	-13	388	347	347	347	1360	5617	775	2869	749
Các khoản phải thu ngắn hạn###Short term Account Receivables	75196	14130	6893	6893	28212	54659	29800	17688	17688	28241	45613	18817	18430	18442	29152	42238	21455	17440	17504	28954	35505	19901	15562	15471	26565	28912	14796	10477	13633	45236	53056	36342	41082	40744	55685	61927	25044	19853	19853	21547	33082	9899	12987	12987	25297	37851	16217	19230	19240	41485	36028	12535	11145	11145	20811	25355	12651	12651
Hàng tồn kho###Inventory	34861	61341	38908	38824	6162	24269	49921	22789	22783	11384	27703	47535	25614	25564	12892	28021	48728	25301	25301	14630	30283	54691	33165	34497	9152	24806	56724	36984	36994	12229	22604	59264	44321	44662	5103	22731	42199	33761	33761	570	20145	42232	31233	31159	11766	22594	37416	25880	26029	11639	16143	37614	36238	36238	26454	20240	26494	26494
Tài sản ngắn hạn khác###Other Current Assets	3636	6201	3652	3652	1462	2336	4470	2529	2640	1419	2136	4131	3085	3250	1724	2359	3349	2265	2268	1817	2997	3808	2870	2891	1212	1613	3501	2835	3148	2216	2563	3962	3528	3427	2269	2602	3837	3999	3999	1307	2230	2725	2523	2523	1696	2206	2546	2432	2432	1418	1633	2153	2137	2137	2247	1869	2209	2209
Tài sản dài hạn###Non-current Assets	28875	31742	31992	31837	31770	31685	32886	33125	33125	31345	31264	31947	32156	32201	39945	40215	41462	41682	41682	41604	30343	30608	30841	29644	29699	29965	30101	31259	27805	27429	27656	23968	24235	24235	24474	24733	23645	23886	23886	17721	17983	22375	21272	21346	21928	21437	21246	21348	21520	18875	19212	16816	16861	16861	11317	11038	10781	10781
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3400	3400	3400	0	0	0	0	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	19463	19211	19509	19509	18736	18644	18739	18961	18961	17906	18089	18282	18479	18479	20599	20851	19081	19284	19284	19189	19388	19619	19851	19851	19964	20196	20278	20436	20382	19709	19935	16452	16671	16671	16636	16817	15642	15882	15882	9718	9882	10056	9953	9953	9850	8822	8632	5979	8734	6088	7412	6016	6062	6062	5518	5238	5332	5332
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-7811	-7523	-7237	-7237	-7358	-7122	-6898	-6782	-6782	-6572	-6394	-6205	-6012	-6012	-5926	-5678	-5423	-5224	-5224	-5027	-4832	-4606	-4363	-4363	-4107	-3879	-3568	-3350	-3350	-3136	-2913	-2651	-2484	-2484	-2296	-2116	-2043	-1751	-1751	-1746	-1581	-1415	-1237	-1237	-1082	-916	-797	-674	-674	-591	-510	-456	-411	0	-363	-316	-222	-222
