CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	659816	658602	618553	619543	575067	551795	540758	543411	543068	570473	518093	476527	488149	488575	483524	453473	446702	337161	337900	282092	279935	282768	268102	265879	184174	182309	131636	118328	118173	101415	105700	111670	110079	110192	121789	142061	142799	143854	142831	138118	132944	124044	127418	75496
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	51336	55303	62233	62414	36288	31151	28774	29793	29821	46006	52315	47225	38242	38242	50125	26577	71669	26634	26716	24810	42178	39639	56150	56150	20741	34807	14022	11686	11686	3421	5561	6998	4070	4070	4451	6047	3208	38792	38792	2451	2135	15260	2588	7440
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29000	29000	29000	0	0	0	0	0	0	0	0	0	0	9950	20500	27500	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	289531	294234	267633	268682	241835	230924	200212	217432	217404	204238	188258	157138	162684	163518	240703	258160	216123	196100	196136	153782	140463	123938	86605	85001	80208	62382	55905	50580	49337	32657	37538	40026	47805	47999	50733	49050	63479	52277	52461	64471	52097	59963	73372	37051
Hàng tồn kho###Inventory	315520	304711	286343	285606	292417	284988	304311	289113	289113	308656	268099	261927	274063	274519	187181	163459	153208	112285	113052	101543	94617	85710	89881	89537	81801	83848	59631	55674	55674	64305	61454	59020	52792	52711	51296	59932	43106	46986	45799	50861	57170	43777	50073	30394
Tài sản ngắn hạn khác###Other Current Assets	3429	4353	2344	2842	4528	4732	7461	7073	6731	11573	9422	10238	13160	12296	5515	5277	5702	2142	1997	1957	2677	4480	6466	6192	1424	1271	2078	388	1476	1031	1146	5626	5413	5413	5359	6531	5506	5799	5779	20335	21542	5044	1385	610
Tài sản dài hạn###Non-current Assets	168881	187526	188896	188590	192616	195821	192100	191819	192371	196333	199494	190224	189045	189043	173398	170429	164234	165675	165796	166694	170089	165282	166284	166226	128633	113792	101408	102104	102104	103038	102706	102270	103709	104008	104250	101937	103121	101195	101215	102617	106695	109483	64055	16254
Các khoản phải thu dài hạn###Long term Account Receivable	408	408	408	336	408	408	173	173	173	173	269	606	657	657	683	699	717	707	707	707	707	683	683	683	3830	589	0	389	0	0	0	0	0	81	60	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	133521	136764	137371	137454	140859	143130	140075	143525	143734	147135	149518	131967	134273	148845	134658	131054	127262	130143	130179	131790	135338	134020	126838	122015	89097	77271	72592	73988	73988	75678	75356	75121	102541	102673	102218	101104	102700	75631	100711	101884	106014	83734	15585	15923
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-70818	-67974	-65676	-65680	-62711	-62031	-58806	-55654	-54399	-51301	-47541	-41625	-39007	-39007	-35838	-33379	-31055	-28896	-28891	-26743	-24569	-22465	-20321	-20348	-18237	-16849	-15921	-14888	-14888	-14183	-13428	-12361	-11415	-11465	-10476	-9392	-8568	-7698	-7698	-6706	-8003	-5992	-2271	-165
