CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	111138	68687	75995	76057	121782	108654	66954	78981	78883	123559	110581	85699	76927	78055	131276	105977	60942	63057	63418	98617	90111	59959	57681	58115	99591	59380	45318	50824	51051	62479	61671	49538	48556	48487	69131	63632	55656	52909	53138	70924	58400	53136	54569	54679	54778	50306	51895	62842	62842	65715	77150	70219	65715	69627	71250	53344	50484	46444	47965	59250	72969	63371	66455	66455	54759	41846	35816	34472	35359	55234	34472	25477
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5661	14029	19453	19453	35109	14083	23561	26368	26368	40300	18719	15917	24154	24654	60609	31907	17336	25589	25586	38771	21861	13985	15678	15678	34316	17996	16286	20865	20865	17118	12596	10175	14411	14411	19603	2844	3624	15351	15819	27498	2354	3040	5087	5636	5361	3302	4314	7450	7450	10007	3068	9403	10007	10415	8587	899	1769	3215	4814	3976	2727	2210	7125	7125	3188	1335	6763	7215	7215	3576	7215	5772
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	12617	5021	5021	5021	17575	17575	5141	5186	5186	4108	5229	5802	9538	9038	3767	3348	2472	2201	2201	2305	2305	1937	1937	6916	1986	1986	1973	1745	1774	326	326	332	332	332	316	4316	-152	316	-148	-192	276	211	211	-216	-188	-188	-86	341	341	0	0	0	0	1599	1599	1599	1599	1599	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	52662	28008	29879	29956	35526	43595	17748	25965	25867	42952	50891	36694	22986	24114	35014	40834	21913	17066	17577	33318	40525	21857	23324	18597	42781	20980	12934	16817	16658	29117	25819	17859	18075	17995	29950	24005	22517	18611	18544	21876	23291	18081	17216	17229	23879	16090	14014	14248	14248	16064	24760	13934	16064	19170	27865	19830	18756	19844	21365	30105	45754	42137	43012	43012	34144	20683	15328	13150	13436	34796	13150	9589
Hàng tồn kho###Inventory	39997	21353	21351	21347	33410	33193	20208	21306	21306	36030	35566	27070	20110	20110	31683	29610	18751	17822	17675	23975	25113	21951	16548	16567	20247	18220	13019	11296	11296	15164	21814	19753	14929	14929	18490	30477	27929	17738	17671	21094	32192	31352	31657	31630	25496	30852	33288	40444	40444	39307	49034	46633	39307	38117	32597	30320	27876	21550	21550	24852	24147	18639	16123	16123	17258	19702	13246	13536	14134	16780	13536	9962
Tài sản ngắn hạn khác###Other Current Assets	200	276	291	281	162	209	295	156	156	169	176	215	139	139	203	277	469	379	379	247	307	229	194	358	261	197	1106	101	458	754	1115	1420	809	820	772	1991	1738	894	1252	649	287	452	399	399	231	251	366	359	359	337	287	249	337	326	602	696	484	236	235	317	341	384	196	196	169	127	479	570	573	81	570	154
Tài sản dài hạn###Non-current Assets	22083	21664	21922	21893	22129	22733	23130	23735	23885	22815	23356	24252	24413	24757	17380	18059	29888	29845	29999	28275	27438	26919	26927	27113	26138	22369	19802	20201	19601	18985	19812	18256	18948	18963	17445	17887	15963	17095	17124	9307	27415	27483	27327	27346	26984	31139	31774	32392	32392	23220	22799	23404	23220	20934	22623	21736	23039	23372	21359	21552	3943	4461	5025	5025	3380	3208	4385	4472	4684	2494	4472	3204
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	1117	1117	1117	950	950	950	0	950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	13230	12767	12941	12941	13100	13286	13266	13445	13376	12696	12887	13065	13243	13278	13451	13624	13804	13986	14020	13478	13639	10655	10764	20621	20491	17680	17812	17944	17885	18014	18144	17375	17464	17478	15998	16040	15952	349	15984	9392	9400	9219	389	24590	24542	24499	24330	16069	24389	15853	16222	15815	15853	15877	15935	15959	15989	16049	16049	16115	438	474	512	512	500	538	604	617	617	657	617	466
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8872	-8726	-8552	-8552	-8782	-8597	-8415	-8236	-8225	-8047	-7856	-7678	-7500	-7465	-7296	-7127	-6951	-6775	-6740	-5646	-5488	-5296	-5134	-5111	-4969	-1053	-974	-896	-889	-813	-738	-1086	-1051	-1135	-1058	-982	-1136	-1109	-1099	-1212	-1178	-1156	-1121	-1394	-1335	-1277	-1218	-1160	-1160	-874	-1007	-933	-874	0	0	0	0	-633	0	0	0	-478	-440	-440	-396	-359	-292	-279	-279	0	-279	0
