CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q4 2016	 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	548481	656560	739708	536011	536011	491710	423753	423753	426175	426175	365541	365541	369847	369847	384520	463571	389236	364728
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	46168	62464	70528	91406	91406	45937	20318	20318	12577	12577	12390	12390	5999	5999	26302	28872	40260	15321
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	474	474	636	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	151804	184713	192717	242123	242123	221962	199299	199299	182413	182413	139353	139353	146540	146540	184722	191451	160586	155620
Hàng tồn kho###Inventory	345702	395204	452589	196003	196003	215455	186530	186530	208078	208078	192205	192205	200283	200283	155216	228107	175035	187489
Tài sản ngắn hạn khác###Other Current Assets	4807	14179	23874	6004	6004	7720	17606	17606	23108	23108	21593	21593	17025	17025	18280	15140	13354	6299
Tài sản dài hạn###Non-current Assets	61519	66232	61985	55834	55834	61270	69949	69949	90238	90238	114288	114288	119618	119618	91976	93603	112630	106089
Các khoản phải thu dài hạn###Long term Account Receivable	1348	2293	882	448	448	281	0	0	2338	2338	2337	2337	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	39863	42715	31075	22152	22152	28043	34291	32323	47014	44947	68982	61509	58150	58150	23953	48256	44424	86043
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-108062	-102264	-101672	-100631	-100631	-103066	-100644	-100644	-104684	-104684	-94015	-94015	-80305	-80305	0	0	-64311	-48845
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-2062	-1659	-851	-347	-347	-279	-177	-177	-76	-76	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-3779	-3411	-3046	-1200	-1200	-1146	-1034	-1034	-903	-903	-959	-959	-772	-772	0	0	-685	-1609
