CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	461241	422612	464285	464285	427838	360301	443829	394263	392705	371674	382394	279602	213136	213136	235974	221901	215158	170114	170114	151317	255261	262831	224723	224465	234816	235696	266583	264923	261917	270092	288750	289888	283947	284116	325137	368602	360395	405884	405884	378148	402482	415076	396071	437777	393821	472677	386523	382656	332209	267322	209519	198921	212045	212042	125280	133715	187058	149082	131758	706195	860839	475484	301145	351520	347267	262034	365624	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	282012	183029	264829	264829	223120	128326	216697	217986	217986	208682	194569	133676	69908	69908	51557	37580	31788	48635	48635	50081	91644	100862	71143	71143	73787	22716	80804	73892	73892	109701	89430	82059	86422	86422	104929	137980	149966	202241	202241	185919	218030	220297	207628	207628	140040	197364	131161	148402	148402	69039	36630	31414	123775	123775	17879	17349	8646	11123	11123	25405	97937	309682	39907	39907	30976	11348	7922	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	1117	1276	1193	1215	1239	1082	1082	1035	1146	1078	870	870	1087	1071	1314	1636	1636	1480	1767	1487	1903	1903	2014	1610	964	955	968	1710	1949	3889	90238	140613	50375	70375	174385	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	75831	120562	70151	70151	97526	119349	146611	98662	98252	80159	112417	73911	69018	69018	111713	118562	117413	52155	52155	46004	110956	111364	99968	101383	105076	158920	136256	136185	131164	103403	147889	156569	141392	141402	160306	157180	122830	120047	120047	105602	95600	113013	93214	92807	101924	112748	122299	129760	103089	81605	106109	101076	24763	24763	41849	39886	89314	53126	58636	546406	589099	46811	58819	58819	141602	58695	67271	0
Hàng tồn kho###Inventory	100067	109856	113838	113838	92062	91855	80486	77106	76467	82012	74309	71087	73226	73226	71479	64594	65284	68567	68567	54961	51810	49549	52947	51438	52276	50492	48542	53558	53558	53644	47995	48494	51628	51628	55900	69601	84028	81126	81126	82786	84980	77582	76929	72986	58418	59455	66916	51860	51860	55685	60080	56370	50220	50220	50893	52336	56226	54463	54463	47608	37536	31785	29371	29371	41341	37971	34560	0
Tài sản ngắn hạn khác###Other Current Assets	3331	9164	15467	15467	15131	20771	35	508	0	822	1099	928	984	984	1225	1165	673	758	758	270	851	1056	664	501	3676	3569	982	1288	3303	3344	3436	2609	3388	3388	2808	2627	2332	1388	1388	2806	2726	3106	17430	63486	92352	102038	64833	50998	27223	59512	4933	8574	11384	11381	12646	22535	31908	29415	6568	85066	134318	83317	82810	82810	82973	83643	81484	0
Tài sản dài hạn###Non-current Assets	1393898	1433765	1511427	1511427	1507120	1552862	1388818	1451662	1451118	1500226	1581923	1647683	1733328	1733328	1853442	1898445	1805847	1906725	1906725	1967454	1599428	1665633	1736624	1735207	1804467	1878910	1764669	1843881	1843881	1906120	1807552	1890306	1953857	1955940	2012296	2064751	2111893	2183435	2184425	2239606	2304077	2402366	2461110	2436721	2499422	2598799	2755404	2683979	2731755	2811191	2923876	3036950	3069731	2973936	3068929	3153560	3210644	3263710	3283650	1880832	1385586	1417050	1440135	1389760	1424540	1461810	721846	0
Các khoản phải thu dài hạn###Long term Account Receivable	231	393	1891	1891	1891	1891	1891	1891	1891	1891	1891	1891	1891	1891	1891	1891	1886	1686	1686	1686	1686	1686	1686	1686	0	0	1691	1691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1245314	1306024	1366768	1366768	1423978	1484551	1330979	1392719	1392719	1460693	1542514	1628369	1714224	1714224	1800095	1703517	1786211	1868905	1868905	1949737	1580828	1652253	1722340	1722340	1791383	1862885	1752557	1819059	1819059	1886609	1788480	1852502	1936066	1936066	1992323	2044297	2091980	2156035	2164392	2220539	2285010	2369447	2411369	2413670	2479095	2541283	2602621	2665270	2665270	2730382	2796711	2865978	2933916	2933672	3018791	3094646	3151730	3204796	3225075	1818957	1324211	1359675	1389760	1389760	1424540	1461810	720259	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3511022	-3450465	-3389889	-3389889	-3330412	-3269993	-3209568	-3147982	-3147982	-3075579	-2994044	-2908342	-2822640	-2822640	-2736922	-2651156	-2568615	-2486074	-2486074	-2406216	-2330141	-2258796	-2187424	-2187424	-2116140	-2046089	-1999726	-1952537	-1952537	-1885141	-1818669	-1767247	-1703534	-1703534	-1639527	-1575560	-1684241	-1620225	-1620225	-1556154	-1491986	-1428236	-1365344	-1365344	-1301210	-1237120	-1173058	-1108998	-1108998	-1044954	-977961	-909237	-840375	-840375	-763976	-687595	-621465	-565844	-587482	-536612	-488223	-452162	-420005	-420005	-517110	0	-411973	0
