CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495816	455656
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	6006040	18937721	99099611	23308401	25630570	24363124	25752303	97589706	24092127	25560035	23352158	24591627	83553713	21490222	21716133	19456271	20952391	70571488	16927894	18692691	17079636	17871267	66318200	16456263	17200548	69377435	69228312
Các khoản giảm trừ doanh thu###Deduction revenues	10715	124732	871527	225100	212187	223435	216125	779065	204748	183213	206493	180089	602743	184060	150310	148119	118754	482514	127557	150445	141486	63026	376504	96813	106562	347068	373800
Doanh thu thuần###Net Sales	5995325	18812990	98228084	23083301	25418383	24139689	25536178	96810642	23887379	25376822	23145665	24411538	82950970	21306162	21565824	19308152	20833636	70088974	16800337	18542246	16938150	17808241	65941695	16359450	17093986	69030367	68854512
Giá vốn hàng bán###Cost of goods sold	9869235	19445060	87259508	21680872	22110016	21703550	21520715	84754419	21454194	22288008	20085027	20786892	72278296	20016772	17513297	17089596	17586689	59246148	15142987	15717079	14501242	14411030	56918457	14465915	14354936	61558539	61654724
Lợi nhuận gộp###Gross profit	-3873910	-632070	10968576	1402430	3308366	2436139	4015463	12056223	2433185	3088814	3060638	3624645	10672674	1289390	4052527	2218557	3246947	10842826	1657350	2825167	2436908	3397211	9023239	1893535	2739050	7471828	7199788
Doanh thu hoạt động tài chính###Financial activities Revenues	902872	240483	1139599	224144	299271	387122	225496	1159738	555841	268695	543298	260628	906645	245674	219857	198568	242324	899843	302714	125787	-405813	877155	1752160	318982	490889	889805	1022712
Chi phí tài chính###Financial Expenses	449926	1128777	2344876	-891	751651	759767	784697	3674968	1022230	1027962	1307824	787320	2293714	-336130	950644	712519	959063	3049418	725909	469806	470261	1383442	4924859	981329	1807672	2962549	2728398
Chi phí bán hàng###Selling Expenses	588354	814263	4616584	1005451	817724	1353349	1430630	4771158	966504	1197771	1304051	1288413	4874949	1203833	1338478	1031717	1315384	4456254	1041357	1082098	1192589	1140210	4022798	1123027	1061134	3609338	3606546
Chi phí quản lý doanh nghiệp###Managing Expenses	258140	398896	2662244	767414	873782	683216	603843	2398254	838978	650004	590829	528467	2323176	700905	632379	547383	456043	2244779	755176	580439	416227	495081	2061616	694808	459870	1555868	1699070
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-4362651	-2748066	2450236	-134250	1162312	-66343	1472876	2355507	194882	490815	303592	1319892	2067618	-12732	1361405	45679	789308	2066995	-545543	827461	-73105	1329847	-193273	-417157	-114173	233878	188485
