CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	188596	176154	177899	189240	162023	125896	97629	98109	78957	121410	101071	97992	97992	118447	125510	176478	164982	160150	162648	169158	179464	217711	217454	207466	154262	132343	133296	149072	158987	120479	126198	126198	128273	114160	112234	138766	138278	120499	190314	214368	156545	156416	206645	98230	115261	80947	80844	105074	113692	81869	116837	116837	154705	254950	194942	158123	155170	171048	150094	141266	219295	219295	104429	84793	88763	95883	96114	90850	48666	117641	48666
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	798	1796	3554	522	301	1077	1635	1635	4490	6663	2173	5654	5654	5627	6829	3037	2258	2258	343	3382	10460	492	492	3157	542	1460	1460	5849	40346	1479	919	919	1355	1774	3027	5381	5381	2081	1036	1709	3917	3117	1826	700	9883	6216	6216	1009	28724	4122	34184	34184	43783	23772	20642	3592	3561	6232	4152	29285	118156	118156	5287	27687	50804	53419	53419	12765	14340	593	14340
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	13585	13585	13815	13815	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	164696	149186	149181	164067	140365	101162	58141	58621	45764	82268	56761	67504	67504	63098	71344	117702	102495	97669	101739	121270	118498	145747	145868	150022	114036	86541	85343	99366	75710	62710	44836	44836	42712	32865	49366	62046	62046	7793	5849	14781	11437	11437	19299	16846	26785	33927	33824	35598	14470	9195	30616	30616	47631	159553	80772	67520	65289	66212	101977	77948	60661	60661	47904	22960	5630	7299	7299	15949	10725	85723	11422
Hàng tồn kho###Inventory	23102	25173	25164	24651	21357	23657	37853	37853	28587	32138	41275	24814	24814	48231	44115	49560	49992	49992	53717	36879	46518	68097	68097	49143	38885	39974	42125	40089	39819	54280	78197	78197	79993	74200	50705	64724	64236	105907	178274	193208	139651	139521	171685	76310	75246	39801	39801	66538	66420	52377	42934	42934	57716	56265	92344	85991	84252	94028	42315	33236	36916	36916	48195	25218	17311	19734	19734	44775	21301	23941	21301
Tài sản ngắn hạn khác###Other Current Assets	0	0	0	0	0	0	0	0	116	341	862	19	19	1491	3221	6180	10236	10231	6849	7627	3989	3376	2998	5143	799	4368	4368	3769	3112	2010	2246	2246	4212	5322	9136	6615	6615	4719	5156	4669	1540	1540	13835	4374	3347	1004	1004	1929	4077	16176	9103	9103	5575	11360	1184	1020	2068	4576	1650	797	3561	3561	3043	8927	1434	1845	1845	3545	2301	7382	1603
Tài sản dài hạn###Non-current Assets	544321	554995	553247	562427	572082	580415	591331	594939	604072	601326	615416	623489	623489	669510	684316	721599	736479	760399	775482	788247	806416	820241	820220	826715	856336	871419	871469	884628	898662	907732	922907	922907	938338	953185	976423	1000083	1000083	1013186	1029515	1037582	1048966	1047480	1007923	968735	901484	863064	861946	812702	786170	754971	603480	603480	487088	297200	211909	195535	193035	192344	174415	163832	162337	162337	144936	94029	94873	96054	95824	85418	62810	51424	62810
Các khoản phải thu dài hạn###Long term Account Receivable	0	1758	0	0	0	0	0	0	0	0	0	0	0	0	0	21	21	21	21	21	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13650
Tài sản cố định ###Fixed assets	542446	551141	550945	559478	568375	575859	586040	581610	589595	584920	598846	612076	612076	626408	641049	653289	668150	668150	683214	697578	712576	727709	727709	738033	766968	782430	781975	796629	810407	821539	836458	836458	851046	865440	886423	886250	910083	923186	933497	940861	889355	950985	911439	872117	805880	767460	766475	696600	667700	638728	489418	489418	373503	209573	84775	66899	66814	66123	46772	46190	44695	44695	42362	40829	41673	42854	42854	27171	22459	43001	22459
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-533757	-526218	-526208	-517407	-508570	-500926	-490751	-487745	-479410	-481728	-467690	-453557	-453557	-439178	-424594	-410837	-396050	-396050	-381180	-366174	-353148	-338096	-338096	-323038	-293091	-278125	-278306	-263152	-248066	-233172	-218142	-218142	-203174	-188037	-174510	-159347	-159347	-144330	-129256	-114490	-100276	-100276	-98535	-97128	-95722	-94794	-94794	-93423	-91928	-90438	-88954	-88954	-87439	-85847	-84308	-82855	-82855	-81433	-80027	-78663	-77347	-77347	-76052	-74757	-73598	-72227	-72227	-71244	-68711	0	0
