CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	 2014	 2013
Các khoản giảm trừ doanh thu###Deduction revenues	2019	2306	14702	2645	4301	3068	4688	10658	6874	1820	1092	872	3563	1001	1455	537	570	721	671	0	24	942	5182	3083
Doanh thu thuần###Net Sales	431994	647823	3335692	801285	725926	1029302	778917	3499310	855558	963959	1004001	675729	3020622	893620	734870	756145	635859	3237787	868573	852113	793477	3882406	4181625	4294643
Giá vốn hàng bán###Cost of goods sold	386345	573289	3045489	737887	648746	939868	715804	3204732	802179	882871	933752	585796	2734374	844716	658509	695590	533299	2780157	753724	741966	652070	3475617	3787324	3719789
Lợi nhuận gộp###Gross profit	45649	74534	290202	63398	77179	89434	63113	294578	53378	81088	70249	89934	286249	48904	76361	60555	102560	457629	114849	110147	141408	406789	394301	574854
Doanh thu hoạt động tài chính###Financial activities Revenues	7163	13307	67050	23150	7830	20523	16007	37029	7167	4736	11952	13175	67753	29723	6619	10093	10920	92046	48044	2930	3313	60468	101803	47660
Chi phí tài chính###Financial Expenses	13731	44067	166229	35169	41253	51054	38554	160849	41838	34506	55888	32483	151504	43165	30182	40285	31478	133540	43630	25293	36531	194044	164828	216873
Chi phí bán hàng###Selling Expenses	17102	22778	148335	42271	36080	38645	31321	131321	41264	33483	28963	27662	110628	40044	27431	21130	22182	106296	40588	24218	24700	98484	90895	101406
Chi phí quản lý doanh nghiệp###Managing Expenses	26148	34160	206554	59322	44230	49907	53706	180434	60253	41532	37971	42256	193170	68865	37515	36785	45500	275650	155482	44473	31990	190911	202980	193744
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	83769	88052	203846	14694	60134	69331	59298	191014	14059	29834	74982	59863	168166	-5578	37353	71750	65151	268283	13551	28444	163088	195726	37401	110491
Thu nhập khác###Other incomes	-273	276	12208	1838	1230	3103	6072	95260	68933	15088	13582	724	26763	1988	7234	8457	11271	9150	-467	3010	6671	11615	38978	67577
Chi phí khác###Other Expenses	-168	355	7490	3356	3617	1885	58	65109	61607	480	3418	372	5855	-14178	4166	-1724	19865	265	-6909	7554	6	2877	40932	67958
Lợi nhuận khác###Other profits	-105	-79	4718	-1518	-2388	1218	6014	30151	7327	14608	10164	352	20909	16166	3068	10180	-8595	8885	6441	-4544	6665	8738	-1954	-381
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	83664	87973	208563	13176	57746	70549	65312	221164	21385	44442	85146	60214	189074	10588	40421	81930	56556	277168	19992	23900	169752	204463	220861	280932
Chi phí thuế TNDN###Corporate Income Tax Expenses	1013	99	4866	-477	2290	3173	276	3551	-3118	2336	3717	101	1855	-207	555	788	492	4903	3330	1031	593	8301	18963	36217
Chi phí thuế TNDN###Corporate Income Tax Expenses	1013	99	4866	-477	2290	3173	276	3551	-3118	2336	3717	101	1777	-217	531	764	469	4811	3307	1007	570	8334	18834	38189
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	79	9	23	23	23	92	23	23	23	-33	129	-1972
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	83636	88027	197314	10358	55828	67535	61420	205576	10052	43505	81943	60981	186451	9856	39451	81757	56082	244131	16662	22869	169159	188271	225418	244715
---Cac Chi So Tai Chinh---																								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	14.01	12.26	13.31	13.31	14.01	15.06	12.44	12.07	12.07	12.82	10.10	11.32	10.52	10.52	12.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
