CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	1226205	1217167	1206003	1206003	1201920	1146129	926484	919724	919724	921958	790167	1111099	1008454	942990	224748	113609	90028	101810	91448	54618	52079	62615	81625	96357	156796	162282	147717	154773	288124	269516	270163	270072	255726	274449	274986	276959	320277	309426	316676	317393	312909	334324	353059	361221	408502	413289	356498	352058	327052	325602	261459	267358	214581	214581	184332	186323
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	10211	10237	14411	14411	11971	15892	34576	31260	31260	42948	33265	111915	71638	71638	21546	63093	22650	55380	76054	3302	1872	562	1932	1932	9757	19538	1861	1033	1036	275	864	374	396	396	318	3233	1358	1106	880	1158	4002	3195	9283	3032	4484	4634	8007	40266	3266	9125	9841	34990	6005	6005	4498	4356
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49829	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	248	248	0	0	6351	8518	0	18000	0	37000	35500	20000	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	46573	47223	30280	31890	33388	52199	109761	111522	111522	372911	251568	327021	322803	248749	72256	47705	10786	36821	8785	10189	9753	21775	41459	39222	21969	21015	23657	38669	43209	16927	20035	21448	9396	20198	20558	20410	42604	30977	35162	41683	42028	38546	40881	36019	26487	31102	31354	41041	23054	41114	31182	28167	17737	17737	18538	49310
Hàng tồn kho###Inventory	1140725	1131301	1132453	1132453	1129887	1067720	764533	758665	758665	488017	487432	660527	612961	621552	130778	2599	6268	6113	6113	40467	39803	38902	37727	52119	118646	115214	120297	114870	242462	250657	247648	246083	244520	252505	252684	252086	274259	275263	278330	272904	265379	289913	299997	311982	335834	347107	276545	254308	246621	235724	196947	201283	188387	188387	159712	127945
Tài sản ngắn hạn khác###Other Current Assets	28696	28406	28859	27249	26674	10317	17614	18277	18277	18083	17902	11636	1052	1052	168	211	494	496	496	660	651	1377	507	3084	6425	6516	1903	201	1417	1656	1616	2167	1413	1350	1427	1231	2057	2080	2078	1399	1252	2670	2898	3837	33180	30446	22593	16443	17111	4140	3489	2918	2452	2452	1584	4713
Tài sản dài hạn###Non-current Assets	468929	469202	469138	469138	464561	484383	499533	499359	499359	318454	308739	7645	9003	9135	14447	140672	168695	153893	144190	147648	147863	148129	148411	151250	194512	194314	188184	188225	62176	62993	63814	70726	74731	68700	93989	94544	101064	101303	101195	101209	100689	82698	76784	75035	72150	69487	117004	109754	114559	87652	114833	85492	83611	83611	71136	55646
Các khoản phải thu dài hạn###Long term Account Receivable	5	400	400	400	25	380	360	360	360	360	360	5	5	138	0	0	25000	10000	0	0	0	0	0	0	0	0	-1515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2711	2833	2956	2956	3076	3201	3695	3452	3452	3558	2426	1036	1039	1039	1043	1050	4725	4762	4762	4817	4872	4935	5008	5008	10201	10277	10353	10440	10393	10478	11450	11616	44254	44202	44676	44805	49624	17226	48299	48646	47551	68631	18438	62728	59889	57104	46954	19775	49641	30523	50157	29801	30013	30013	29483	33761
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-748	-1017	-925	-925	-835	-739	-644	-548	-548	-452	-368	-349	-378	-378	-373	-429	-2281	-2386	-2386	-2354	-2321	-2289	-2246	-2246	-2203	-2157	-2112	-2247	-2294	-2389	-3353	-3248	-3118	-3118	-2919	-2820	-7657	-7378	-7379	-7175	-6874	-6567	-6262	-6262	-5952	-5583	-8339	-8027	-8027	-7916	-7654	-7352	-7118	-7118	-6044	-8388
