CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Vốn chủ sở hữu ###Owners equity	34908	33249	35185	35214	35507	34018	32059	31420	31420	34092	32565	30471	30036	30047	32321	31539	29060	31006	31006	30849	30067	27602	27121	27121	30142	28503	26298	25818	25818	28920	27132	26101	25669	25675	27771	25485	24178	23723	23322	25372	23365	22357	22002	20958	23185	21268	19665	19457	19467	21898	19816	18733	18411	18404	20823	19101	18101	17624	18606	19583	18466	17278	9335	9321	9645	8590	7676	7128	7295	6108
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50417	43072	39901	39905	46715	46346	40603	39216	38721	51931	50666	47870	49674	49748	64333	57326	54138	55487	55487	65912	56047	47519	47908	56826	52644	49058	43437	43437	43447	54580	49856	41801	35577	35544	42599	26074	18778	16124	16124	11544



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	21478	6377	64013	4778	21505	30252	7479	59444	4582	22412	25083	7367	70403	4658	31823	26396	7525	73730	6348	29025	31366	6990	63154	3749	26472	24944	7989	64868	5168	28984	23901	6816	63099	3376	28092	24761	6870	63226	5830	27527	22920	6949	55105	4866	26829	19417	3992	54571	7552	26564	16685	3770	55908	5104	27030	16790	6984	50603	4280	25321	15718	5283	45322	6846	19316	14237	4924	35311	5332	25470
Các khoản giảm trừ doanh thu###Deduction revenues	402	0	1024	140	411	473	0	1296	-48	496	848	0	867	92	374	387	13	1740	88	1118	441	92	1055	285	414	350	5	188	38	120	0	30	110	54	0	56	0	302	267	25	0	10	151	111	17	2	21	465	376	21	19	49	91	20	5	57	9	210	83	20	95	12	373	355	11	7	1	139	120	44
Doanh thu thuần###Net Sales	21076	6377	62990	4638	21094	29779	7479	58147	4630	21915	24235	7367	69536	4566	31449	26009	7512	71990	6260	27907	30925	6898	62099	3464	26058	24594	7983	64680	5130	28864	23901	6786	62989	3323	28092	24704	6870	62924	5563	27502	22920	6938	54954	4755	26812	19416	3971	54107	7176	26543	16666	3722	55817	5084	27026	16733	6975	50392	4197	25301	15623	5271	44949	6491	19305	14230	4923	35172	5211	25426
