CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	336731	341800	429074	428996	365690	360871	381364	453703	453834	350763	404140	392003	421832	422947	351495	373901	380827	392543	392237	303512	306081	346364	373471	373119	391817	406183	452990	524301	524474	513044	616329	1080599	1137922	1141779	1057168	1016179	1100068	960486	955373	831455	813200	761590	902378	974002	816641	580389	619872	578169	574542	401949	270231	273483	304844	305434	187887	126666	140069	209649	212016	320522	215068	235961	387146	387146	376132	893707	285171	1033662	234194
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	61975	57638	144074	144074	76157	77642	115797	180634	180634	67025	106290	114554	114240	114240	56984	73112	109288	136194	136194	39888	39703	73121	92677	92676	93285	90241	168574	180602	180602	159613	237694	741537	590633	590633	491166	485354	684403	558519	558519	475551	513248	576648	674988	674988	640318	433009	533398	441207	441205	282753	146775	188977	245240	229440	109392	43425	75052	150077	136963	187064	86837	144443	299675	299675	280514	222586	211104	315744	112828
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36875	36875	43775	43775	31896	83511	78390	292281	292281	290759	265930	169366	210350	210350	193770	143670	27720	32900	33349	3449	3649	3649	10449	10449	20842	26025	21043	9296	25096	19633	16032	19535	8650	21764	34150	25800	22808	18010	18010	20456	19706	20085	20213	31976
Các khoản phải thu ngắn hạn###Short term Account Receivables	185653	190440	198477	198320	203899	197175	187679	190912	191052	194429	191546	182400	199516	199511	189504	188229	181411	179235	179036	174392	178639	174512	178863	178640	180279	162280	139403	190605	190725	189678	175202	147676	144831	144781	141488	135423	180580	107745	104094	51600	40812	73583	66674	137853	65410	55049	36994	34683	34683	38618	29370	14973	10025	10294	18555	23657	17136	22854	24180	43096	39917	37872	48348	48348	32400	596888	26253	659885	71564
Hàng tồn kho###Inventory	46621	62736	56016	56095	52590	49106	48242	52454	52445	58112	63964	65150	79709	80858	76853	77351	61684	49058	48951	62032	55531	70663	74239	74164	86342	72114	71142	88381	88425	112873	106017	81173	94605	94831	121077	118884	55814	76410	76116	106731	109676	75346	125293	125288	103128	79548	42662	85585	86740	53022	49658	46989	38863	39168	26011	22521	26659	27175	28216	51632	41072	29690	19307	19307	21753	27752	11913	22891	16438
Tài sản ngắn hạn khác###Other Current Assets	42482	30986	30507	30507	33044	36949	29646	29703	29703	31197	42340	29899	28366	28337	28154	35209	28445	28057	28057	27200	32207	28068	27692	27638	31912	44673	36995	20938	20947	18984	13906	31823	15572	19251	12678	10588	9905	7461	6293	3804	5794	8293	2523	2523	4336	9135	3169	6246	1465	6715	18402	1500	1418	1435	14297	21031	1688	894	894	4580	21442	1148	1805	1805	21010	26775	15815	14929	1387
Tài sản dài hạn###Non-current Assets	1550658	1558961	1538936	1541275	1527732	1515752	1487995	1482832	1482925	1468095	1435938	1419037	1410703	1408950	1395949	1375832	1360565	1360834	1361133	1325918	1296596	1280186	1274998	1274080	1230455	1170898	1152152	1062955	1062652	982085	905508	814723	796129	791997	742994	692931	634575	523668	536633	522194	506917	598763	568881	498026	482235	476122	469881	476779	476792	473505	482459	476655	486004	486110	470487	466525	447575	451024	451637	423918	423924	427506	430026	430026	416937	415235	418178	422393	190064
Các khoản phải thu dài hạn###Long term Account Receivable	1781	1812	1780	1780	1782	1790	1783	1783	1783	1794	1763	1753	1746	1746	1747	1748	1749	1749	1749	1715	1716	1714	1730	1728	1727	1676	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	322680	332448	262834	262834	271690	277765	237071	239442	239442	246400	252736	263858	249954	249954	256335	262470	273343	248967	248967	258405	265627	276162	263532	263480	252967	253385	271660	862938	264893	243269	245275	250511	610101	606721	550040	503181	455387	245931	352264	343827	346049	345541	258771	350760	340529	334416	331175	257738	335411	316871	311615	315603	323606	323588	317318	318452	308901	316922	317048	300935	300507	303887	308356	308356	201394	201679	204332	317176	163760
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-270259	-270316	-267832	-267832	-267339	-264244	-262856	-256325	-256325	-260581	-253338	-255552	-249591	-249591	-247245	-240298	-240334	-238644	-238644	-237548	-230438	-226930	-225563	-225545	-222313	-220772	-221283	-218505	-218773	-219334	-212579	-209970	-210651	-210651	-210516	-204316	-210235	-204545	-207365	-204237	-202617	-203637	-199151	-199151	-193259	-191307	-190921	-186186	-186186	-180499	-176152	-176588	-174591	-174591	-169147	-166287	-166328	-165054	-164942	-162121	-158377	-155373	-150377	-150377	-143089	-140798	0	-131936	0
