CAN DOI KE TOAN	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	41415	45849	25728	20353	21429	47904	40308	22141	18461	18461	43703	31541	15597	12269	12269	27095	22025	7440	7174	7174	17994	14468	6430	6585	6585	14618	12814	3622	3660	3660	10377	11949	5019	4025	4025	11469	11093	4327	4781	4781	9848	13113	3178	5435	5435	9734	18395	7899	9971	9971	15680	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1064	347	676	561	561	737	382	2770	850	850	2212	629	1010	1548	1548	1357	460	856	558	558	859	753	667	984	984	1987	1377	1162	830	830	581	1826	655	1156	1156	1932	739	948	980	980	148	334	209	698	698	595	2790	2391	4699	4699	5328	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	34306	38448	19561	18401	19476	44910	36472	16946	16757	16757	38521	28409	12705	9811	9811	22719	18038	6059	6083	6083	15512	11971	5249	5001	4995	10754	9568	2078	2315	2315	6429	7345	2382	2086	2086	6546	7821	2436	2541	2541	7716	9893	1869	3365	3365	6802	13320	4573	4373	4373	3574	0
Hàng tồn kho###Inventory	5467	6572	4857	647	647	1535	3267	2367	796	796	2486	2288	1616	663	663	2916	3527	525	534	534	1516	1745	493	600	600	1797	1811	367	472	472	3295	2751	577	780	780	2907	2513	939	1260	1260	1945	2842	1084	1341	1341	1318	1846	500	464	464	773	0
Tài sản ngắn hạn khác###Other Current Assets	578	481	633	744	744	722	187	58	58	58	483	214	267	248	248	102	0	0	0	0	108	0	20	0	5	79	58	16	42	42	72	28	6	2	2	83	21	4	0	0	39	44	16	30	30	1019	440	436	435	435	5	0
Tài sản dài hạn###Non-current Assets	29145	30133	31447	32046	32046	24776	18878	19737	19684	19684	16388	16606	16346	18847	18847	18181	18932	17968	18070	18070	16786	16286	17088	16765	16765	16676	16719	16976	16976	16976	16976	17299	17622	17622	17622	17622	17939	17959	17959	17959	17809	18159	18728	18728	18728	17647	11478	11425	11425	11425	1121	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	2600	2600	2550	2757	1300	1450	1450	0	0	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3255	3618	3800	3981	3981	3981	4344	4707	4707	4707	4689	5065	3850	3850	3850	3850	4147	4444	4444	4444	4473	4873	4963	4963	4963	15106	15131	15411	15411	16450	16450	16760	17122	17122	17122	17122	17439	17410	17176	17410	17309	17567	17874	17676	17874	17411	11465	11412	11412	11412	1105	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5094	-4731	-4549	-4368	-4368	-4368	-4005	-3642	-3642	-3642	-3669	-3293	-2916	-2916	-2916	-2916	-2619	-2322	-2322	-2322	-2293	-1893	-1844	-1844	-1844	-2546	-2430	-2156	-2156	-2763	-2795	-2491	-2238	-2238	-2238	-2238	-1927	-2062	-2062	-2062	-2059	-1765	-1463	-1463	-1463	-1738	-1446	-1270	-1270	-1270	-1060	0
