CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	Q2 2008	Q1 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	7995076	7848504	7520283	7558525	7879948	7669512	7657766	6967035	6962978	6594285	6475034	7097387	3741961	3734939	3740525	3602578	3480094	3250054	3264770	3016745	2904205	3109015	3057128	3036689	2968147	1666333	1633249	1953211	1948960	1317811	1241584	1149170	1069348	1078463	1076976	1046429	988380	976693	976694	1080281	1151396	1104563	897401	896406	966123	849135	930275	792945	794380	576054	662799	446584	374023	383412	474418	548968	413202	447033	480792	170189
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	579358	380755	822987	823040	579834	694563	439064	502271	502271	837244	559433	589723	253200	253200	259694	273595	220914	211493	568633	395353	408202	470399	472340	472318	1321315	55432	39505	389732	389699	27036	37582	21776	25769	25769	27307	30972	41204	55113	55114	46651	100540	24257	32613	30835	73949	32343	195574	102231	102241	52391	47020	19250	6101	6091	32418	30457	66279	96588	196241	1618
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	441647	507432	657885	658110	927005	928524	891898	963627	962316	670355	856494	685319	249040	249040	307640	307640	307940	372140	11500	11310	12310	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	3459392	3675741	3014849	3059489	3505665	3140097	3628417	3126215	3103381	2874770	3026041	3962265	1868054	1791981	1820259	1762829	1555943	1400217	1393349	1437550	1177376	1566360	1572441	1574726	676868	635032	559924	625975	622880	531243	479951	521251	470830	479990	483859	501609	423207	396034	396034	552791	571181	494662	293971	293971	392557	401179	304755	288412	289263	139145	286098	135131	105458	117729	142925	206087	101848	80106	92547	22992
Hàng tồn kho###Inventory	3459705	3186253	2899217	2891319	2766276	2620094	2624533	2310635	2330488	2134458	1952971	1761876	1322500	1391458	1335745	1250724	1382095	1259338	1239914	1137816	1282879	1060886	1005218	982515	951522	965364	961056	861193	860071	694965	660130	538284	502828	502828	498673	452935	462353	454746	454746	407310	400612	429220	406761	407638	350982	322428	345949	345536	345536	306879	295301	263783	240838	237968	265790	273383	212720	181086	119718	135407
Tài sản ngắn hạn khác###Other Current Assets	54974	98322	125345	126568	101168	286236	73854	64288	64522	77458	80095	98204	49168	49260	17187	7791	13203	6867	51375	34716	23438	10369	7130	7130	18442	10505	72764	76311	76310	64567	63922	67858	69921	69877	67138	60913	61616	70800	70800	73529	79063	156423	164055	163961	148635	93185	83998	56765	57340	57639	34380	28420	21626	21624	33286	39041	32355	89254	72286	10172
Tài sản dài hạn###Non-current Assets	8313559	7954832	8076029	8066140	7801729	7687104	5211694	5008425	5035059	4536138	4418289	4339194	1868832	1851840	1916343	1657297	1626440	1630468	1653148	1428123	1400618	897615	851374	874854	594763	553206	541900	528033	529559	606356	617987	606590	604164	597047	609828	608619	606132	601123	600706	548573	524797	498642	480852	490040	540651	536600	490809	451948	459007	417474	408236	376773	385183	363183	441743	322459	215557	174428	153553	73184
Các khoản phải thu dài hạn###Long term Account Receivable	23707	24007	24216	24216	15876	15846	13143	13143	13143	16407	16189	17504	6192	6192	5942	2562	2262	2262	2262	1451	850	849	848	888	887	883	840	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	957	957	957	957	957	957	957	947	947	0	827	0	0	0	0
Tài sản cố định ###Fixed assets	5725640	5708732	5749238	5739881	5524715	5399931	3025582	2349530	2340045	2055073	2050989	1754463	225028	225058	266812	202076	204930	206914	284432	174779	146988	144410	141727	141727	91205	90048	90492	143047	91309	51600	48003	48414	254033	254033	248060	248609	236633	31033	236790	223026	209994	193229	29962	175413	219260	234003	229998	42023	213743	191128	165805	154899	164446	120144	254267	135201	57408	123419	103666	60896
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-627374	-568874	-503225	-503340	-446778	-392721	-369359	-345592	-344173	-321630	-319695	-332285	-105459	-105429	-106797	-102352	-97989	-95995	-116571	-48139	-46082	-44138	-42517	-42517	-23187	-22092	-20701	-19735	-19735	-7858	-7389	-6540	-6901	-6901	-6541	-7102	-6363	-6013	-6013	-5509	-5753	-5315	-4880	-4826	-4618	-3896	-3507	-3126	-3126	-2985	-2657	-2626	-2344	-2344	-2076	-1355	-1157	-1285	-1167	-5139
