CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	434602	434641	434905	434905	444803	435761	425278	441184	440828	453807	438958	444852	455434	525316	528159	533909	533348	459661	455182	459170	447590	1022227	1022227	1237759	1304248	1055240	1024774	1053539	929764	900959	919285	992178	1015929	1024871	969683	962040	902910	870903	974926	1032157	1137529	1035783	1071594	974926	366982	360498	356241	364249	204388	205292	188481	141776	96694	92055	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	591	564	550	550	869	781	741	839	1370	1152	1152	1051	782	797	784	784	714	757	3386	4636	4636	5445	5445	5372	5488	5848	12698	11264	18899	16484	18046	17775	16332	39217	43993	49589	49693	50780	118907	241882	91771	89662	101242	118907	69016	69016	41983	57850	5943	5128	5128	5892	4927	7333	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243645	243645	237402	216695	237311	237648	216351	242365	233815	51767	45051	46396	169561	275299	250297	192384	227598	240176	165381	271976	41652	39195	240176	12608	12328	12181	24702	5589	4130	4130	6110	5821	22284	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	349231	349298	349578	349578	359160	350218	339776	353274	341970	356538	341689	345754	356674	426551	430253	435328	437624	365185	358148	361022	347740	530534	530534	429865	502347	505850	403019	444640	432916	403872	573915	609399	628029	637966	497558	501898	487466	455302	500095	494753	568617	684580	778372	500095	211151	208875	208559	214909	129605	135725	116415	84565	58523	34786	34482
Hàng tồn kho###Inventory	83707	83707	83707	83707	83707	83707	83707	85576	94384	93187	93187	94833	94872	94871	94110	94110	91761	90805	90814	90720	92422	202681	202681	517395	534359	260828	325779	335288	187911	194112	206192	253391	239716	125929	103062	118552	134368	99165	88437	89202	162344	166962	123281	88437	69315	65387	83689	61718	54791	49452	51951	39061	26302	25968	0
Tài sản ngắn hạn khác###Other Current Assets	1074	1073	1071	1071	1068	1056	1054	1495	3104	2929	2929	3213	3107	3098	3012	3687	3249	2914	2834	2792	2792	39922	39922	47725	45358	45403	45630	45996	47673	52676	69365	66562	85456	52197	49770	41705	38998	38058	27310	40939	42821	52927	29504	27310	4892	4892	9829	5070	8460	10857	10857	6148	2089	1685	0
Tài sản dài hạn###Non-current Assets	130717	130717	130717	130717	130717	141556	152224	141556	198222	199850	211941	216791	220003	220510	220974	232807	237517	238386	246030	245262	261301	195845	195845	224743	197049	240285	435471	455730	581995	601284	1296696	1301706	1262687	1281955	1239403	1248861	1163189	1154337	996319	909185	910617	874875	686760	996319	151880	160358	120055	55219	70395	65407	68134	61630	42775	15287	0
Các khoản phải thu dài hạn###Long term Account Receivable	115869	115869	115869	115869	115869	126707	136080	126707	136080	136080	147913	147913	147913	147913	147913	159746	159746	159746	165662	165662	177495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	151	0	0	0	4	4	0	4	4	0	0	0
Tài sản cố định ###Fixed assets	11133	11133	11133	11133	11133	11133	11133	11133	31053	31433	31433	32457	32837	33217	33600	33600	38386	38769	40264	40264	40264	131809	81899	111002	122281	115257	101432	103219	132670	110023	775078	738493	726207	1136775	127766	1102952	1028185	1030549	876803	158811	801389	777672	593305	876803	128778	128778	97570	50047	63870	61069	61069	44055	37608	10214	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-18934	-18934	-18934	-18934	-18934	-18934	-18598	-18934	-35340	-34960	-34960	-34286	-33906	-33526	-33142	-33142	-37883	-37500	-36145	-36145	-36145	-86038	-86038	-66446	-63709	-48988	-45410	-42330	-40129	-55105	-122183	-118995	-123096	-120097	-116508	-114118	-108071	-103489	-98203	-99090	-97690	-94638	-86823	-98203	-21097	0	-18047	-15276	-14189	-11592	-11592	0	0	-6715	0
