CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	 2016	 2015	 2014	 2013
Thu nhập khác###Other incomes	16838	7969	133125	41651	24878	19056	15310	463546	37203	17042	403004	9889	131271	92266	58460	132739	78251
Chi phí khác###Other Expenses	9348	5589	48398	21982	7339	6227	11016	449391	15013	29524	391282	2454	25332	21839	29147	94004	66476
Lợi nhuận khác###Other profits	7490	2380	84727	19670	17539	12829	4294	14155	22190	-12482	11723	7435	105940	70427	29313	38735	11776
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	275937	364390	2981090	1033819	562383	724387	700454	2559253	1061095	443541	581123	503624	1117670	919868	614295	697529	1597651
Chi phí thuế TNDN###Corporate Income Tax Expenses	27609	32163	350204	108225	36236	115796	87259	247481	120992	21677	81643	20023	81688	34060	30961	51072	182421
Chi phí thuế TNDN###Corporate Income Tax Expenses	27501	59650	350482	109082	42634	115787	87271	287024	144680	25809	105340	20003	110796	162342	107652	128886	278268
Chi phí thuế TNDN###Corporate Income Tax Expenses	109	-27487	-278	-857	-6399	9	-13	-39542	-23688	-4132	-23697	20	-29109	-128282	-76691	-77814	-95847
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	273907	353776	2774851	995322	560812	632052	628732	2452541	1017966	449106	499481	510323	1229608	984709	681705	741261	1415231
---Cac Chi So Tai Chinh---																	
EBITDA	1.06	1.09	-0.16	-0.16	0.27	1.12	0.41	0.53	0.53	0.44	-0.10	2.01	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	26.60	16.60	30.10	30.10	31.20	24.90	25.86	23.62	23.62	19.23	18.54	24.30	0.00	0.00	0.00	0.00	0.00
