CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	 2010	Q4 2010
Tài sản ngắn hạn###Current Assets	92184	91325	89395	91016	82508	84860	63084	76236	79965	72822	88103	103249	78464	77948	80237	125592	91426	78312	78301	87846	72488	71948	85606	85595	97523	99057	63835	72225	72225	78801	61400	65738	65738	59837	59837	41595	41595	27713	27713
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2705	10421	5462	5462	1485	2813	3555	5140	5140	4541	5745	4621	5694	5193	3580	7032	16110	5223	5223	9315	7652	9403	14504	14504	1608	6224	3803	2872	2872	1280	4763	1253	1253	3766	3766	12487	12487	11316	11316
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2724	2724	2724	2724	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	50993	39336	42923	42911	35580	51782	25791	24439	24419	26071	34252	54618	16719	16704	34173	76927	34464	30809	30799	34529	22670	19013	25502	25467	25993	24561	16181	33178	33178	28240	23742	14494	14494	11923	11923	5855	5855	4714	4714
Hàng tồn kho###Inventory	35174	37535	36961	39357	41673	30095	33596	45512	49553	41682	47304	44010	54871	54871	42371	41380	40648	41946	41946	43947	41758	43532	45600	45600	68328	66261	42456	35728	35728	47672	32873	47985	47985	42130	42130	23004	23004	11633	11633
Tài sản ngắn hạn khác###Other Current Assets	588	1309	1324	562	1370	170	141	1145	853	528	801	0	1180	1180	113	253	204	333	333	55	408	0	0	25	1595	2011	1395	446	446	1608	22	2006	2006	2018	2018	248	248	49	49
Tài sản dài hạn###Non-current Assets	37540	31324	33277	33277	33762	30276	27415	28962	28962	29937	30333	30839	31976	31991	29554	30517	26095	24654	24664	25843	27012	27248	28066	28077	27992	27581	26788	23092	23092	23697	24467	25045	25045	27389	27389	36623	36623	41302	41302
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	15	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	31035	27613	28948	28948	26774	26932	26445	27742	27742	28467	25539	26576	25551	25551	22083	23073	23898	23378	23378	24346	25314	26080	27037	27037	21035	21638	21895	22712	22712	23497	23956	24478	24478	26710	26710	32374	32374	35958	35958
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-51499	-50083	-48991	-48991	-50574	-49249	-49082	-47785	-47785	-46421	-45091	-43987	-42725	-42725	-41694	-40662	-39630	-38677	-38677	-37860	-36892	-35929	-34972	-34972	-34067	-33241	-32417	-31932	-31932	-32228	-31360	-29842	-29842	-27410	-27410	-24986	-24986	-21797	-21797
