CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	4772880	4395539	3715299	3841287	3822368	3612640	3933581	4330672	4384206	4944369	4444800	4684827	4786143	4857750	5273454	4226940	3879257	4741485	4687867	4314082	3994068	4283808	4542240	4793144	4816954	4899306	4919014	5282005	5277599	4844708	4783959	5290983	5661288	5634842	4287701	4108120	3662618	3653796	3578191	3080339	3529397	3699307	3314288	3358938	3493356	3338578	4113151	3604395	3651801	3869406	2466521	2538050	2754895	2434495	2040042	2013304	1500828	1293964	1271459	1300363	1274220	1100813	936173	947134	563331	387296	319099	319099	372518	387296	130015
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	489282	525626	816407	892513	895529	531454	726714	1038281	1066946	1341907	1384794	1545325	1342345	1370765	1501298	1266227	1080669	1694402	1692838	1589221	1370625	1197574	1461211	1470433	1598466	1636881	1614501	2050148	2050148	1549208	1050521	1246421	2100533	2100683	1433061	1306816	1015012	1129910	1130212	945122	645146	388219	363907	362407	1098833	596483	537362	533466	533466	889577	397581	140844	431280	313261	242862	286723	161330	77644	80500	168765	105642	73774	38692	40383	34552	18815	18993	18993	25343	18815	74235
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	111776	74748	99201	25823	24923	30168	21545	28012	0	0	28305	0	28245	0	0	7500	0	13500	0	0	7000	0	9223	0	0	4000	18377	18377	18377	18377	18377	18377	18377	18377	18377	18377	18377	18377	18377	18377	28369	23729	19047	21550	902	350	350	750	750	2084	558	70129	147247	260474	351428	236500	4785	4962	4962	8549	11820	22003	16519	16519	0	0	180000	180000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1962992	1730280	1451096	1540211	1767098	1727401	1725446	1847137	1961889	2105395	1902087	2077254	2229464	2301079	2640577	1766580	1641812	1631678	1664137	1415678	1309721	1504329	1334417	1643351	1686416	1562350	1752594	1308927	1380660	1619130	1460669	1283697	1302262	1314129	1325922	1201307	1213660	1299537	1401526	1383020	1363043	1706498	1445852	1475999	1644281	1343292	2212212	1229389	1548262	1472419	799713	1183532	1067871	1026122	730157	647372	533636	513368	505757	444709	427295	375396	342883	381071	241074	196829	67078	67078	284440	196829	29169
Hàng tồn kho###Inventory	1912353	1772482	1121577	1156270	916696	1080776	1040168	1005806	943239	1053999	734819	669529	774605	795994	714483	768415	742300	969660	892949	923381	936377	1217515	1300928	1323099	1191694	1287578	1235465	1521816	1529880	1292809	1885537	2336253	1884379	1846539	1209876	1293452	1188180	1024471	846655	606333	1288232	1362887	1292188	1306429	616602	1222202	1149048	1598103	1325315	1335981	1106200	996780	1000689	730524	563602	707353	720465	623440	604384	604996	669998	561990	501886	462887	258810	153497	43338	43338	43668	153497	20939
Tài sản ngắn hạn khác###Other Current Assets	296476	292403	227018	226470	218122	242841	419708	411436	412132	443068	394794	392718	411484	389912	417096	418218	414476	432245	437943	385802	370346	364390	436461	356261	340378	408497	298077	382737	298534	365184	368854	406236	355736	355115	300464	288169	227389	181501	181422	127487	204607	217974	193296	192553	132738	176250	214179	242687	244008	169344	162470	146765	107808	104114	151992	135356	80612	74551	75855	73345	59466	67650	36193	46275	28895	18155	9691	9691	19067	18155	5670
Tài sản dài hạn###Non-current Assets	1265313	1258831	1251035	1251640	1243280	1221025	1215025	1232390	1229761	1388086	1315176	1385892	1386636	1384913	1458490	1478331	1501605	1485521	1455779	1016700	918671	742089	602422	597884	603609	507961	499874	482539	484056	477303	468277	505211	577265	576017	576299	588344	607466	612852	623401	687601	688788	801179	796074	793973	774383	904941	859369	776578	789487	436762	407327	361434	338838	387336	297423	321927	311902	303773	289066	292919	285246	271796	240740	269522	240328	241525	244453	244453	168028	241525	166085
Các khoản phải thu dài hạn###Long term Account Receivable	29944	33598	31380	32301	31147	7350	6828	8163	5249	4964	40489	9931	8361	5009	5012	9597	3865	5309	1697	1683	2831	1684	2780	0	0	7473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3794	4156	4071	0	3402	1000	3554	3416	3145	3144	1000	1000	1000	1000	1444	408	100	0	964	964	931	0	1952
Tài sản cố định ###Fixed assets	196235	198975	202068	198758	193100	186143	189358	190497	190497	193939	197913	199200	203601	1014864	1092423	222560	1137667	233964	1140300	232606	236183	228183	238560	235560	246292	218369	205262	237936	212898	214219	205409	230164	283583	284260	274979	277760	303359	291714	321509	377754	386288	381651	348702	371412	373312	352621	313212	270607	307421	289585	271726	337951	309372	357870	245833	299556	292740	293470	282934	287669	279207	265345	235546	263222	234712	235751	228157	228157	156362	235751	153739
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-254721	-249948	-253151	-253151	-250639	-250261	-244628	-239870	-239870	-240150	-233873	-230478	-227123	-292388	-277365	-220643	-239739	-208750	-221929	-207897	-200416	-194029	-184605	-186725	-182843	-184786	-175287	-172730	-168783	-163956	-162894	-155893	-189826	-189141	-185224	-180752	-182224	-175505	-165935	-171894	-162979	-159122	-145201	-145132	-142536	-139517	-132379	-131275	-131870	-133728	-131011	-126764	-118176	-118176	-95661	-100771	-99070	-96110	-96118	-96822	-94378	-91974	-88227	-89586	-87080	-84727	-65534	0	0	-84727	0
