CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	Q4 2015	 2014	Q4 2014	Q3 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q1 2007	 2006
Tài sản ngắn hạn###Current Assets	541654	454663	267085	304389	529130	529130	664373	671998	733067	914944	914944	1099320	1086930	1225022	1288359	1288359	1368500	1419789	1433089	1490492	1490363	1510182	1575115	1591993	1498765	1481816	1133119	1024583	1042729	994853	994853	921176	870228	756626	795727	796077	695789	823880	814643	646211	823880	523296
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	92124	1319	22542	3785	4126	4126	24371	24371	12116	25412	25412	19508	19653	29479	32431	32431	25097	44859	28719	61385	61385	36401	57411	52110	89418	87532	81083	64185	79376	74372	74372	39669	38671	62968	91979	91979	24824	64520	65494	47749	64520	20880
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	46585	48510	38365	1255	1335	1335	11952	19577	20309	52023	52023	85802	85802	64315	77415	77415	76536	76966	72820	78223	78223	76271	65476	66180	77439	77439	73638	75138	52791	50285	50285	28857	18916	23628	25548	25548	25796	19284	21283	45711	19284	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	202926	211539	158806	154453	362874	362874	410468	400605	462333	591852	591852	733616	731253	885977	932488	932488	990161	982728	984678	1035148	1031267	1090417	1124934	1069679	965540	959310	782006	712560	677300	694349	694349	664847	630231	492248	487874	488110	393069	494198	466908	405810	494198	334825
Hàng tồn kho###Inventory	143183	170515	39516	133700	151264	151264	202297	202297	207923	215598	215598	229713	227002	224586	226636	226636	252045	290443	317004	284707	288741	283968	284996	328684	336858	328863	153638	154253	198049	151757	151757	142740	161590	135916	116331	116445	205460	195976	164189	105630	195976	112918
Tài sản ngắn hạn khác###Other Current Assets	56836	22780	7856	11196	9531	9531	15284	25148	30386	30060	30060	30682	23220	20665	19388	19388	24661	24793	29868	31029	30747	23126	42298	75339	29510	28672	42754	18447	35214	24090	24090	45063	20820	41866	73995	73995	46640	49903	96771	41310	49903	54673
Tài sản dài hạn###Non-current Assets	22369	11755	18871	348456	388168	388168	476598	468972	467285	477039	481023	436585	443695	446916	447468	447468	440274	441528	442464	437979	437256	386468	374411	393262	380645	373557	515041	501853	531616	518250	520449	435038	405257	378890	353845	372393	329003	337906	313823	263492	337906	142092
Các khoản phải thu dài hạn###Long term Account Receivable	3345	2112	11282	12544	12089	12089	8427	0	109	109	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3741	3361	3384	3279	3279	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	10079	4721	3825	44451	8022	8022	22768	22768	24710	380675	30017	33340	35151	322955	323096	323096	318347	321008	327081	38319	322783	304991	294408	313788	38247	287331	433746	423880	414316	401094	401094	326030	281539	270494	248095	265778	266493	218764	202573	156643	218764	87521
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11281	-15194	-20399	-33091	-31731	-31731	-44806	-44806	-52032	-52185	-52185	-54339	-53265	-52702	-50996	-50996	-49306	-51334	-48834	-47367	-47367	-46149	-46487	-44037	-41900	0	-39751	-38633	-36320	-34113	-34113	-31517	-29655	-27584	-25500	-25500	-24044	-16453	0	-13742	0	0
