CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	38959757	38359635	37291467	38496246	38476920	36526006	33470648	31280729	31669966	31307645	29095196	28194368	26343133	26667182	26655641	24454047	20641256	22314861	21460255	21816739	21785137	20258653	21815378	21815378	19001583	18944771	18884657	17840028	13460748
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	457545	478732	349666	349744	676416	821139	1064313	638391	638391	1163714	1397612	1303000	1313665	913665	1664882	1385624	2921398	3165745	3165775	4351764	2715272	2934592	4466482	4466482	3897438	3955438	2516391	2385411	4675846
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	33368000	32435500	30921500	30921500	31382500	28272500	25164000	23730400	23730400	23563900	21300900	18823400	17563000	17963000	18070000	16614000	13165000	13640000	13640000	12531407	14106314	12351351	12864252	12864252	10669252	10611252	9955282	8696707	4762607
Các khoản phải thu ngắn hạn###Short term Account Receivables	4548640	4855825	5360503	6575347	5840810	6780648	6554371	6155898	6460064	5942382	5813773	7409911	6957604	7299883	6442414	5888453	3835507	4498852	3614313	4002913	3991634	3938077	3478339	3478339	3375901	3314992	5408122	5965101	3315507
Hàng tồn kho###Inventory	505419	491680	493478	489335	427727	429501	452274	469442	493484	408107	372438	386279	404109	402340	332884	355628	383262	721296	722250	630233	593389	607804	711653	711653	540336	537914	503993	524830	492285
Tài sản ngắn hạn khác###Other Current Assets	80154	97898	166320	160321	149467	222218	235689	286599	347628	229543	210473	271777	104756	88294	145462	210342	336090	288969	317918	300422	378528	426828	294652	294652	518657	525176	500869	267979	214503
Tài sản dài hạn###Non-current Assets	19737710	20382457	20884729	20814348	21225905	22201211	22237974	22344125	22074034	22246786	22157687	22548055	22819792	22494279	22968653	23569425	24201039	24626890	24284419	23859578	24370871	24982203	23036327	23036327	24770618	24747440	15776705	12246890	8904730
Các khoản phải thu dài hạn###Long term Account Receivable	304527	304527	304527	304527	312501	312501	312501	321163	328797	330749	350461	352457	352942	15964	15979	24188	6080	276776	212885	211506	211389	206056	179312	179312	442194	396436	0	78828	0
Tài sản cố định ###Fixed assets	15280773	15838476	16345334	16214121	16810253	17559997	17933531	18447261	18250582	17063750	17825845	18151232	18989231	18980271	19823058	20515913	20378494	21981757	21760321	21638130	21548673	22601337	20661234	20661234	23567997	21027175	15054356	10377468	6228909
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-27088894	-26374651	-25553412	-25542880	-24616365	-23690657	-22733894	-21643695	-21733854	-20658067	-19697388	-18749812	-17780972	-17781230	-16868321	-15823217	-15113209	-13990900	-14210607	-13194637	-12120260	-11027910	-16583237	-16583237	-13365579	-13363344	-11717413	-9808446	-8024459
