CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	813329	873401	874026	876510	887582	872585	914023	909085	905407	883821	892170	930702	946115	947508	950566	951458	970255	1027092	1029517	1029684	1054859	1201609	1199124	1205323	1173302	1140943	1173219	972515	1143978	1111711	1037964	1053091	845923	865976	824512	791022	851238	1014451	809786	636751	623926	631814	758739	590465	569344	556049	606195	570642	571234	359457	309049	283801	274032	264819	249935	257182	251854	235376	232475	198865	198228	185300	171270	169602	182746	151320
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	238	987	6856	6856	4349	999	1120	3072	3072	2025	1825	2075	2075	2075	625	625	850	850	850	964	1441	1500	1721	1871	2332	1433	1538	2193	2193	2091	2091	816	966	966	934	-119	174	174	174	85	-234	-234	-234	-234	778	161	102	102	1413	1769	2096	1908	30	-8489	-129	1796	-2214	-890	310	607	724	253	68	373	1278	17
Vốn chủ sở hữu ###Owners equity	813091	872413	867170	869654	883232	871586	912903	906013	902335	881796	890345	928627	944040	945433	949941	950833	969405	1026243	1028668	1028720	1053418	1200109	1197403	1203452	1170970	1139510	1171681	970322	1141786	1109620	1035873	1052275	844957	865010	823578	791142	851063	1014276	809611	636666	624159	632048	758973	590699	568566	555888	606093	570540	569821	357688	306953	281893	274002	273309	250064	255386	254068	236265	232164	198258	197504	185047	171202	169229	181468	151303
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212819	224860	205531	158705	178674	154643	174525	150767	105823	236071	176869	191232	171114	97912	184397	134900	185787	155489	451	279	272	384	301	297	283	161	161	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2525571	2046740	2181916	2115398	1841524	1855967	1705953	1944255	1914210	1831013	1755943	1572615	1632667	1607125	1434526	0	1078527	1142458	1069019	788424	528364	549924	473920	464648	417700	389912	363150	396739	395198	365164	316013	329297	283537	280253	268777	235741



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	477258	392069	2267401	646163	617155	414511	573756	2476753	737213	553927	622590	514243	3317664	594559	1112679	1079933	565564	3063050	738904	895164	937233	471561	3606337	761318	1011220	975483	918838	4608825	1228841	1039852	1372275	940276	3846930	1151125	868131	1020367	760479	3755221	896584	981827	860874	782314	2580167	865658	715216	558989	614558	1793178	889493	429724	277606	207055	582102	247441	104020	137787	93074	418825	119374	120559	76631	105149	333022	119354	100013	174722
Các khoản giảm trừ doanh thu###Deduction revenues	3621	19	2383	9412	-76	1189	-46	12138	2821	8626	14	21	439	-18874	39599	1546	508	2483	1681	-7109	10877	8601	2048	-43052	-62668	82614	20306	296949	49993	33332	113523	97252	231894	80653	59310	33000	3825	46639	38764	36446	-34524	44669	62558	74674	29638	11954	4487	52202	3077	18751	27456	1785	30142	11604	8753	9785	0	2383	96	15	2282	0	8521	102	8331	11
Doanh thu thuần###Net Sales	473637	392051	2265018	636751	617231	413322	573803	2464615	734392	545302	622576	514223	3317225	613433	1073080	1078387	565056	3060568	737222	902272	926356	462960	3604289	804370	1073889	892869	898532	4311875	1178848	1006521	1258752	843024	3615036	1070471	808820	987367	756654	3708582	857820	945381	895399	737645	2517608	790984	685579	547036	610071	1740976	886416	410973	250150	205269	551959	235837	95267	128003	93074	416442	119278	120544	74349	105149	324501	119252	91683	174712
Giá vốn hàng bán###Cost of goods sold	432071	345982	2046376	571287	557463	350923	525382	2287350	673052	499456	570817	482253	3083203	567079	1000416	995104	525899	2819355	678209	859185	839471	401010	3089356	695093	970164	751440	729416	3471163	974937	829121	961805	696056	3074348	882450	691884	852559	647100	3040734	714773	770001	718342	608749	2143851	621344	591457	488781	535784	1536253	807212	355582	202863	181847	490774	216040	75804	118204	80136	321397	91817	91977	62328	74736	242744	82100	81371	131567
Lợi nhuận gộp###Gross profit	41566	46069	218642	65464	59767	62399	48421	177265	61340	45845	51758	31970	234023	46354	72664	83283	39157	241212	59013	43088	86885	61950	514933	109278	103725	141429	169117	840712	203911	177400	296947	146968	540688	188021	116936	134808	109554	667847	143047	175380	177057	128896	373757	169640	94122	58255	74287	204723	79203	55391	47287	23422	61185	19797	19463	9799	12937	95046	27461	28567	12021	30413	81758	37152	10312	43144
Doanh thu hoạt động tài chính###Financial activities Revenues	6930	3340	16844	-1226	4602	5522	2417	40393	20786	5284	10018	2168	11757	1555	3714	2684	3379	15040	10478	5391	4915	2183	19871	4420	1382	5175	5366	30791	8030	5996	8998	3201	19151	4565	1770	5286	4222	18859	9619	881	7802	2303	59914	7195	4884	49757	7386	16488	8312	1620	2824	1798	4555	1592	897	382	1684	5301	-34066	19169	21080	16472	72795	13376	12998	41785
Chi phí tài chính###Financial Expenses	1044	7599	14757	5857	11089	4619	4841	39924	11899	11463	10395	5936	32475	1040	10183	18069	3183	37867	21616	10058	10436	3580	41437	11071	8122	13082	9148	50052	12691	11510	18107	9039	35830	10118	9444	10783	5556	39118	7087	4057	21802	9730	36764	12225	6378	4015	13782	18716	-8816	6393	14803	7515	26342	13762	7892	3046	1641	12503	-3665	3742	5598	4385	15870	4155	2438	10055
Chi phí bán hàng###Selling Expenses	7146	10287	43003	19560	12800	11460	7929	44210	18805	9308	10764	8205	43747	13238	13172	11346	7942	65819	22902	12573	23866	10453	75851	24451	15184	24073	22182	68962	29918	24025	17905	12728	68713	32478	12100	23779	11996	47179	16291	13212	4153	20151	97692	36001	22934	25196	26818	92462	40207	24446	20502	11227	14760	-801	5390	4601	5591	58082	15417	19236	6203	17503	54947	25589	6153	30665
Chi phí quản lý doanh nghiệp###Managing Expenses	31937	23658	121901	29057	32052	31809	31237	120838	34399	29327	28608	33424	140791	29554	39405	33329	42361	172075	36092	47832	52763	41395	204048	45360	48705	58700	55464	302348	90222	51561	95448	65892	247058	70730	50485	73571	54902	243565	78856	69087	47956	51260	175335	68457	42152	39403	38251	88956	40019	19358	28181	10293	57483	19069	13257	11984	11228	49751	27586	9811	7092	8443	21225	11049	5149	13104
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	8370	7865	53419	9782	8455	18714	5755	10490	15663	267	11413	-12900	25651	2526	13102	22692	-11470	-23472	-13137	-22569	3808	8274	211775	32022	32463	50481	87689	450142	79110	96301	174484	62510	208237	79261	46677	31961	41322	356845	50432	89905	110948	50058	166828	60152	27542	39396	2821	126834	16105	6814	-13376	-3815	-32845	-10641	-6179	-9451	-3839	-19990	-45943	14947	14208	16554	62511	9735	9569	31105
Thu nhập khác###Other incomes	-332	2461	5847	-1756	3470	1212	10	16695	16065	544	793	43	5844	2413	1052	618	22	16681	9351	1798	2461	2471	52972	-2912	4171	42526	5406	11057	4595	1110	1331	7604	9139	4804	907	4940	2392	30285	14818	12460	2259	917	33358	2927	2379	4834	1394	960	175	27	10	740	168	46	83	38	0	2101	1327	436	448	77	2138	774	1509	87
Chi phí khác###Other Expenses	231	3110	14064	2657	574	922	262	11108	6072	2050	7119	1489	10193	5797	1952	-3169	5285	11479	-5527	1311	11658	3177	12302	7942	5009	-2328	3839	29007	13328	-124	3338	3827	6259	2384	3165	4240	1638	10568	3766	1696	1756	323	9850	1913	1492	3048	260	3437	246	853	149	259	681	392	148	76	65	1627	1571	484	9	41	24906	537	3591	303
Lợi nhuận khác###Other profits	-562	-650	-8218	-4413	2896	289	-252	5587	9993	-1505	-6326	-1446	-4350	-3385	-900	3787	-5263	5202	14878	487	-9197	-707	40670	-10854	-839	44854	1567	-17950	-8733	1234	-2007	3777	2879	2420	-2257	700	755	19717	11052	10764	503	593	23507	1015	887	1786	1133	-2477	-72	-827	-139	481	-513	-346	-65	-38	-65	474	-243	-48	439	36	-22768	237	-2082	-216
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7807	7216	45201	5368	11351	19004	5503	16077	25656	-1238	5087	-14346	21301	-858	12203	26479	-16732	-18271	1741	-22081	-5389	7567	252444	21168	31624	95335	89256	432192	70377	97535	172478	66287	211116	81680	44420	32661	42077	376562	61484	100669	111451	50651	190336	189362	128195	45486	35291	124357	44281	39900	14413	12332	50623	12692	14592	9368	16706	70338	38084	14899	14648	16590	39743	-9764	7488	30889
Chi phí thuế TNDN###Corporate Income Tax Expenses	3002	1349	5677	485	972	2602	908	4060	131	6782	-3344	694	18320	554	9243	-702	743	15169	5620	2052	5961	2437	53101	1790	9488	17254	22077	102818	33833	24898	43186	16209	53661	16536	17262	8415	0	104935	0	0	0	12663	41315	16658	11619	19672	2032	2263	434	1141	323	322	495	28	191	114	192	1173	-395	318	190	1193	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	3100	1013	8004	-543	6321	1461	766	10808	4324	4009	1418	1909	20377	1078	3293	3212	659	16000	8125	2854	2459	1883	43881	7489	8942	20092	21470	101837	45872	24065	32868	22593	64385	21216	19676	7850	14827	95401	15760	34299	23714	12663	51710	16658	11619	19076	2032	2263	434	1141	323	322	495	41	191	114	192	1173	-395	318	190	1193	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-98	336	-2328	1028	-5349	1141	142	-6748	-4193	2773	-4761	-1215	-2057	-524	5950	-3914	84	-831	-2505	-802	3503	554	9221	-5698	546	-2838	607	980	-12039	833	10318	-6384	-10724	-4680	-2414	565	-3699	9535	4279	2765	8618	0	-10396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	10455	7670	57140	9214	15286	22829	6279	18552	28692	-8192	8430	-17270	17207	2371	4676	28041	-17964	-16516	-3878	-24133	-11351	5131	293144	19378	22136	78081	67179	447877	36544	72637	129292	50078	157455	65145	27158	24245	30949	271627	41444	63605	79119	37988	149021	44509	27200	26409	33259	122094	43847	38759	14090	12010	50128	12651	14402	9254	16513	69165	38480	14581	14457	15397	39743	-9764	7488	30889
---Cac Chi So Tai Chinh---																																																																		
EBITDA	1.45	1.19	1.78	1.78	1.75	1.15	1.18	1.03	1.03	1.13	1.30	1.18	1.36	1.36	0.58	0.60	1.19	2.01	2.01	2.18	2.41	2.23	1.87	1.87	1.98	2.03	1.80	1.75	1.75	1.51	1.42	1.51	1.55	1.55	1.67	1.51	1.54	1.43	1.43	1.43	1.43	1.53	1.63	1.63	1.55	1.64	1.99	1.89	1.89	1.71	1.49	1.41	1.35	1.35	1.42	1.47	1.45	1.41	1.41	1.43	1.19	1.04	3.10	3.10	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.80	4.00	6.60	6.60	6.74	6.56	6.65	5.34	5.34	7.61	5.52	7.52	11.32	11.32	8.58	6.48	6.64	6.73	6.73	8.58	12.62	11.27	13.46	13.46	16.32	21.82	17.56	20.21	20.21	27.14	13.58	14.49	11.06	11.06	10.50	11.64	9.21	9.36	9.36	7.27	8.96	8.84	7.32	7.32	9.94	9.63	12.91	15.04	15.04	15.11	16.25	9.95	9.64	9.64	13.25	11.81	7.80	6.75	6.75	12.04	6.68	13.36	36.18	36.18	0.00	0.00
