CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Vốn chủ sở hữu ###Owners equity	482161	487666	473890	469140	466136	435004	462558	457269	452391	445367	437079	463429	444275	444215	434535	419350	474772	454171	454766	424155	393209	354022	362588	361446	322191	348643	344628	353504	353531	345871	328897	319932	324806	326099	305235	288128	269974	260356	260089	244525	241481	246318	258941	260114	274150	283864	285208	286963	269222	260598	286877	320137	298104	297031	240534	219490	205470	223589	223302	250139	270224	266096	238006	238006	239538	388985	239930	227908	200353	195638	198327	227908	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	441	463	633	778	1171	1059	0	0	0	0	672	0	0	0	0	1329	1329	0	0	0	1441	0	0	0	1441	-753
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	730854	669331	691232	720242	644932	576339	616673	643321	672927	581778	590864	639822	645247	0	733849	0	704547	660050	694838	683232	690912	731325	687165	711040	669319	558549	559512	615071	643866	684389	620025	530040	502165	502165	547657	680570	518933	476957	476957	528488	465239	420631	470494



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	179833	239288	847290	202004	185248	244714	215324	863711	188431	202297	227707	245277	781578	208701	187977	216627	168237	756435	206260	182513	212803	154412	756192	154471	169944	234695	209302	1078614	238053	329347	257228	253986	1030888	315074	301991	230056	265472	890192	254688	261574	199965	219771	921801	270736	254642	218035	225255	732438	221899	185864	156744	219553	827370	309840	244659	201626	136980	787116	193308	204251	451878	208689	704079	211813	155546	189910	147257	632087	166377	155936	172515	143890	504215
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	2024	0	61	1963	0	356	0	0	356	0	0	0	0	0	0	0	0	258	0	0	591	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	157	0	725	0	0	475	0	680	0	0	0	0	0	0	40	476	0	543	0	37	495	11	85
Doanh thu thuần###Net Sales	179833	239288	845265	202004	185187	242751	215324	863355	188431	202297	227350	245277	781578	208701	187977	216627	168237	756435	206260	182255	212803	154412	755601	153880	169944	234695	209302	1078614	238053	329347	257228	253986	1030888	315074	301991	230056	265472	890192	254688	261574	199965	219771	921801	270736	254642	218035	225255	732281	221899	185864	156587	219553	826646	309840	244659	201152	136980	786435	193308	204251	451878	208689	704079	211813	155507	189434	147257	631544	166377	155899	172019	143879	504129
