CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	656524	777177	655206	672144	759355	903760	1111922	914480	913463	1240100	1400588	1769943	1215698	1215698	939938	1093333	1336034	856741	854341	1061309	1101426	1320795	738505	736497	854394	1001771	1214906	801473	807381	774752	1028629	1160107	707547	731536	1000900	1194074	1507597	1154006	1187203	1329058	1411149	1204728	1209877	1210155	1494518	1591091	1465262	1185527	1195699	838894	819784	819274	585058	585058	534017	623128	597285	368797	366159	433498	692221	499766	499097	432303	477648
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	32764	20316	33943	33943	12040	26341	13110	30683	30683	14657	15412	20512	186069	186069	96779	81173	95120	89003	89003	140641	44372	106557	18825	18825	28432	31413	134300	230409	229909	61957	56058	26591	22984	22984	81115	46083	120906	127708	127708	106362	65105	44673	126274	126274	36682	143587	82841	463299	463318	300705	171022	64342	160158	160158	119359	200932	83681	30071	30071	76623	112990	161735	133326	134200	130331
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	30000	0	0	6865	9218	9218	10425	18050	49125	46595	46595	8095	77170	74170	3084	3084	3084	3000	0	0	0	0	0	0	0	500	500	0	8346	12054	12054	13340	11143	10422	14841	14841	24607	23990	23455	16245	16245	44900	38568	45254	60777	58731	69371	82764	86012	124449	124449	85957	76149	43333	29808	32308	30480	50826	75686	94786	94933	77400
Các khoản phải thu ngắn hạn###Short term Account Receivables	361330	307293	349606	338948	385213	363133	272122	470278	469262	608279	534790	383706	403514	403514	398373	378305	233277	268198	265647	542005	342295	409693	464123	461253	539366	502580	356182	318445	318790	360607	344182	244221	244589	261797	491113	510301	563415	482756	495895	653745	708404	679811	720038	720143	838502	597391	442952	418018	419869	290053	270041	229223	159197	159197	252216	226433	241274	174463	179443	242041	237052	83943	152841	131084	107367
Hàng tồn kho###Inventory	253397	442908	238987	233847	326913	504144	806206	350295	350295	583640	820735	1303703	534118	534118	410371	551944	927874	459746	459994	359218	708244	775429	210552	211019	260177	454558	718857	223479	229276	316380	618974	870819	394890	396352	389128	608087	779826	443135	463616	459678	584600	370120	199672	199846	326422	500695	709498	149241	156064	154248	279673	432036	124490	124490	57074	111885	227100	118579	108429	72003	287868	173566	103290	61237	142068
Tài sản ngắn hạn khác###Other Current Assets	9033	6659	32669	35406	35189	10141	13618	54006	54006	23100	11601	12896	45402	45402	26320	4742	5593	36710	36613	16360	3516	29116	45006	45400	26419	13221	5568	29140	28907	35308	9415	10129	33029	38349	26203	18460	33028	85566	85143	84666	29051	86670	147648	147648	248012	310851	184717	94191	97717	24517	16284	7662	16765	16765	19411	7729	1896	15877	15909	12352	3486	4836	14854	10850	20482
Tài sản dài hạn###Non-current Assets	1564984	1532126	1564025	1537166	1431563	1416272	1400906	1469329	1464892	1473696	1463842	1429738	1471788	1471788	1511440	1514838	1518704	1604800	1634551	1606168	1603075	1717798	1671216	1669861	1514251	1444138	1382568	1439923	1437736	1391815	1389086	1415678	1475393	1471888	1472272	1463235	1478003	1522066	1507560	1447984	1373808	1252529	981802	974171	507889	407131	357575	364353	361243	298759	297801	407329	412870	412870	475138	471224	487067	498508	527570	492976	481544	436388	490193	436948	436052
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	14352	1002	1980	1980	1980	14472	1122	1122	1122	1122	2937	2937	4800	5214	5342	14435	5342	9229	3	1	6	15	24	25	25	1315	1315	8893	8894	7297	19544	5394	13231	5396	11934	10363	10711	10802	10803	10803	7377	7536	7539	7539	7539	9600	9154	7182	7295	7295	7611	7754	4522	4543	4543	4713	1745	91	1748	95	3147
Tài sản cố định ###Fixed assets	1185200	1170353	1104100	1101798	1145049	1155488	1159672	1248683	1248683	1270355	1275912	1235293	1300773	1300773	1341617	1368800	1330017	1404057	1423050	1433353	1432502	1390626	1337640	1337640	1272442	1275550	1226154	1370778	1290522	1239269	1240936	1254498	1394792	1397983	1378086	1381391	1395449	1121753	1403863	1351845	1259271	1138165	248863	875306	401884	284903	237419	212537	239344	180570	177497	178010	196826	196826	251759	247357	245905	262177	262187	228178	230661	177245	266671	187990	385145
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1723478	-1711848	-1624100	-1622992	-1883692	-1876445	-1851325	-1762607	-1762607	-1732785	-1730029	-1713646	-1633182	-1633182	-1724722	-1734262	-1705437	-1620357	-1616507	-1580633	-1570426	-1548519	-1211750	-1211293	-1185672	-1182670	-1188652	-1117045	-1117045	-1071903	-1066963	-1054834	-982911	-980572	-976755	-985885	-1018034	-954533	-954438	-896049	-910537	-887753	-859630	-859630	-850851	-930782	-929017	-908576	-908576	-901696	-903617	-896379	-872528	-872528	-865523	-866837	-859702	-843309	-843309	-831153	-829675	-791991	-799598	-775884	-807727
