CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	Q4 2006	 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	17565883	15451642	15984102	15329912	16573368	16546128	14810278	14128722	13822963	13970921	13645858	12470313	13752725	13318028	13873132	14421689	13663102	15151148	15094673	15350391	15223790	15440227	16000729	15924273	17778688	17237605	16081006	16930157	16809650	17505307	16811991	14741643	14274189	14283934	15866789	14429431	12386796	12036764	11441310	13001372	13273219	14229428	14148471	13584995	11662030	11478241	7307024	6908207	6925274	6987018	7291700	4945645	5257942	5161037	4071052	4016665	3840919	4243179	4186760	3581515	3248201	2174489	2821182	2812448	3028720	3225041	3225041	924142	1062639
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5627496	5638171	6949116	6949115	7356189	7904699	5386209	6310817	6434258	6797732	5594387	5376070	5761373	5744949	6311683	6286643	5519642	5883670	5885286	6387835	6810353	6940819	7991387	8118484	8550510	8734780	8074612	8194249	8245533	8240877	7574278	5885914	5856522	5855790	6860486	6235853	6683490	5709909	5810920	6556947	5833961	6182066	6082192	6082918	4554241	4872619	2349076	2786042	2786059	3107563	2095486	1721151	1977139	1997912	964829	1222811	1414540	1047879	1047800	871570	1094554	564027	929841	929841	921958	2109917	0	141068	314120
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2962152	2427636	2742572	2742983	3329426	2548435	1852135	1726317	1600417	1684720	1898774	1689023	1524757	1541181	1449154	1297195	1130635	911017	911017	859813	789331	553070	570070	450200	412000	0	4110	4110	610	18200	18200	0	0	0	0	0	14164	164164	64164	63346	13346	0	80000	80000	230000	233326	3900	5600	5600	5600	5600	3900	3900	3900	54667	3900	3900	3900	3900	3900	3900	3900	3900	3900	26900	3900	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	6914700	5522139	4627034	4164888	4705158	4972565	6608625	5006452	4951237	4760934	5448109	4735326	5589149	5150350	4464249	5158889	5302865	6125027	6092033	6176644	5954195	6486425	5725329	5635913	7526570	7569489	6991946	7870723	7350203	8337623	8282794	7927816	7533116	7564536	8277856	7490690	4949709	5461425	4852864	5026129	5958985	6492133	6495746	6087532	5586721	5185334	4238227	3554519	3621232	3098734	4607789	2824951	2749691	2727639	2637957	2339245	2093984	2840413	2849604	2460640	1875456	1357585	1699501	1695461	1880443	1014607	0	637004	554732
Hàng tồn kho###Inventory	1754694	1427134	1269257	1061408	759214	679040	417917	493936	469152	417510	398036	327694	465759	434354	1195474	1253802	1215289	1650745	1622157	1375519	1102118	920963	1190081	1195845	870364	562653	654672	587658	879012	730173	745573	735682	715172	698509	613375	605785	559301	578670	570304	1184137	1250398	1264597	1129396	1046239	884190	905081	528624	445819	372253	628024	440133	285115	436011	342339	287075	334023	218252	255091	188316	176205	212804	188392	131897	127202	148112	83619	0	128806	182725
Tài sản ngắn hạn khác###Other Current Assets	306841	436562	396124	411517	423380	441390	545392	591200	367899	310024	306551	342201	411687	447195	452572	425160	494671	580689	584180	550581	567793	538951	523862	523830	419244	370684	355666	273418	334291	178435	191145	192232	169379	165099	115072	97102	180131	122595	143058	170815	216529	290633	361137	288306	406878	281881	187198	116227	140129	147098	142692	110528	91201	89247	126523	116686	110243	95896	97140	69200	61487	60584	56043	56043	51307	12998	0	17264	11063
Tài sản dài hạn###Non-current Assets	9622446	9976740	10019865	9745146	9457914	9320636	9168368	8960746	8719675	9849498	10206846	10324881	11097059	9817040	10346937	10342445	10332618	10389961	10428306	10491905	10558742	10498319	10436324	10589598	10029442	10112996	9800224	9753500	9416841	9443322	9415784	9416381	9542324	9537261	9759546	9757101	9625666	9186230	9213897	9442414	9645537	10601240	9398025	9045328	11112048	11092338	10814129	10604993	10233831	9397736	8853341	7671211	7142600	7138838	6263689	5233807	4564727	3738906	3798707	3315267	2792380	2416555	1991066	2008570	1793108	1444622	0	1207858	1161955
Các khoản phải thu dài hạn###Long term Account Receivable	159712	165312	164207	163795	97803	97978	31567	31754	31754	34202	34155	35150	35130	36743	37458	35645	36957	67194	99146	84181	86099	134125	81922	264487	34676	62459	11517	61517	30	65	65	35	0	0	59	0	156	156	156	156	158	239	159	159	159	159	176	0	176	176	1176	176	185	179	193	193	283	283	283	15890	6048	1416	1374	1374	639	1012	0	0	2146
Tài sản cố định ###Fixed assets	3119698	3213823	3176900	3180502	2853099	2707836	2651735	2633626	2862879	3495237	3516869	3608549	3687545	3681363	3755629	3878440	3981047	4150439	4150439	4288306	4452054	4543499	4727816	4722096	4552882	4372718	4441521	4628105	4623716	4718812	4909507	5100964	5313424	5313424	5692318	5802252	6054587	5952475	6244973	6527844	6756276	7612822	5746002	6087741	8572497	8731551	8493343	5382716	8093049	7491661	7085891	5946845	5664350	5658230	4804655	4472110	4084139	3159590	3231137	2740451	2216129	1846999	1407781	1426308	1241485	977534	0	1164645	1121441
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8589850	-8458092	-8328649	-8325214	-8271784	-8159789	-8061500	-7959141	-7959164	-8817701	-8684910	-8545216	-8414186	-8419438	-8284109	-8123287	-7975821	-7793399	-7793399	-7600725	-7398935	-7164689	-6951632	-6955902	-6800463	-6540117	-6313845	-6073087	-6071093	-5826936	-5584590	-5344561	-5110491	-5110698	-4886215	-4645711	-4442711	-4197861	-4196405	-3837901	-3502149	-3368413	-3066445	-3078809	-2679978	-2517647	-2334195	-2187428	-2169781	-1993389	-1994829	-1804813	-1695169	0	-1615409	-1612292	0	-1471001	0	-1390493	0	-1537438	-1352381	-1475677	-1420743	-1099125	0	0	0
