CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008
Tài sản ngắn hạn###Current Assets	489476	509210	501153	498767	523425	479411	446955	425719	425719	463939	433873	416346	389772	389772	409433	364078	329426	314438	315130	303410	272226	284522	238657	238657	269341	333941	305318	292536	292528	334869	338411	373948	351453	351453	374962	330482	281652	319425	325328	335489	423094	351736	363505	363361	391766	305910	284258	309830	309830	323150	275095	232325	243104	208372	208178	128129
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	85398	85316	145770	146369	157998	124945	122838	131210	131210	156029	160087	115315	151465	181465	170162	107566	95133	52313	52313	59059	60061	40209	67873	67873	32753	54323	59096	70107	70107	52310	64688	94681	110719	110719	118229	137227	72959	90081	90081	89163	64440	54178	75285	75285	60410	42273	31170	89122	89122	65508	60927	54856	94100	78435	56575	58947
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	201800	210000	130500	130500	106600	101600	88000	79100	79100	66700	38700	49200	59500	29500	29500	7500	6000	4500	4500	0	0	0	5000	5000	49000	13000	26000	26000	26000	13000	13000	33000	74000	74000	83000	45000	55000	65000	65000	40000	9900	0	0	0	0	0	0	0	0	0	0	0	0	0	2300	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	196285	201612	213496	210452	255602	249478	233047	212316	212316	238720	232997	248821	175467	175467	206895	246677	224006	252436	253016	240493	208379	240692	162429	162429	183124	256574	211392	182360	182352	252867	248150	232254	153024	153024	163228	142211	144434	127926	133829	168812	279735	240851	222108	221963	285175	233843	215556	184863	184863	236358	191424	147714	132054	124251	124788	61448
Hàng tồn kho###Inventory	3697	9179	8086	8086	3225	2864	3070	2184	2184	2490	2089	2329	3170	3170	2789	2335	3579	4084	4197	3703	3570	3618	3346	3346	4207	5928	6053	5889	5889	5409	4473	6343	6729	6729	8555	3720	5610	28470	28470	27721	50308	32335	36149	36149	22000	20045	29890	26777	26777	14806	16441	23329	10574	2970	18840	3263
Tài sản ngắn hạn khác###Other Current Assets	2295	3103	3301	3361	0	523	0	909	909	0	0	681	171	171	87	0	709	1104	1104	155	216	3	9	9	257	4116	2777	8180	8180	11283	8099	7670	6982	6982	1950	2324	3649	7948	7948	9793	18711	24372	29963	29963	24181	9749	7642	9068	9068	6478	6304	6427	6376	2717	5675	4471
Tài sản dài hạn###Non-current Assets	592456	601605	563720	557794	523566	528004	542358	549055	538999	531089	506302	483350	460595	460592	460618	495691	505384	520389	521654	542038	565030	586140	610438	610438	576777	641912	619458	601984	601927	589770	502946	428699	443678	443678	420165	442051	440724	487432	487432	478876	510788	529843	539756	541366	460514	304114	304619	302337	302337	242430	241087	221716	204228	197356	181064	163995
Các khoản phải thu dài hạn###Long term Account Receivable	22198	20077	19846	19846	17330	17330	17330	17330	17330	15330	15330	15330	13330	13330	15719	10719	10719	10719	10719	10719	10719	10719	10719	10719	7664	7664	7275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	374983	389634	354060	354064	343721	329275	341344	334524	254865	250736	260215	258309	267096	267016	280890	286116	297561	312500	312500	327647	315308	328875	345581	345581	348903	447392	432572	450929	449671	451038	382808	293180	322020	322020	298712	311828	281681	320122	320339	324224	366786	383295	397461	397985	346420	194581	203250	144919	196830	137125	135055	140527	131636	110784	128217	131118
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-526881	-510933	-523991	-523988	-493399	-479888	-466890	-454057	-453698	-439607	-424968	-420508	-406040	-406034	-391268	-376525	-393305	-378572	-378572	-363631	-347067	-330162	-313275	-313275	-306876	-322933	-305475	-288146	-288146	-270532	-254991	-225696	-226267	-226267	-225297	-211721	-183090	-192533	-192533	-175491	-175533	-155546	-137554	-137554	-123863	-109987	-100270	-88651	-88651	-79889	-71731	-63027	-56987	-50517	-51037	-32326
