CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	3153232	2925508	3042821	3042821	2991110	2439354	2198562	2178587	2178587	1934862	1967147	1663914	1905337	1905337	1560946	1542768	1369835	1490075	1490075	1479070	1483497	1303119	1233825	1233825	1156274	1200034	989624	954330	954330	764506	900326	913826	930625	930625	846472	975849	975849	1137597	1030908	1137597	1121289	1019304	1247906	1021931	1247906	1102042	1287452	1583209	1382911	1746493	1933183	1914499	1680526	1684011	1316482	1334977	935239
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	296053	213482	269992	269992	213720	233766	432734	192927	192927	140400	208247	143491	356220	356220	124295	164515	125070	159842	159842	129244	131292	87680	168927	168927	120161	368551	70094	104938	104938	58612	74708	95797	145040	145040	52512	50443	50443	85886	47065	85886	45231	28921	61700	65970	61700	38391	73574	128164	56012	83909	74967	74412	158728	158781	134413	177375	93126
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1199835	1130981	1089276	1089276	1141836	411847	223274	224035	224035	208321	201449	193092	167775	167775	167780	226715	240801	241923	241923	240908	252991	238980	238969	238969	238845	0	4386	916	916	12096	14097	17144	20744	14104	20744	20617	20164	87019	21560	87019	14192	24495	21349	17915	21349	4099	12830	94405	1405	1408	1405	7989	4989	4989	10398	4008	244500
Các khoản phải thu ngắn hạn###Short term Account Receivables	1268325	1233580	1253132	1253132	1296032	1413978	1209652	1344000	1344000	1174560	1059686	994916	1008542	1008542	948439	841348	710502	805029	805029	836248	770157	716529	589762	589762	515261	597126	653915	547882	547882	454241	449296	552757	475506	475506	534113	529423	529423	521315	559264	521315	572448	460670	611773	534353	611773	710463	665776	937321	946652	1235568	1086513	1059555	1005353	1019556	716659	617363	452172
Hàng tồn kho###Inventory	216896	207177	293854	293854	199335	201649	200238	266750	266750	263997	323356	192684	237915	237915	199172	193757	209149	192696	192696	197349	249385	198202	196475	196475	221225	195860	136313	161594	161594	137942	254145	118831	169440	169440	147044	213929	213929	296972	266356	296972	344505	389506	442857	320603	442857	257252	428386	358084	305214	368411	694425	708836	461002	455154	403172	485708	129668
Tài sản ngắn hạn khác###Other Current Assets	172123	140288	136568	136568	140187	178114	132665	150875	150875	147584	174410	139730	134886	134886	121261	116433	84313	90585	90585	75320	79673	61728	39691	39691	60782	38497	124915	138999	138999	101614	108081	129297	119894	119894	88645	161889	161889	146405	136662	146405	144913	115711	110227	83089	110227	91836	106885	65234	73627	57196	75873	63707	50453	45531	51841	50523	15774
Tài sản dài hạn###Non-current Assets	1804879	1723877	1681510	1681510	1622013	1596296	1510357	1414923	1414923	1368860	1325263	1333714	1215640	1215640	1083481	1069453	1049005	992145	992145	945841	891827	892551	884641	884641	849258	824779	823168	800715	800715	778972	774550	774980	731725	731725	721110	698322	698322	690975	690433	690975	668656	496227	463839	468713	463839	458539	445868	575289	460159	549523	553465	498502	485882	486177	446789	333705	34513
Các khoản phải thu dài hạn###Long term Account Receivable	16480	14408	25053	25053	13039	7595	12463	6953	6953	9626	7542	7640	7311	7311	6406	7359	7913	20638	20638	31721	6984	3744	3874	3874	2599	1665	160	160	160	160	160	160	160	160	0	160	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0
Tài sản cố định ###Fixed assets	1172957	1183136	1111957	1111957	1150746	1124081	1122560	1067023	1067023	1052587	1035132	1067837	767295	767295	778957	779869	788617	585921	585921	574769	566660	571361	561638	561638	557197	554353	539530	650209	532515	539695	537118	525723	594090	594090	588456	570479	570479	447494	557406	549635	555057	418992	344478	420619	418286	414082	397484	48166	407544	348840	354930	297208	286572	285523	243241	132191	20112
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-814217	-772614	-725822	-725822	-688718	-649139	-611102	-575940	-575940	-541530	-508721	-476311	-440978	-440978	-416152	-390375	-365130	-334271	-334271	-312936	-292179	-273243	-261151	-261151	-243344	-225975	-209444	-193206	-193206	-176980	-162282	-146589	-134468	-134468	-121289	-123202	-123202	-104145	-115803	-104145	-92932	-58873	-48291	-52805	-48291	-43686	-38107	-28709	-30494	-26507	-25402	-22213	-20022	-21959	-17176	-11735	-7894
