CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	2727363	2938422	2814201	2827358	2870230	3036986	2654418	2636844	2629996	3128103	2906834	2544218	2363457	2396035	2005361	2064367	1579592	1526955	1503519	1433720	1283425	1516196	1794542	1779083	1875197	1440677	1237081	1397712	1397354	1301719	1334564	1209581	1275100	1275175	1255563	1386579	1180551	1202797	1202993	759342	785497	648107	795464	814978	1080714	1093615	933528	949252	949252	1260571	1290754	1077810	1141233	1141233	1438186	1289571	1159419	1164271	1144347	1268763	1516993	1960705	1937042	1937042	2316728	2651881	1815085	1416178	685540	1075386	919521	685540	731807	533386	456827	333992
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	145990	313335	201977	306564	273116	160571	130763	91081	90382	93263	111092	73590	59013	61673	121866	48966	219732	93030	93030	170821	134189	61037	91323	91323	40187	128099	126746	116819	116819	180344	218456	245787	352310	352310	316946	340108	277516	291100	287100	30978	57281	15536	104378	104378	35398	116407	119958	272585	272585	176427	336977	386828	460128	460128	858072	898149	681582	666477	666477	660319	757302	156828	315813	315813	729872	1091149	133283	43904	10459	30782	46231	10459	172690	6744	5113	5541
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	125830	387048	306457	201871	226819	227605	244542	334000	329200	310920	208884	364109	544091	541431	314698	524481	233827	210526	210526	213015	7552	3082	9482	9482	10828	15335	0	0	0	0	0	0	2175	2175	1876	1949	3059	3059	7059	7159	6559	3759	4159	4159	73262	86623	84109	58799	58799	75340	52450	210	0	0	5239	18489	19489	19989	19989	21590	22390	23137	23403	23403	0	0	0	0	0	0	0	0	0	258486	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1846743	1440586	1450970	1463828	1201121	1368145	1351588	1275247	1273803	1667393	1625294	1312236	1086957	1127206	864499	747751	456739	555279	555377	467103	526633	620691	745559	730099	745138	581929	550240	543134	542777	463935	588660	413033	341315	341402	390431	539508	480755	480086	480086	409017	386774	266369	289374	308852	388625	361946	338372	268541	268541	368939	306838	316210	248325	248325	344504	125556	135637	165532	164193	206606	316061	1091323	459657	459657	778235	1008640	1199986	756208	237441	344571	301291	237441	255266	0	196415	111372
Hàng tồn kho###Inventory	558678	744449	805895	805895	1107260	1206117	865085	873084	873089	989191	897427	735167	626120	618433	654295	686394	616837	623531	599996	533307	568249	784161	891682	891682	1003075	680109	529162	712414	712414	638841	518906	541283	565435	565435	533369	478048	404634	418467	418467	297116	318824	342989	378865	378865	533462	496757	370996	338117	338117	632684	592128	341270	404315	404315	226437	242894	311212	300667	282082	268133	307881	571066	1015693	1015693	788769	542328	480512	615149	434267	692154	562385	434267	299239	267003	251981	211528
Tài sản ngắn hạn khác###Other Current Assets	50122	53004	48902	49201	61914	74548	62439	63431	63522	67337	64137	59115	47275	47291	50002	56776	52457	44591	44591	49474	46802	47226	56496	56496	75969	35205	30934	25345	25345	18598	8541	9478	13864	13853	12940	26966	14588	10085	10281	15072	16059	19454	18688	18723	49967	31882	20094	11210	11210	7181	2360	33292	28465	28465	3934	4483	11500	11606	11606	112115	113359	118352	122476	122476	19852	9763	1304	916	3372	7879	9613	3372	4612	1153	3318	5550
Tài sản dài hạn###Non-current Assets	2922062	2420341	2396739	2400548	2326481	2343582	2415676	2418906	2424026	1965619	1954934	1981213	1969796	1970805	1990126	1979936	2046179	2137601	2133900	2252598	2146945	1791914	1758369	1755405	1666795	1888662	2069715	1833713	1833972	1777892	1762672	1766416	1707933	1707957	1631497	1587341	1610933	1553431	1555226	2004398	1951785	1943769	1842358	1837088	1577909	1546266	1645027	1666970	1660188	1317861	1301996	1550144	1518589	1518589	1172741	1163531	1105171	1114875	1125295	1218209	1054934	1197803	1140855	1129762	757582	752854	389701	341355	396643	375058	382573	396643	244561	116535	119409	121508
Các khoản phải thu dài hạn###Long term Account Receivable	49851	50406	50406	53263	53177	54694	124655	124395	125358	144701	142880	159722	160198	160198	137986	139099	150720	150720	150720	161992	157181	155962	156318	156318	110105	105	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	110000	0	0	0	0	0	0	0	0	0	65216	0	52618	65216	0	0	0	0
Tài sản cố định ###Fixed assets	755035	763772	774477	776541	784063	797105	802782	814629	814629	821564	797626	808077	831345	833168	918554	930024	893402	908992	909808	927859	917758	891513	659625	659625	654532	665852	654038	1258290	301940	267186	273757	281409	1123143	1218402	1157678	1101618	1014843	171746	963173	1062101	981508	971172	98386	905087	576839	535941	531854	108141	507121	211184	231009	450607	403103	403103	181118	179930	184264	188730	188730	188942	191744	183464	127190	127190	54891	58750	61820	65363	95666	103380	93729	95666	89572	96264	100450	102515
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-550671	-540362	-527994	-527455	-569861	-557743	-546553	-533661	-533661	-522212	-510757	-496689	-488144	-485891	-486123	-471220	-455935	-440571	-440183	-424198	-409113	-395158	-382294	-382294	-372283	-361395	-357173	-345717	-345705	-338692	-329708	-320962	-315000	-318908	-308967	-300079	-291945	-282584	-282584	-275685	-269811	-265778	-261216	-261216	-257789	-277773	-273164	-268687	-268687	-264830	-260368	-255888	-250694	-250694	-246463	-242141	-237717	-233965	-233965	-229703	-225000	-221357	-218346	-218346	-212594	-207143	-201329	-195532	-149814	-164177	-156890	-149814	0	0	0	0
