CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	519728	497358	533982	537161	563134	344140	293531	314080	313856	356642	351472	348152	326468	327586	288920	246146	216087	261639	199758	184721	208704	182757	223346	223954	199075	186040	177839	202399	202399	219117	266577	265467	270289	272950	272747	219837	221488	196803	195346	238376	233304	201070	200964	202749	224446	224446	213484	174721	167469	208717	161712	144171	148015	147818	88070	79293	51121	45454	45119	51113	54165	59760	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	19680	18629	31038	31035	4022	8796	16595	15079	15079	12620	35991	36128	13016	13016	1752	1837	8590	8429	8429	5444	826	1164	8503	8503	3997	2653	2651	6579	6579	1546	5090	1882	14221	14221	9415	1293	5729	10949	10949	6316	28195	28314	35021	35021	71857	71857	34986	47390	47347	74004	42949	34703	51085	51153	16953	25966	1552	2180	2180	1848	4562	3675	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10000	10000	10000	11000	11000	10000	10000	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734	763	854	747	747	695	1031	1104	744	744	1137	1137	1698	2469	2469	2288	3227	3183	3335	3335	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	158923	125215	183945	183805	187210	82436	40612	84444	82787	113670	100239	95985	115011	114949	69242	64551	52413	91781	91779	91258	136729	100690	113649	115549	84295	80339	63966	88765	87095	64684	69905	65397	84267	87320	53269	46545	49936	68990	70657	75684	85036	60727	52790	52768	39142	39142	73320	49058	54877	36943	34136	36243	43261	42995	31734	15680	16356	17995	18195	19901	16527	30243	29952
Hàng tồn kho###Inventory	329396	339960	308406	309261	350986	241997	225514	204077	205322	225292	214343	212005	193305	193274	209435	172943	149535	154396	97882	86079	70740	80876	101177	99885	110766	103008	109052	107027	107027	147485	182919	189366	165527	165141	200400	164045	157625	113402	111441	150997	117124	108676	111062	112922	110998	110998	101703	75138	62419	94232	79664	67769	49955	49955	39018	37374	32695	24914	24743	28895	33043	25832	0
Tài sản ngắn hạn khác###Other Current Assets	1728	3553	594	2059	9916	911	809	479	667	5059	898	4033	5136	6346	8491	6814	5549	7032	1666	1940	408	27	17	17	16	40	2169	27	1697	5400	8662	8822	6274	6268	8929	7191	7343	2715	1552	4683	1918	2249	1348	1294	1312	1312	1778	665	357	1251	1736	2274	379	379	365	273	518	365	1	470	33	9	0
Tài sản dài hạn###Non-current Assets	116798	120062	125224	123455	33477	30654	32947	34899	34918	33970	22079	19123	18465	18008	19046	15870	13566	14487	14495	15135	12927	12799	11386	11467	12412	10030	22026	10836	10836	14542	19453	20076	21067	21103	22224	22909	23310	24671	27790	28608	29774	39614	40988	40803	42205	42205	44388	44478	43994	32614	24713	25359	22244	22244	30621	29981	27975	27514	27514	27160	26141	16993	0
Các khoản phải thu dài hạn###Long term Account Receivable	2461	2461	2391	2391	0	0	0	0	0	0	0	0	19	19	19	19	29	29	29	29	47	29	47	144	152	99	11022	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3638	3807	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	40052	40887	41409	40017	22050	18281	19429	20765	20772	21180	14289	13592	14028	14028	14645	11964	9457	10042	10042	10619	10148	10362	9434	9434	9698	7764	9086	9399	9399	10108	11067	11670	12621	12657	13710	14386	14990	16285	19396	20195	21341	22051	21791	23181	24554	24554	21660	17415	14793	13572	15338	15974	12851	12851	13148	12512	10493	10032	10032	10442	11015	11913	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-63960	-61967	-59986	-59995	-37365	-35986	-34651	-33316	-33326	-31994	-34778	-34027	-33534	-33534	-32668	-32491	-32134	-31549	-31549	-31059	-30863	-30299	-29749	-29749	-29017	-28697	-28409	-27701	-27701	-26992	-26343	-25402	-24451	-24415	-23467	-22485	-21780	-20872	-21667	-20466	-19276	-18317	-17007	-17193	-15833	-15833	-13532	-12353	-11595	-10805	-10388	-9548	-8714	0	0	0	0	-6118	0	-5585	0	-3922	0
