CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Vốn chủ sở hữu ###Owners equity	9665158	9586742	9612793	8992758	9075074	9012614	8835621	8699471	8924028	9025186	8872485	8426770	8356197	8134043	8011525	7710040	7699154	7599289	7584244	7359171	7151061	6721532	6749962	6777631	6811368	6758455	6644204	7278760	6135132	7616178	8015836
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	70	70	20	20	20	20	20	9	27	189	400	400	0	0
Vốn chủ sở hữu ###Owners equity	9665158	9586742	9612793	8992758	9075074	9012614	8835621	8699471	8924028	9025186	8872485	8426770	8356197	8134043	8011525	7710040	7699143	7599219	7584174	7359151	7151041	6721512	6749942	6777611	6811359	6758428	6644015	7278360	6134732	7616178	8015836
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1125457	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	8127093	7428017	34409137	5735072	5790502	5970764	6472043	24951851	6412371	6245483	7059874	5223033	20103794	4717429	5731601	4728657	4475317	18085216	4294115	4871804	4386856	4399177	17328078	4094839	4564528	5376088	4111483	25362306	26922421	29213368	31741850
Các khoản giảm trừ doanh thu###Deduction revenues	95608	110860	388382	108195	87986	77847	85258	284301	95493	71550	67412	58693	300973	127174	67845	61849	44105	235967	41521	72200	53723	68522	233814	94991	70026	45741	28049	121824	352892	123371	306748
Doanh thu thuần###Net Sales	8031485	7317157	34020755	5626877	5702515	5892917	6386785	24667549	6316878	6173933	6992462	5164340	19802821	4590256	5663756	4666809	4431212	17849248	4252594	4799603	4333133	4330655	17094264	3999848	4494502	5330347	4083434	25240483	26569529	29089997	31435102
Giá vốn hàng bán###Cost of goods sold	7642841	6893420	32522209	5482898	5534535	5547622	6089100	23516325	6041567	5911173	6661897	4789521	18452003	4260965	5247206	4437449	4043769	16317289	3951025	4456939	3811935	3972012	15892405	3770220	4159359	4941351	3830379	23908690	25188142	27624046	28767627
Lợi nhuận gộp###Gross profit	388644	423737	1498545	143979	167980	345295	297685	1151225	275312	262760	330565	374819	1350818	329291	416550	229360	387443	1531960	301569	342664	521197	358644	1201860	229628	335143	388996	253055	1331792	1381387	1465951	2667475
Doanh thu hoạt động tài chính###Financial activities Revenues	52884	18021	243293	31717	18840	165793	17482	246801	21697	-126137	183141	17228	342718	33312	20871	225600	58564	308081	73286	23541	107573	80892	287178	63103	64926	89475	27850	132644	153056	293157	430598
Chi phí tài chính###Financial Expenses	83246	96524	530543	56102	64269	71386	134849	237365	64273	64662	54890	54414	251469	49298	51057	68229	64231	262308	58149	79678	63507	60349	299735	102730	85024	92933	43996	770534	825898	1295785	1964567
Chi phí bán hàng###Selling Expenses	60684	79156	302865	49324	62749	51017	77457	280999	84445	95712	60642	72831	251931	38340	78958	71881	63876	346430	50339	77933	104271	100478	279013	54398	89805	62154	98921	304453	273785	283701	292011
Chi phí quản lý doanh nghiệp###Managing Expenses	131718	160597	604168	116528	97868	97722	82658	430858	102032	111009	84786	98400	505142	126670	135978	100296	112547	499453	167044	92096	147369	89815	463678	147560	63111	146628	87850	623098	1032166	718436	771526
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	73979	47497	482238	48375	46892	365333	85700	639640	-96488	140276	288594	413293	871324	282446	370160	14305	263472	905689	185972	191694	501144	38129	244845	-103668	162930	282030	-91946	-78398	-597407	-444541	243760
Thu nhập khác###Other incomes	30607	5158	44116	17336	4407	6470	4456	46508	15085	24246	9803	5109	28393	56361	9707	8394	2770	55507	20190	16352	16335	-3265	79542	21195	24486	29957	8223	84339	90090	159302	103826
Chi phí khác###Other Expenses	5153	784	23697	7103	616	4345	4302	20385	4239	8351	6152	347	1589	1220	3851	-37	542	13163	1849	7014	210	4907	36340	-20185	2645	28124	2983	41728	40180	30628	28279
Lợi nhuận khác###Other profits	25454	4374	20419	10233	3791	2125	154	26123	10846	15895	3651	4763	26804	55141	5856	8431	2228	42343	18341	9338	16125	-8172	43202	41380	21841	1833	5239	42611	49909	128674	75547
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	99434	51871	502657	58609	50684	367458	85854	665763	-85642	156171	292245	418056	898128	337587	376016	22736	265700	948032	204313	201032	517270	29957	288046	-62288	184770	283863	-86706	-35787	-321370	-315866	319307
Chi phí thuế TNDN###Corporate Income Tax Expenses	36361	22790	84757	15993	8911	33665	16453	99306	32223	10502	41718	34722	120060	35435	39259	8693	32181	113409	25695	17515	49551	18195	115460	30369	31506	45500	12449	32135	22511	27490	94934
Chi phí thuế TNDN###Corporate Income Tax Expenses	36775	23411	89013	16315	8031	34425	19754	104930	32223	10221	41829	34722	122350	35435	39259	8665	32181	111528	25600	17167	47097	19234	116499	30369	31191	45821	12305	30483	23376	27028	94170
Chi phí thuế TNDN###Corporate Income Tax Expenses	-414	-621	-4256	-322	881	-760	-3301	-5624	0	282	-111	0	-2290	0	0	28	0	1881	95	348	2454	-1039	-1039	0	315	-321	144	1652	-865	462	764
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	100081	43100	472922	45357	58641	348599	92082	646926	-88410	181451	250527	405660	874616	341156	369744	21398	260159	911856	178618	183517	467719	11762	212262	-92657	153264	238363	-99155	-104835	-343880	-343356	224373
---Cac Chi So Tai Chinh---																															
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.20	6.20	6.30	6.30	7.20	8.30	9.00	9.00	9.00	9.50	10.00	10.30	8.00	8.00	8.10	7.50	8.00	7.30	7.30	5.60	6.70	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
