CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	47115	45046	46624	47031	53007	43983	39655	43527	43405	44507	43020	45159	41736	41730	45927	45896	48812	46833	46810	45030	40850	41440	41927	41870	26145	27094	25893	27218	29545	26979	23888	28245	26870	25195	27129	32869	37301	33678	34137	29669	37225	40921	43744	39590	38901	40842	39371	43040	39109	42597	36778	34196	32556	22535	29106	28957	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5853	5335	4045	19045	20692	14547	11434	17346	7346	5768	3451	5321	3441	3441	3858	3982	5539	4631	4631	5167	5225	6645	9099	9099	3953	3380	1057	3166	3166	3348	813	1209	5184	5184	2452	1657	2394	1419	1419	444	3480	1940	5179	5179	1896	1748	1088	4241	4241	1367	2456	1586	2578	2422	1676	1845	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	1000	1000	1000	1000	11000	7000	4000	3000	3000	3000	0	1200	1200	1200	1200	1200	0	0	0	0	0	0	0	1088	1088	1010	1210	1210	1310	1320	1315	1322	1023	824	824	866	1130	1130	1310	1310	1030	1189	370	255	755	775	725	1075	225	990	1008	431	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	30237	30290	34375	19396	21795	20011	16177	15898	15776	21002	20423	20528	18788	18783	25096	25927	24854	26366	26366	24241	21048	19692	27381	27381	17005	17286	19230	15011	18111	18507	14353	18264	12826	13383	15872	21845	23397	20784	23832	20197	22879	24086	25032	24561	22146	21737	21350	24518	24694	19526	16931	14334	14089	11949	12320	9989	7038
Hàng tồn kho###Inventory	9861	8358	7886	8273	9153	8068	9870	8801	8801	9995	13866	14898	16213	16213	16444	14062	16248	14497	14497	14089	14311	14365	5356	5356	5103	6296	5433	5641	4783	1590	3680	4081	5356	3160	4589	4612	4486	6454	3659	5518	6617	9154	7334	3932	7999	12127	11204	9714	4726	12820	7808	9619	8927	1157	9470	13206	0
Tài sản ngắn hạn khác###Other Current Assets	1163	1062	317	317	367	357	1174	482	482	742	1280	1412	293	293	529	726	970	139	116	332	266	738	91	33	83	133	173	2311	2398	2524	3831	3482	2194	2147	2901	3434	6000	4197	4403	2644	3119	4611	4889	4607	5830	4041	5359	4312	4693	8109	8858	7582	6736	6018	4632	3487	0
Tài sản dài hạn###Non-current Assets	42950	42956	36210	35981	35636	35977	34278	33621	33621	33600	33764	32971	41768	41872	37221	37763	37353	36679	36702	34650	34224	32846	32509	32567	33100	33416	33721	30604	30541	31206	33834	31435	33096	32278	32639	31794	31240	32073	32916	36087	30596	31570	31525	32824	32280	31107	31112	31112	30984	30076	28702	28624	25549	28421	23906	21482	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	200	200	200	200	200	200	300	300	300	300	300	400	400	550	550	550	600	600	600	600	628	760	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	34416	31307	29901	29956	30813	30293	28629	28695	28695	26551	22874	24083	25293	25293	23834	24627	25714	20464	20464	21207	21384	21612	22642	22642	23644	24405	23705	30047	23812	24167	23921	32202	32730	32617	32800	31235	31036	19490	32182	31550	29026	30003	21791	30785	30601	29372	29315	27370	29607	29350	28309	28307	25437	24921	23906	21474	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-51973	-50754	-49510	-49456	-48149	-46825	-45892	-44508	-44508	-43169	-41834	-40624	-39415	-39415	-38270	-37126	-35991	-34911	-34911	-33846	-32794	-31764	-30733	-30733	-29732	-28721	-27752	-26316	-26379	-25315	-24250	-23303	-22293	-22406	-21321	-20429	-19667	-18772	-18949	-18054	-17034	-16135	-15342	-15413	-14743	-19724	-19457	-18738	-18761	-17996	-17235	-16474	-15748	0	0	-12740	0
