CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	Q2 2013	 2012	Q4 2012	Q2 2012	 2011	Q4 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	803283	1095732	1100229	370732	345473	343725	343264	341737	1076381	1118622	376439	1096475	1085250	1131548	1111414	1096742	1077566	1069325	696330	441568	441568	106206	106206	122436	136004	174146	178638	178638	292823	233084	233084	199106	130752
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	826	542	873	865	490	775	667	1514	1482	590	485	1393	863	863	805	2942	3003	37647	37635	636	636	1110	1110	53085	53085	13878	7508	7508	10594	7736	7736	12171	17145
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300441	300440	84000	84000	14000	14000	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	802456	1095190	1099220	369731	344820	342557	341978	339538	1074213	1117180	375255	1094627	1083663	1130005	1109122	1092381	1072507	1030327	655446	139603	139603	18172	18172	49024	62591	138833	141946	141946	237490	174908	174908	159987	61549
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2980	2980	16567	25332	25332	38910	39048	39048	19337	50673
Tài sản ngắn hạn khác###Other Current Assets	1	0	136	136	162	393	619	685	686	852	700	455	724	679	1487	1418	2056	1351	3249	888	888	2925	2925	3347	3347	4867	3853	3853	5828	11392	11392	7610	1384
Tài sản dài hạn###Non-current Assets	289969	55578	55965	786965	787378	787744	786583	788554	57554	58052	789219	58773	59162	59162	66477	64305	59255	54258	358440	31394	31394	26210	26210	45181	31585	114707	130877	130877	93389	122817	122817	76363	67964
Các khoản phải thu dài hạn###Long term Account Receivable	235000	0	0	731000	731000	731000	729433	731000	0	0	731000	0	0	0	7123	7123	8907	8907	9022	20123	58051	20009	20009	24803	11207	30959	43460	43460	1577	26257	26257	0	0
Tài sản cố định ###Fixed assets	6865	7222	7579	7579	7960	8293	8665	9037	9037	9501	9781	10153	10526	10526	10898	8904	2480	2588	2588	3253	3253	4888	4374	18083	18037	52729	56373	56373	60852	65519	65603	74535	65650
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-7497	-7140	-6783	-6783	-6402	-6069	-5697	-5325	-5325	-4861	-4581	-4209	-3836	-3836	-3464	-3141	-2905	-2797	-2797	-2736	-2736	-2804	-2804	-53427	-53473	-58047	-54135	-54135	-49848	-45724	-45724	-33808	-25860
