CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	4325605	4443397	4435466	4158590	3982305	4569327	3135556	4102006	4101609	5197613	5516424	5109078	6128664	6128664	3996990	3706793	4012258	3074821	3057478	2599714	1930928	1876603	1830248	1830247	1688942	1566521	1657797	1798896	1798737	1716832	1462590	1477236	1292292	1308135	1367668	1650202	1235893	1232353	1209612	1057689	1352478	1434661	1251306	1245414	1339989	1044963	1054793	1345631	1342729	1013873	742054	742054	146066	146066	120443
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	99457	40519	76042	105974	269731	137312	191857	460998	460998	83007	123533	178708	93061	93061	74839	74798	81633	174109	199831	278248	21372	116201	51475	51475	58495	38591	42651	32272	32133	46419	48190	13275	19317	19317	14855	7219	6763	4498	4498	6750	13338	38996	14976	15796	81948	36056	44279	63783	63781	41441	70712	70712	6613	6613	6054
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	406016	362102	702162	657229	327337	323251	349573	197635	197635	189318	183670	483308	414943	414943	114477	26277	26009	26009	9	9	9	9	9	9	0	180	133	133	110	5698	5946	7542	7542	7542	8864	12583	10965	10965	8495	18102	18494	13428	12427	12427	23432	28355	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1084886	1080219	876685	876685	856849	1317275	841217	744746	744349	1026939	1001617	915341	1107025	1107025	966147	667672	813698	496324	487621	790417	743240	711090	533159	533158	546744	461879	492073	604105	604105	616021	505674	419088	376934	392788	339136	807937	469948	287407	287094	334902	541633	625993	375211	367438	491695	322232	437120	559993	557337	507718	186978	186978	28141	28141	29201
Hàng tồn kho###Inventory	2606501	2756081	2589369	2327492	2350021	2565694	1622264	2420511	2420511	3570611	3847758	3187602	4090178	4090178	2484744	2516035	2670172	2032864	2032503	1331577	1028580	940179	1098217	1098217	970693	995711	984580	972297	972300	908711	804034	961115	825115	825115	916450	763577	715540	856351	834371	671381	734739	681101	802682	802682	688162	636885	530536	665226	665226	419327	462137	462137	107496	107496	81917
Tài sản ngắn hạn khác###Other Current Assets	128746	204476	191208	191208	178367	225795	130645	278115	278115	327737	359846	344118	423458	423458	356784	422011	420746	345515	337515	199463	137727	109124	147388	147388	113010	70159	138360	190089	190089	139983	98746	76216	63384	63373	88364	58886	32677	73132	75154	26554	44272	75143	46011	47071	54751	21436	42857	56629	56386	45387	22227	22227	3815	3815	3271
Tài sản dài hạn###Non-current Assets	3463734	3515095	3628892	3643892	3684950	3791538	3933411	4020012	4020012	4098850	4140274	4105106	4045790	4045790	4004188	3977000	3779363	3315401	3280169	2735852	2361129	2075663	1742140	1742140	1717382	1645360	1378648	1137925	1137840	1028170	1015922	1011535	1031088	1023076	1042319	1056030	1057291	1043400	1067869	1059370	1032298	865566	688714	688714	602426	466865	371473	285105	285105	229936	142477	142477	158108	158108	177670
Các khoản phải thu dài hạn###Long term Account Receivable	3454	3454	3454	3454	3445	3444	3436	3436	3436	3419	3698	3694	3693	3693	3456	3453	3446	276	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3296010	3347577	3457519	3457519	3564423	3655630	3426314	3532029	3532029	3615068	3689124	3780971	3859555	3859555	3674390	2962349	2507672	1884716	1884716	1915052	1414098	1441626	1473596	1473596	1506821	1247037	982210	1127333	956720	963444	981849	1002973	1020286	982857	1000351	1045549	1048751	701207	1038625	1027383	1006628	847656	208342	675650	591571	456793	360543	192850	273741	216752	127604	127604	123485	123485	136290
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1730813	-1661156	-1553150	-1547630	-1442532	-1486109	-1421336	-1316668	-1316668	-1212323	-1105313	-1003230	-901555	-901555	-802940	-716925	-643850	-588280	-588280	-537434	-496735	-460547	-423532	-423532	-386626	-353966	-326754	-302494	-302494	-279046	-255784	-234163	-210900	-209523	-190224	-174071	-152488	-134631	-132365	-118846	-108779	-103839	-99229	-99229	-95837	-90588	-85270	-80650	-80650	-75618	-60121	-60121	-44802	-44802	-32157
