CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	167035	161933	154625	154826	156084	159568	159781	162057	162213	155735	167248	158230	153267	153232	162926	159848	119008	109510	106754	112817	102365	93343	89020	89020	88465	85241	90644	77634	77634	81128	80448	76681	73427	73427	64317	46937	24997	25598	27361	57521
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	16779	16534	15808	15808	12070	35223	13973	19137	19136	13600	20773	19091	11502	11502	4662	5697	6473	7580	18146	63644	15422	61471	33208	33208	39846	38511	57081	53808	53808	51243	51666	44797	48042	48042	30827	16333	1235	2691	7071	26195
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	125600	112900	112900	112900	104000	100000	116000	105000	105000	105000	113000	89000	89000	89000	106500	110500	79000	69000	61000	8000	57500	0	32000	32000	15640	15640	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	22333	30121	24130	24126	37749	22022	26984	35605	35565	34660	31121	46786	50293	50290	49268	40237	31326	30430	25448	39159	27590	29908	22154	22154	30936	29273	30571	20865	20865	27301	24756	24506	19191	19191	25104	20667	11792	11398	11046	21245
Hàng tồn kho###Inventory	789	874	1046	1136	1288	1256	1409	1562	1562	1799	1459	1856	1563	1563	1413	1480	1214	1454	1457	1113	1030	1228	925	925	1185	959	1021	904	904	978	1113	3603	2520	2520	2643	2953	2829	5462	6091	2610
Tài sản ngắn hạn khác###Other Current Assets	1535	1503	742	855	978	1067	1414	752	949	676	896	1498	909	877	1084	1933	995	1047	703	900	822	736	732	732	859	859	1972	2057	2057	1605	2912	3776	3674	3674	5744	6984	9141	6048	3154	7471
Tài sản dài hạn###Non-current Assets	80272	80844	80868	80839	76066	76436	80962	81195	81227	80926	84400	86012	87130	87163	87672	87769	103967	110998	105641	104533	105094	110405	110393	110393	107915	109756	109032	110552	110552	113730	114412	284966	288445	288445	308372	333448	383736	396072	411213	408023
Các khoản phải thu dài hạn###Long term Account Receivable	27	593	593	593	593	593	593	593	593	593	593	593	593	593	527	529	45	45	45	45	45	45	45	45	41	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	20644	21310	16928	16862	17304	17859	18111	18572	18572	18898	23528	23686	24487	24487	25032	25858	26721	26033	26033	27197	28003	28850	29647	29647	29242	30058	28848	37385	29900	33127	33019	202421	213625	213625	233214	257398	289919	306522	324445	333705
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-33329	-32843	-32297	-32297	-31880	-31552	-31293	-31001	-31001	-30565	-40617	-42169	-41265	-41265	-40372	-39584	-38793	-38487	-38487	-37803	-36843	-36166	-35229	-35229	-34716	-34269	-33378	-32597	-32597	-31802	-30953	-65683	-62881	-62881	-104251	-101357	-96390	-79067	-62209	-41285
