CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	92	180	5	6	6	84	84	218	0	0
Vốn chủ sở hữu ###Owners equity	93747	97588	96154	96664	95533	94779	99294	97139	96916	95699	93494	99071	98530	98619	97074	94300	92109	91495	91621	92607	87201	84948	73242	68501	65829	64931	66039	63778	65504	64492	60214	64644	63286	64837	62671	60857	66940	63267	66280	67309	62500	66485	63248	65034	51708	52340	63295	52581	56450	41560	40103	35895	35424	37329	30662	33103	32763	30785	33590	27709	28185	0	24845	4179
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270549	231831	153690	158156	170464	170782	194496	173280	175348	187105	165335	0	135652	135497	171909	99950	123659	150522	150441	120013	81420	106011	102708	102211	66452	46633	62094	63811	63807	37405	39565	40971	66749	33827



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	66236	69216	385694	202981	53271	62444	66084	381717	166430	81455	88683	45150	436014	115966	120798	144753	44022	568894	186022	151656	118336	112493	551061	201357	108827	144931	94341	353873	117170	151290	61698	23716	268442	92448	54702	42476	78804	254746	93383	56025	43658	61893	252026	104332	74054	37700	35940	249861	153794	38556	16889	40524	130596	72317	19609	21381	17288	108193	47452	14691	19904	26203	142485	95031
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	67	12	0	0	0	0	0	0	0	0	0	0	16	0	0	0	16	110	0	0	110	0	22	0	22	0	0	131	0	0	131	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	66236	69216	385694	202981	53271	62444	66084	381717	166430	81455	88683	45150	436014	115966	120798	144753	44022	568894	186022	151656	118336	112493	550982	201357	108827	144864	94329	353873	117170	151290	61698	23716	268442	92448	54702	42476	78804	254730	93383	56025	43658	61664	251916	104332	74054	37590	35940	249839	153794	38534	16889	40524	130464	72317	19609	21250	17288	108193	47452	14691	19904	26203	142485	95031
Giá vốn hàng bán###Cost of goods sold	60713	57737	357333	189359	44843	60817	58189	330961	148443	66807	71433	38497	384914	98998	105284	132912	35470	518685	172088	133670	109972	99875	494973	180928	96645	131809	83126	316296	104320	137841	53540	16902	233232	79547	46201	34008	69459	213368	77971	47338	32725	51019	210854	82042	68460	29919	27262	209833	126103	31640	12712	34782	101609	55584	15519	15625	11297	80865	34894	10884	14455	21114	114080	81104
Lợi nhuận gộp###Gross profit	5523	11479	28360	13622	8428	1628	7895	50756	17987	14647	17249	6654	51099	16968	15514	11840	8551	50209	13935	17985	8364	12618	56009	20429	12182	13055	11203	37578	12849	13448	8158	6814	35210	12901	8501	8468	9344	41361	15412	8687	10932	10644	41062	22290	5594	7671	8678	40006	27691	6894	4177	5742	28855	16733	4090	5625	5991	27328	12558	3807	5449	5089	28405	13928
Doanh thu hoạt động tài chính###Financial activities Revenues	130	103	582	100	43	194	245	77	13	6	17	40	493	97	72	153	171	1173	204	209	420	338	773	483	83	133	73	1203	85	197	533	346	486	228	53	378	20	806	162	113	212	217	2752	834	127	217	845	915	134	534	42	75	144	33	5	33	60	278	30	34	31	177	363	158
Chi phí tài chính###Financial Expenses	323	325	1172	368	3	361	441	7418	1350	1454	3323	1291	11797	3050	3040	3583	2123	13082	4498	2248	3685	2652	10146	4190	2978	1598	707	3192	491	562	1559	413	3300	471	848	1420	531	4802	1375	862	1422	1050	13160	2863	1086	6459	1842	7532	3176	1082	759	970	4767	2491	219	952	801	1011	630	195	176	12	2485	2725
Chi phí bán hàng###Selling Expenses	524	1325	4866	1381	1165	1025	1295	6356	1647	1422	1636	1650	6936	2068	1628	1696	1540	8983	2987	2461	1642	1893	7162	2357	1438	1808	1558	5408	1919	1338	1273	804	4448	1094	1248	944	1162	4889	1859	941	951	1139	6463	1570	1611	2035	1270	4659	1723	1007	802	1128	3543	1225	700	819	808	4592	1516	663	1385	587	6215	6718
Chi phí quản lý doanh nghiệp###Managing Expenses	3865	7731	16940	9816	6259	437	3412	29071	13623	9099	9375	3069	20644	9898	5312	2756	4379	20072	8529	5566	3552	5927	27630	11904	6888	4108	6051	20320	9496	5881	3776	4822	17457	9511	4812	2340	4560	24222	13391	4089	4319	5410	17547	6482	4050	5991	5807	14590	7704	4071	2278	3304	11684	5975	3062	2923	2600	11273	3922	2530	2251	2578	9379	6879
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	941	2201	5964	2157	1043	-1	2992	7989	1380	2679	2933	683	12215	2049	5606	3958	680	9246	-1876	7920	-94	2484	11845	2461	962	5674	2959	9862	1029	5865	2083	1121	10492	2053	1646	4144	3111	8254	-1052	2908	4453	3262	6643	12209	-1026	-6598	604	14140	15222	1269	381	415	9005	7075	114	964	1842	10730	6521	454	1667	2089	10690	-2235
Thu nhập khác###Other incomes	164	190	1014	231	305	58	436	682	161	396	124	1	130	4	23	1	103	3763	31	22	3505	206	664	58	193	300	112	1649	1319	41	44	237	730	366	173	189	35	134	58	10	16	12	2822	2168	493	1715	137	336	56	194	26	83	366	1	3	47	138	92	3	1	87	0	5	196
Chi phí khác###Other Expenses	6	599	1807	975	226	0	110	1159	20	318	813	8	1849	121	1676	43	9	748	46	526	91	85	289	29	4	45	173	3071	1335	1594	142	0	2425	152	5	2263	5	126	36	41	12	38	848	585	145	72	46	613	389	6	148	27	118	16	28	72	2	785	562	13	93	10	765	504
Lợi nhuận khác###Other profits	158	-409	-794	-744	79	58	326	-477	141	77	-690	-6	-1719	-117	-1653	-42	94	3015	-15	-505	3414	121	375	29	190	255	-61	-1422	-16	-1553	-98	236	-1695	214	168	-2074	30	7	23	-31	4	-25	1974	1583	349	1643	91	-277	-332	188	-122	56	248	-15	-25	-24	135	-693	-558	-11	-6	-10	-760	-308
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1099	1793	5170	1413	1122	57	3319	7511	1521	2756	2243	677	10496	1932	3953	3917	774	12261	-1891	7415	3320	2605	12219	2490	1151	5929	2898	8440	1013	4312	1985	1358	8796	2267	1814	2069	3141	8261	-1029	2878	4456	3237	8617	8856	-677	-4955	695	13862	14890	1457	259	471	9253	7060	89	940	1978	10037	5962	443	1662	2078	9930	-2543
Chi phí thuế TNDN###Corporate Income Tax Expenses	221	359	1101	283	363	18	664	1582	304	551	500	135	2561	386	1199	830	155	2619	0	1509	1055	521	2711	548	253	1312	638	2372	223	1404	541	299	3203	668	453	0	0	1732	0	0	0	809	1503	2414	0	-174	174	3721	3722	364	-118	118	1714	1236	16	230	346	2697	1169	124	0	582	3009	-464
Chi phí thuế TNDN###Corporate Income Tax Expenses	221	359	1101	283	363	18	664	1582	304	551	500	135	2561	386	1199	830	155	2619	0	1509	1055	521	2711	548	253	1312	638	2372	223	1404	541	299	3203	668	453	1260	785	1732	0	504	1122	809	1503	2414	0	0	174	3721	3722	364	65	118	1664	1236	16	180	346	2739	1169	124	0	0	2249	304
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	46	0	-43	0	0	0	0	760	-768
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	878	1434	4070	1130	759	40	2655	5930	1217	2205	1743	0	7935	0	0	0	0	9642	-1891	5906	2264	2084	9509	1943	898	4617	2260	6067	790	2909	1444	1059	5594	1599	1360	809	2356	6529	-1029	2374	3335	2428	7114	11379	-677	-4955	522	10141	11167	1093	194	353	7538	5825	73	714	1631	7341	4794	319	1662	1497	6920	-2079
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.36	0.37	0.54	0.54	0.43	0.33	0.22	0.20	0.20	0.15	0.22	0.22	0.54	0.54	0.89	0.66	0.85	0.23	0.23	0.10	0.19	0.26	0.33	0.33	0.27	0.25	0.25	0.38	0.38	0.45	0.45	0.56	0.46	0.46	0.48	0.59	0.60	0.63	0.63	0.65	0.71	0.86	0.84	0.84	0.79	0.94	1.00	1.10	1.10	1.24	1.00	0.79	0.68	0.68	0.66	0.60	0.45	0.51	0.51	0.31	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.90	2.90	3.40	3.40	3.50	3.85	3.85	3.85	3.85	3.71	3.86	3.94	3.64	3.64	3.64	3.92	4.46	4.80	4.80	5.40	5.27	5.31	5.65	5.65	5.48	6.03	4.88	4.82	4.82	4.57	4.10	4.25	3.32	3.32	3.43	3.28	2.99	3.28	3.28	2.46	2.91	2.83	2.05	2.05	2.42	2.83	3.46	3.64	3.64	3.88	5.17	4.90	4.57	4.57	4.88	4.11	2.47	1.78	1.78	4.00	5.05	0.00	0.00	0.00
