CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	5774864	6034592	5704833	5716432	5542384	5517018	5402184	5674124	5671242	5891198	5854641	5639184	6284084	6287871	6476975	6306231	6114609	6817359	6818312	7159598	7676620	7778923	8210877	8221084	9444978	9415467	9635418	9452329	9419904	9539412	9517429	7813375	7967393	7918838	7007235	6238393	5230069	5078602	4986645	5647998	4713618	3784991	3914920	3790937	3754153	3242773	3047239	3210595	4770904	4302861	2975798	3028102	2564985	2502640	2542605	2201482	2343388	2065295	2709261	2474588	2175038	1673483	1670515	1349980	1754339	937271	494216	680370	613818	447806	799450	802352
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1756884	1801320	1890029	1890029	1541908	1726068	1915612	2265202	2266981	2331959	2188251	1666333	1803324	1803330	1617981	2184885	2322264	2782568	2777568	2546192	2232670	2923411	3496469	3496562	3216705	3293858	3083289	3208194	3208194	2406523	2717348	2425185	2597617	2617608	2429364	2336264	1145736	1067749	1067749	1105414	888328	910384	668193	668225	659326	563004	473608	854569	889197	553753	599880	713348	874497	879027	1313288	1165855	1194111	687790	812890	870391	634516	641717	521941	216561	229490	131967	77583	152593	152593	114053	562542	562543
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	897658	817675	1033150	1033150	1456262	1553343	1339603	1011770	1009748	764724	1037247	1351568	2148217	2148217	2073939	1584222	1615008	1678127	1683127	1602519	1640214	1294296	889865	889865	626000	420000	10000	11937	11937	462342	159258	18000	20000	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	25680	25680	46999	44539	51716	66539	22000	16978	0	72000	120000	0	0	0	0	0	305380	688700	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2364924	2606266	1906712	1933888	1771364	1451794	1414342	1612579	1613380	1974787	1828710	1849804	1552065	1554740	1857868	1704922	1330768	1527116	1527354	2124057	2890364	2616177	2755761	2792038	4422260	4546410	5419712	4909187	4826662	5170477	5281954	4267745	4184484	4111223	3437391	2831569	3207055	3117237	3025337	3513573	2798016	1992441	2178143	2055594	1992805	2110522	2167060	1947836	3480266	3237764	1919810	1920497	1268125	1262603	1010030	876766	945701	1056945	1711855	1471060	1400910	886077	1051653	736535	710328	639996	347757	431372	440457	306449	210117	213019
Hàng tồn kho###Inventory	717095	763641	835448	809763	718083	744230	691137	759890	754751	783819	762969	726639	754160	746947	903529	792377	803112	794987	794987	819843	861045	881674	1003903	1007218	1030712	1000410	1053678	1225805	1263852	1352068	1139789	968420	1043709	1068822	977408	889812	784143	787833	787833	926168	914853	832940	1003086	1001612	992234	444404	321003	342433	336614	406775	325483	300858	321323	303521	157226	109704	107285	174461	159016	65219	52665	81534	45690	38909	52112	138463	62315	64592	17646	21657	18973	18973
Tài sản ngắn hạn khác###Other Current Assets	38302	45690	39495	49602	54768	41583	41490	24683	26381	35909	37465	44839	26317	34636	23658	39825	43457	34560	35275	66987	52327	63365	64880	35403	149302	154789	68739	97205	109258	148002	219078	134025	121583	121185	163072	180748	93136	105784	105727	102843	112420	49226	65497	65505	89788	104843	65568	40078	39147	57570	86086	41684	34501	35490	45084	49157	24291	26098	25500	67919	86946	64155	51231	52595	73710	26846	6562	31813	3122	5647	7816	7817
Tài sản dài hạn###Non-current Assets	15172262	15303177	15186894	15160375	15039493	15051832	15128934	15329689	15330998	15371913	15322469	15382123	15533377	15508203	15698579	15948340	16212490	16325348	16307132	16164685	16386183	16453059	16704350	16708129	16971406	16873624	16982071	13852431	13856376	13413279	13556921	13681667	13524940	13571570	13694721	13614598	13781539	14005017	14017485	14275045	14427059	14533098	14620498	14621581	12467999	12197903	12318520	11429171	10287745	10356588	9924940	9677682	9803360	9902136	8578006	8628238	7091722	6567568	5966235	5250651	3439031	3417665	2659399	2968453	2567597	2204901	2112869	1493788	1340642	1204103	763392	763392
Các khoản phải thu dài hạn###Long term Account Receivable	17168	15612	15395	15519	14530	14519	15152	15110	14686	18923	19330	19105	19010	18996	20281	16474	16690	16688	16688	16673	17381	17800	18305	17134	14276	17128	17410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	397	805	0	310469	94768	2441	2355	0	1394	749	1161	1161
Tài sản cố định ###Fixed assets	13697824	13955470	13935700	13926159	14065564	14238462	14327831	14462489	14462489	14508133	14547648	14680922	14821259	14821259	15045869	15255237	15466857	15575544	15562529	15459356	15646564	15700453	15931915	15931915	16251454	16165205	16300708	13178252	11701856	11937161	12133958	12222959	12482424	12482424	12706790	12941029	13080804	13198919	13321652	13507616	13822512	13983187	14083227	14095265	12005944	11804000	11849801	9510550	9852468	9922751	9519164	9310524	9420069	9478218	8329756	8285659	6784266	6272698	5673244	5007555	3300459	3277094	2534750	2534709	2455819	2156796	2051624	1490898	1313656	1198053	762164	762164
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-9869006	-9889502	-9611056	-9609771	-9475263	-9348111	-9187492	-9032903	-9032903	-9102038	-8760770	-8502441	-8292328	-8292328	-8090788	-7861018	-7652869	-7537816	-7550830	-7315282	-7084086	-6880772	-6774676	-6774676	-6393563	-5932274	-5540861	-5232497	-5232497	-4988973	-4729409	-4440937	-4169386	-4170454	-3914440	-3602497	-3346585	-3087118	-3087917	-2823138	-2536217	-2307784	-2104390	-2104390	-1915278	-1740340	-1560979	-1287146	-1287090	-1125428	-937649	-797295	-650198	-648239	-537220	-488556	-442147	-398606	-387748	-354948	-308044	-262421	-219000	-218945	-164236	0	-82209	-75510	-75220	0	0	0
