CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	1443048	2412703	2473415	2473415	2394727	2431824	2439953	2435604	2438646	2231714	2486030	2411118	2442030	2442030	2122598	2230067	2242499	2213087	2215029	2171061	2450715	2455998	2349718	2349718	1532748	1792344	2029770	1223579	1223579	1001311	440062	563560	481773	481773	683574	638304	362130	251818	251818	260255	238551	149923	407630	407630	364565	443919	335626	324695	324695	167995	108680
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	187066	113908	117605	117605	117045	126707	160863	84029	84029	157376	222928	346781	145899	145899	796278	781330	896828	702509	702509	921014	859186	764680	1171669	1171669	550691	299079	660973	506581	506581	160951	29037	215741	177402	177402	312363	201917	162014	40939	40939	58965	15452	8166	4565	4565	17156	163953	87758	19829	19829	10212	4890
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	843570	1768575	1805294	1805294	1834576	1902629	1770860	1717086	1717086	1627292	1312236	995304	1024942	1024942	955135	1030339	960752	951688	951688	552930	829275	829275	0	0	30000	152670	274770	448550	448550	326542	0	145835	0	145835	145835	105500	0	0	0	0	0	0	214364	214364	177930	51370	100000	100000	100000	18613	8875
Các khoản phải thu ngắn hạn###Short term Account Receivables	132414	206575	178807	178807	90109	128078	75702	75185	75185	89975	194236	241697	292295	292295	205503	159325	154910	173574	175516	159315	197276	331528	342126	342126	73629	55245	90284	53902	53902	178553	237750	18894	174304	28469	125968	169197	89264	118051	118051	62105	50080	67996	48021	48021	50291	32668	34013	53845	53845	44691	12586
Hàng tồn kho###Inventory	221248	261553	307335	307335	293465	225798	381009	499723	499723	302129	698514	756992	900412	900412	163879	250239	228221	369916	369916	526068	551305	527526	817444	817444	851295	1212998	832014	214532	214532	320399	164943	176662	128012	128012	98811	159808	108969	88696	88696	135111	168097	73649	138970	138970	116881	185329	113778	144463	144463	90511	23372
Tài sản ngắn hạn khác###Other Current Assets	58751	62092	64373	64373	59532	48613	51521	59580	62623	54941	58115	70345	78483	78483	1804	8834	1788	15400	15400	11733	13673	2988	18478	18478	27134	72352	171727	15	15	14866	8331	6428	2054	2054	596	1883	1883	4132	4132	4074	4923	112	1709	1709	2307	10598	77	6558	6558	3968	58957
Tài sản dài hạn###Non-current Assets	2499521	1271334	1154309	1154309	1126486	1090495	1068404	1070038	1070038	1292506	1010153	1030173	936209	936209	1111866	967814	965075	939310	939310	1076931	796952	797988	588161	588161	262463	263455	263328	217667	217667	226291	303380	197413	197715	197715	43630	149615	263289	263429	263429	263553	263700	259766	3075	3075	3218	3362	863	921	921	132665	0
Các khoản phải thu dài hạn###Long term Account Receivable	499706	499706	499706	499706	499706	499706	499706	499706	499706	499706	441500	461413	366863	366863	306863	164263	164263	139623	139623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	26190	20701	21422	21422	22144	22866	23588	25304	25304	24545	24186	24809	25432	25432	8161	8648	9011	9494	9494	9979	10461	10944	11216	11216	8429	9856	10272	5310	5310	4257	1327	3321	3474	3474	3570	3720	2410	2517	2517	2629	2742	2816	2929	2929	3042	3156	626	666	666	615	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11708	-12736	-12014	-12014	-11292	-10570	-9849	-9127	-9127	-8439	-7816	-7193	-6570	-6570	-5435	-4948	-4462	-3980	-3980	-3494	-3012	-2529	-2051	-2051	-1568	-1581	-1165	-636	-636	-516	-456	-1436	-1284	-1284	-1134	-985	-900	-792	-792	-680	-567	-456	-345	-345	-234	-123	-215	-177	-177	-35	0
