CAN DOI KE TOAN	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q1 2010	 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	45939	45939	26733	43924	47167	47892	47224	56592	62305	61671	62300	64776	52158	47036	42175	41699	45638	43326	48646	50435	49873	49669	53729	58881	85369	62816	65848	63442	58277	65768	64201	65100	65032	67079	71704	82938	82563	82496	0	30570	13617	13617	10202
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12	12	30	43	44	61	77	483	410	746	1980	1975	858	1485	419	993	993	317	35	656	1302	1301	1759	4612	4853	4140	4132	3126	754	877	1386	1386	54	6776	9477	25387	4067	3780	0	7018	1923	1923	831
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	241	241	241	241	241	241	241	241	241	241	241	241	241	241	241	241	241	241	241	241	241	86	86	84	0	67	1267	1281	1293	3500	4454	4647	8923	8973	21201	21158	41110	48397	0	11273	4471	4471	2885
Các khoản phải thu ngắn hạn###Short term Account Receivables	32947	32947	10589	27744	28110	33608	25027	33235	44421	43034	40595	43280	22474	27075	15054	21688	15055	15082	21296	21192	21105	21678	24341	28457	38907	27730	28853	23438	21197	25220	26382	27546	28044	29283	26969	23305	23676	20687	0	9205	5035	5035	3141
Hàng tồn kho###Inventory	7440	7440	9865	9865	12741	12741	12741	16354	16354	17311	18151	17956	16663	17440	17379	16554	20813	18457	17433	17016	15548	14679	15432	13383	37021	14285	15002	16093	16329	14930	12938	12592	12694	9869	5790	7406	7409	2011	0	213	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	5299	5299	6007	6030	6031	1241	9138	6279	879	338	1334	1323	11921	794	9082	2222	8535	9229	9641	11331	11677	11924	12110	12345	4588	16594	16594	19504	18705	21241	19042	18929	15317	12178	8266	5681	6302	7620	0	2861	2188	2188	3346
Tài sản dài hạn###Non-current Assets	35486	35486	40243	40731	41381	41819	44786	48586	47714	50156	57412	55973	63995	72176	73024	73995	80887	87479	90083	86652	87366	86569	83508	77998	18897	74724	78128	80664	83980	81684	82237	84187	75430	68945	65811	52799	52568	44941	0	24570	8243	8243	9778
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	1382	1382	0	1382	1382	0	0	2995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	13242	13242	13593	13970	14396	14832	14730	15267	15702	16140	19953	19891	24216	25202	29928	30898	30668	31529	26781	59404	59908	63829	60885	55356	5195	19920	68395	70780	73910	70725	23441	71800	63214	56938	53846	13799	40743	38196	0	13809	2239	2239	1237
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-10930	-10930	-10579	-10201	-9776	-9340	-9442	-8905	-8470	-8032	-8735	-8906	-9047	-8916	-10414	-9740	-10102	-9210	-8364	-7556	-6844	-6853	-6172	-5445	-18998	-5782	-5782	-6188	-6451	-5224	-4373	-4344	-3426	-2625	-2026	-1481	-1481	-465	-308	-253	-326	-326	-112
