CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1561610	1510745	1476187	1486667	1411437	1368875	1505215	1573079	1651923	1639189	1703996	1565694	1480719	997855	1042022	1357012	1137923	1090174	868131	1004550	1165388	1122495	1144582	1138677	1129140	1173104	1210667	1181407	1292065	1297538	1322455	1188224	1233750	1233469	1403050	1451582	1537852	1601069	1613135	1677934	1930470	1993501	1967722	2037256	2027886	1958271	2111319	2045847	2110150	1706815	1732988	1230119	1142565	1132921	1255940	1162823	1047388	941331	969449	799186	665418	620785	586529	657907	488697	377511	246070
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	73278	118233	143063	143063	133189	135614	151206	184520	111927	105150	101143	115924	138739	138735	48475	35266	48792	50631	51132	40005	135412	63027	54802	57802	110102	156673	25697	87685	87685	95392	89570	69104	124692	124692	185442	224090	208328	248537	248517	230851	263530	281314	369610	370223	495624	535485	814136	900532	883509	740288	722568	347094	373831	373831	389465	201970	120340	70730	65730	61622	31523	8894	57884	124120	107776	41354	8938
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	32416	30416	136091	33161	34342	429	1052	1052	3522	2008	4142	754	254	247	332	353	449	449	624	763	9169	812	812	837	783	574	477	477	550	629	637	587	587	1181	1018	680	1155	480	38115	41947	1517	4330	19899	11862	84677	862	862	862	862	862	862	0	5000	0	0	56637	59815	52399	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	314801	320710	310585	311517	301069	253489	229530	245139	269509	151516	147304	145055	136444	134754	209789	155021	198200	195140	165775	140738	119685	99805	120754	107960	95586	101915	108021	135974	86915	58605	63707	66895	73702	72827	96760	85057	100040	101235	129953	171337	280353	387660	279566	367419	372579	280056	230192	243740	330998	248836	234372	221168	198032	177817	236175	227314	187576	156295	135431	174767	175858	175879	172735	170785	105194	70302	33322
Hàng tồn kho###Inventory	1159368	1060396	1014860	1024468	974513	974979	1088773	1106569	1131896	1341617	1409891	1293054	1186917	705849	766886	1153330	878077	837805	645127	819767	904600	954564	961358	963549	919632	913711	1067559	956789	1052085	1052553	1073296	955368	963248	962992	1039375	1061030	1143962	1166758	1147639	1171383	1278629	1218564	1220171	1200517	1018716	1013970	990964	822469	803300	618586	602737	560744	486089	493955	573503	641542	684997	654916	623315	434143	369998	296108	242626	256247	192365	225111	203617
Tài sản ngắn hạn khác###Other Current Assets	14163	11407	7679	7619	2667	4793	3291	6435	2501	7745	11315	11233	17568	17464	13350	11388	8712	5843	5843	3793	5358	4745	7219	8916	3196	42	221	148	64569	90152	95099	96284	71631	72480	80924	80777	84886	83953	86440	103182	106941	105284	97220	98616	102853	86812	74510	74775	72443	87243	88635	100252	83752	86456	55936	91135	53613	59389	139973	128654	88039	83267	53469	54358	83362	40744	193
Tài sản dài hạn###Non-current Assets	86869	146268	147208	136457	110251	105990	106366	106969	107823	110810	116614	116771	116883	598361	517766	203654	365333	286540	492903	342047	147258	155682	133000	142294	218808	214374	130844	185613	73543	77381	90990	99983	89607	91368	84590	79500	84979	88300	69262	71887	110694	84499	81637	82912	80590	74620	89906	89162	72209	35455	26394	35834	28871	28731	21950	20804	27638	24609	24910	25405	24080	13923	73844	16530	13316	17185	14796
Các khoản phải thu dài hạn###Long term Account Receivable	15	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7141	26833	22373	23932	21282	34524	39328	36295	38433	36606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	38887	40601	41435	30640	34687	30699	31261	31851	33327	34073	34831	35280	36012	35766	36636	36305	28689	27601	37176	38110	38406	40071	40572	41223	40932	42088	43297	44467	43264	45279	45229	46377	43043	43069	44425	45918	47231	48521	29321	30411	37487	36880	37913	37985	31298	26266	27031	26421	15657	13024	11068	12697	11980	11873	8350	7972	9271	6488	6486	6285	5795	5723	5535	5585	5128	5151	2678
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-29174	-28421	-27614	-27614	-29175	-31059	-30408	-29763	-31875	-31097	-30287	-29533	-28765	-28700	-28653	-28985	-23650	-24738	-25243	-24310	-23363	-22626	-21473	-21363	-21549	-22660	-21370	-20246	-20108	-19636	-18416	-17177	-16657	-17134	-16430	-15177	-14535	-13252	-12552	-11474	-12929	-10189	-9426	-9069	-7988	-7221	-5334	-5425	-5660	-4902	-4282	-5129	-4660	-4767	-4149	-3768	-3256	-3008	-2997	-2926	-2626	-2355	-2095	-2096	-1913	-1460	0
