CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	Q2 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	629731	565384	599467	599467	553144	582208	600108	636077	636104	668675	681224	687540	696530	696530	646259	785430	643203	439724	439724	414049	512784	549290	436623	436643	482796	459342	315351	264774	264774	323548	172914	175247	157592	157592	281006	244500	393545	178549	178845	387789	155666	285375	294845	294845	157122	156389	172277	378294	378080	204415	222388	209555	209555	140136	126871	196654
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	28383	39151	23475	23475	16678	26676	25704	34493	34493	29055	10698	61620	8944	8944	19544	24455	13396	16376	16376	12226	33137	17283	22502	22502	12384	6527	5154	15384	15384	29819	11664	6717	9012	9012	8339	4148	2075	14149	14149	17335	9039	6515	9743	9743	4994	7094	8547	17687	17692	14380	15968	15643	15643	4432	13972	6592
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	1351	1351	1351	1756	1756	1814	1814	1814	1795	1795	1641	1641	1641	1351	1486	1621	1563	1563	1641	1891	2485	1918	1918	2020	1780	864	249	249	0	0	144	144	186	2520	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	524769	457914	497282	497282	469053	469013	438985	504595	504595	557138	567598	498443	508531	508531	567330	704751	548890	356214	356214	382698	443354	477044	383359	383384	433541	300308	226881	143504	143504	196059	134667	124644	129302	129302	247657	191208	360280	123047	123343	334230	93593	209075	124566	124566	99819	99192	94551	95261	95042	128673	85819	71601	71601	72795	50349	80543
Hàng tồn kho###Inventory	75394	67390	76147	76147	66847	85583	129591	94281	94281	81093	99763	121128	166368	166368	57320	54454	63210	59889	59889	18158	34887	49770	27448	27448	33676	137546	77034	93540	93540	85988	20752	36086	10559	10559	22140	29032	28031	32266	32266	21010	46998	64517	147578	147578	45727	45977	66002	242093	242093	57608	113450	118016	118016	60281	57655	99318
Tài sản ngắn hạn khác###Other Current Assets	1185	929	2563	2563	566	936	5829	2708	2735	1389	3165	6349	12687	12687	2066	1771	17708	7244	7244	967	406	3842	1963	1958	1438	13205	4468	10532	10532	9886	4036	6159	7079	7079	1519	18626	1538	7524	7524	13573	4144	2782	11040	11040	4562	2345	2313	23005	23005	3753	7151	4152	4152	2442	2376	10201
Tài sản dài hạn###Non-current Assets	80476	80522	81136	81136	103431	103855	102508	100813	100813	95121	93219	93756	94262	94262	93434	93900	91814	93818	93818	90423	89625	88925	88635	77991	71232	71438	70775	70084	70084	76876	75495	75472	76166	76166	76214	81751	82589	78569	78569	77583	78141	75393	73792	73792	75188	74361	74512	74760	74760	57197	56090	55095	55095	53703	49085	46282
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1996	1325	1166	1890	1890	1767	5867	6360	1621	1621	995	1352	1068	415	415	866	850	906	913	913	926	1078	1795	1795	1622	6786	13410
Tài sản cố định ###Fixed assets	50269	50580	50977	50977	51449	51921	53028	53516	53516	54003	51942	52375	52810	52810	53265	53703	54145	52894	52894	66288	66689	67091	67496	44355	46053	46323	46271	49569	46463	46290	46537	48531	48521	48521	48775	49980	50340	49444	50478	50765	50874	48200	47807	48022	48245	46836	46291	46472	46560	46751	45417	43450	43450	41986	37871	29590
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14107	-13742	-13371	-13371	-12924	-12478	-12363	-12566	-12566	-12766	-12338	-11932	-11526	-11526	-11107	-10688	-10268	-9851	-9851	-9715	-9313	-8911	-8507	-8507	-8324	-8097	-7845	-7595	-7595	-7348	-7434	-7633	-7368	-7368	-7095	-6823	-7123	-6815	-6815	-6499	-6190	-5944	-5680	-5680	-5402	-5182	-4957	-4740	-4740	-4381	-4214	-3974	-3974	-3681	-3442	-19060
