CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166815	0	0	0	0	0	0	0	0	0	675	0	2899	2899	318	5243	0	0
Vốn chủ sở hữu ###Owners equity	751629	767047	759536	759536	783707	757277	770990	775318	775318	671235	648261	651842	691330	691330	670657	635231	616633	566467	566467	562840	573989	563317	616449	616649	571431	573514	549422	584624	584824	560157	573551	526323	563709	563709	525929	533768	560319	560519	519851	523024	514118	404349	571165	523950	515708	496242	503881	496242	491342	468837	446807	437854	437854	426489	426489	425878	394063	208968	48118
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	200	200	200	200	200	200	200	200	421	6240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	937750	896198	964026	963633	963696	979820	967270	1004052	1001095	965001	1083713	1047597	1147686	1066590	1084101	0	0	1027179	1141115	1174952	1141115	932905	945187	1077068	1034495	1100060	1143080	1174351	1142175	1050599



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	44658	46258	206241	44719	65868	40695	54959	214969	78632	39112	51165	46059	478537	46320	43617	44920	343680	260753	158819	36257	33996	31681	203637	51881	66014	34541	51201	326186	29932	146836	89500	59911	288305	44259	109737	74268	80234	490613	74790	191320	182775	311133	1344862	199250	222152	296113	325026	836417	181052	181052	202782	164083	422453	219789	219789	0	725581	601166	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	840	0	840	0	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	113	75	0	75	0	0	22	0	23	0	178	178	0	0	1	0	102	68	68	22	4	4	462	462	0	896	974	0
Doanh thu thuần###Net Sales	44658	46258	205401	44719	65028	40695	54959	214969	78632	39112	51165	46059	478526	46320	43617	44908	343680	260753	158819	36257	33996	31681	203637	51881	66014	34541	51201	326073	29932	146836	89500	59799	288230	44259	109662	74268	80234	490591	74790	191297	182775	310955	1344684	199250	222152	296113	325026	836314	180984	180984	202760	164079	422449	219327	219327	172561	724684	540106	0
Giá vốn hàng bán###Cost of goods sold	11909	11978	56539	12245	16849	13969	13476	54122	18897	9122	11299	14804	302446	17018	15366	16147	253916	143389	112107	11293	10914	9075	75739	10161	23942	14502	27134	186111	11592	107522	40286	26591	153848	13564	69548	38662	47456	352532	37523	153991	149971	206897	987834	152487	180193	241047	211547	651083	129396	129396	161090	127475	304378	176155	176155	0	599389	455461	0
Lợi nhuận gộp###Gross profit	32749	34279	148862	32474	48179	26726	41483	160847	59735	29990	39866	31255	176080	29302	28252	28762	89764	117364	46711	24964	23082	22606	127897	41720	42071	20039	24067	139963	18340	39314	49215	33207	134382	30695	40114	35606	32778	138059	37267	37306	32805	104059	356849	46763	41958	55066	113479	185231	51589	51589	41670	36604	118071	43172	43172	34923	125296	84645	0
Doanh thu hoạt động tài chính###Financial activities Revenues	6705	11230	34489	8999	7874	11282	5957	23353	5633	4705	3324	9691	41396	11153	8054	8083	14106	26891	3301	7930	3251	12410	13980	1801	6183	1980	4015	19130	3379	4969	2715	8068	17953	3135	2933	3994	4537	38441	13613	6611	14954	11941	48557	13320	8629	5453	9194	26537	4508	4508	6946	7723	36421	15633	15633	0	55438	57467	0
