CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	618792	897009	559149	468435	513192	507964	546878	510273	524534	516423	514898	504761	537338	538534	361204	332498	338017	328202	338263	236901	298444	274062	276854	294919	266747	308036	345541	453968	430199	571049	357747	340004	374564	357195	355058	318937	359923	331066	335363	338578	320209	403318	286972	264338	407441	378462	318818	371674	365206	309342	331446	338025	326308	326948	215076	243874	170811	169178	188491	172665	170550	182260	197213	197929	69274	34598
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	86127	344988	34153	34282	78514	58057	128730	56789	61879	73184	40704	63708	61961	61961	67382	61406	39184	56746	56744	34460	45452	32433	50564	50624	45537	49546	27602	42277	42429	81844	62857	35692	52419	52419	63915	33942	48237	52701	52701	62493	65139	34881	25475	24222	35823	50430	47137	54914	54982	25369	50153	49914	71931	72220	38395	30957	27294	36922	37388	35539	25682	35754	67446	67480	9087	1950
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	33606	33594	3595	28595	4692	533	533	49533	49533	81524	136486	127881	127860	127860	9000	21863	32276	32276	32276	31413	31000	31000	10000	0	1000	10650	29144	86650	115794	198244	33194	47394	43344	25117	48139	41339	58139	47675	47639	50439	38539	73277	75846	51846	78939	47029	45729	70729	71079	56199	64784	78850	47107	47107	478	29175	2175	2179	2179	1849	1725	6940	1750	250	13228	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	324147	369396	319190	289184	314808	264792	299763	301108	315400	275790	256909	227647	268148	269343	237920	205694	210352	187915	198355	148295	182780	178945	169985	197985	188443	215997	211049	269930	201603	218665	198944	216902	203901	204505	176646	190857	173494	179891	181929	158294	144539	167046	135959	138635	199078	172344	152415	181589	174692	152508	139120	149164	154687	154498	127770	134936	108932	105431	113675	95435	104209	94166	91432	91427	43867	28624
Hàng tồn kho###Inventory	138696	105229	174865	92737	83371	145284	70431	74190	69400	48235	45027	62105	62083	62084	29799	29183	41713	41880	40788	15049	29396	24001	40299	40297	27253	23673	65090	45321	45195	42614	38002	16029	49067	49067	36807	24096	49984	27089	29526	29520	17762	81192	14851	14730	51661	63987	26461	17438	17347	19060	32736	20783	15664	15664	15893	20073	13228	5125	4908	8917	9743	22256	14310	14326	1257	1201
Tài sản ngắn hạn khác###Other Current Assets	36217	43801	27345	23636	31806	39298	47421	28653	28322	37691	35772	23420	17287	17287	17103	14352	14492	9386	10099	7684	9817	7684	6006	6013	4514	8170	12657	9789	25179	29682	24750	23987	25834	26087	29551	28703	30070	23708	23568	37833	54232	46922	34841	34904	41941	44672	47075	47004	47106	56207	44652	39315	36920	37460	32539	28732	19182	19521	30342	30924	29192	23144	22275	24446	1835	2822
Tài sản dài hạn###Non-current Assets	1087676	1128932	1067857	1160517	1317506	1097469	1081601	1060902	986751	958799	937063	837203	808894	809005	745897	714002	707012	538119	538063	505215	477702	471085	474878	469084	472586	475417	483730	480816	512637	411452	421329	436737	441542	467621	464218	476165	483905	495044	493279	522174	548817	620092	650606	674246	688502	767639	789550	713806	713673	721870	689189	679089	659353	659348	585784	488324	418948	397349	399494	408956	402666	397583	387708	383165	61235	47383
Các khoản phải thu dài hạn###Long term Account Receivable	48085	53610	60867	153643	275746	70411	66820	84294	43338	73930	74943	80143	89508	89508	65516	55839	55871	49149	49149	35693	40177	43790	42012	40370	42436	42677	36240	20757	28000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12422	0	0	0
Tài sản cố định ###Fixed assets	100470	104264	99307	105092	98989	94759	98029	102756	90767	93712	92448	66130	61792	61792	64923	65061	66575	46297	46285	48825	49551	45096	43794	43419	45737	47876	50244	53572	53952	55287	57274	60446	64513	63515	66323	69994	73255	77257	77262	84087	88030	91820	106878	109806	114360	133894	136424	137856	139689	140741	136997	137626	117999	117993	108581	89580	89167	87834	87840	102320	100499	102183	103037	101809	48748	36847
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-183124	-179408	-175464	-182730	-181501	-170068	-162849	-160457	-151148	-149634	-145496	-99957	-118579	-118579	-115398	-114021	-112452	-105158	-105170	-104475	-102036	-99481	-97040	-97871	-96140	-93671	-90372	-87508	-88124	-72458	-70668	-66847	-64946	-67814	-65910	-64392	-62691	-60636	-60631	-58766	-56876	-54460	-59472	-59472	-56402	-57477	-54116	-50400	-50066	-52008	-48212	-44555	-41381	-41386	-38430	-35589	-32771	-30814	-30814	-38881	-35975	-33317	-30166	0	-10983	0
