CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1950938	1762051	1592129	1615129	1649154	1703564	1588012	1838589	1838589	1709068	2368850	1781431	1834731	1834731	1931281	1877065	1878480	1846733	1846733	1709382	1582211	1821442	1947304	1947304	1666850	1619187	1754094	1767245	1767245	1736779	1631992	1518186	1513999	1513999	1533090	2064458	2100049	2145122	2145122	1793682	1625267	1694380	1820141	1818881	1757405	1484686	1460874	1808396	1808596	1569040	1269885	1190902	1275696	1286582	1225730	1161008	952060	1097670	1100391	978934	905164	823679	821490	821490	612932	499554	389794	255142
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	464018	239888	346058	346058	182876	292460	302839	313908	313908	292459	468780	285102	230812	230812	314754	310215	349206	244992	244992	151682	161349	233313	369948	369948	138732	174294	318787	323338	323338	200596	209787	145467	111501	111501	69046	33044	30686	57587	57587	34476	14980	25474	36649	36649	34042	23992	38915	263224	263224	125755	28447	41604	89654	89654	71362	32106	21176	61678	66678	36249	25219	13391	45170	45170	21684	16208	97500	54017
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	13018	14518	16997	39997	39790	32036	32036	32036	32036	27497	27356	27356	27356	27356	18429	18429	23829	24664	24664	25057	25057	26497	26497	26497	28241	28241	33241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7000	45001	18500	5000	0	0	0	0	0	0	0	500	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	991038	1039169	832667	832667	841991	922144	774246	526117	526117	887266	791593	564163	771826	771826	604661	407523	459547	551445	551445	438843	484967	450501	489365	489365	429226	386569	256863	375163	375163	394250	436907	424687	489509	489509	516638	271595	240860	236236	236236	241403	197372	219009	226593	226593	225047	248401	196606	285801	286001	293668	221186	202678	186358	197244	193693	214605	190951	179462	182501	176808	190271	196554	227473	227473	126405	127972	80417	66810
Hàng tồn kho###Inventory	463475	448727	392144	392144	559946	447749	468223	941873	941873	499881	1060275	893824	799874	799874	990273	1116731	1026368	1008211	1008211	1067863	895491	1073170	1026005	1026005	1043278	1011843	1090778	1011910	1011910	1075556	930461	892449	860950	860950	906952	1702906	1777505	1821086	1821086	1476513	1347076	1369639	1472543	1471348	1421184	1136489	1134964	1200170	1200170	1084610	959211	882497	963197	963197	902226	829365	652168	803869	803551	707403	627570	553628	519578	519578	354266	270506	172316	132856
Tài sản ngắn hạn khác###Other Current Assets	19389	19750	4262	4262	24551	9175	10667	24654	24654	1966	20846	10985	4862	4862	3164	24168	19531	17420	17420	25938	15346	37960	35489	35489	27374	18239	54425	56834	56834	66378	54837	55583	52039	52039	40454	56913	50997	30213	30213	41291	65839	80258	84356	84292	77132	75804	90388	59201	59201	65008	61041	64123	36487	36487	51449	39930	69265	47661	47661	58473	62105	60106	29270	29270	110576	84367	39561	1459
Tài sản dài hạn###Non-current Assets	92116	93350	94596	71596	72851	73632	74636	78052	78052	79021	80192	177892	178909	178909	179889	175223	139297	140715	140715	142237	143718	145243	306909	306909	308318	309429	311038	422999	422999	421907	505307	506623	585451	585451	567070	222419	187536	187677	187677	186380	187777	189547	191075	191075	198966	198029	194260	137282	137282	172466	150776	155671	142026	142026	91283	93700	116690	117589	114110	103979	100119	117155	95127	95127	139547	125786	138249	189759
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	0	0	0	58403	58403	58403	58403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	17	17	17	17	17	17	17	17	17	538	538	0
Tài sản cố định ###Fixed assets	68287	69358	70440	70440	71522	72594	73676	74824	74824	76039	77203	76943	77998	77998	79023	74351	90189	91561	91561	92932	94303	95674	97046	97046	98417	99788	101297	102784	102784	104300	106043	107140	108515	108515	107240	108442	72939	72420	72420	70754	71815	72902	73802	73802	74828	76751	73827	57256	57256	58174	44917	46107	46333	46333	47798	48775	49442	50277	46798	37612	38394	38845	17378	17378	14229	13163	6409	3512
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-40108	-39054	-37988	-37988	-36923	-35868	-35351	-34219	-34219	-35010	-33792	-32689	-31589	-31589	-36499	-36895	-40322	-38971	-38971	-37619	-36268	-34916	-33565	-33565	-32213	-30862	-31341	-29841	-29841	-31612	-29903	-28485	-27074	-27074	-26517	-25335	-25442	-24477	-24477	-23478	-22436	-21369	-20655	-20655	-19543	-18769	-17607	-16628	-16628	-15659	-14690	-14196	-13201	-13201	-12656	-11621	-10516	-9701	-9769	-8820	-7906	-7030	-6229	-6229	-5718	-5241	-4565	0
