CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q1 2008	 2007
Tài sản ngắn hạn###Current Assets	183916	172278	165835	165860	123841	119731	134745	139831	139930	135014	129842	123494	142080	142105	149669	155853	130670	102061	106867	95898	88211	89872	88148	95926	65811	72369	77998	80356	86434	92699	89390	96638	91811	87286	89152	100829	85902	78706	78732	69808	60178	71183	78815	80371	78865	73701	78401	67687	67673	89682	47678	36535	23197	25942	25893	23321	22875	28947	28947	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	8134	3053	8859	8859	3991	7997	2422	3035	3035	3262	4812	2023	4687	4687	3599	5163	2112	2808	2808	2013	3313	3782	3913	3913	726	1776	572	2650	2650	4573	3889	2142	3922	3922	1747	4156	3253	5362	5361	2772	4587	3734	7242	7242	4306	3605	12306	13241	13241	38370	4767	6002	3374	3374	1299	1163	1267	2611	2611	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400	1400	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	157247	136439	135360	135403	102705	96890	118117	124516	124516	106579	94880	91293	108061	108061	121669	129222	110543	81907	86713	73494	64669	66725	68263	71469	44593	52684	58178	60940	61218	70512	61866	68903	62561	62608	61816	69600	49062	44397	44655	41253	31045	40619	47473	47489	45443	43354	41977	33046	33032	34060	29165	17968	10487	13005	13527	12031	13700	17347	17347	29097
Hàng tồn kho###Inventory	16258	27082	21220	21220	16130	12079	10550	10583	10583	22739	26751	26213	27315	27315	23543	20349	16211	17049	17049	19484	18952	17620	15678	20250	16917	16835	15744	16036	20608	15830	18806	20297	21782	18027	22254	23541	29045	26487	26487	23058	21878	23763	21750	21772	25294	22935	20165	18412	18412	15437	12181	11131	8552	8552	8384	7564	4952	4825	4825	0
Tài sản ngắn hạn khác###Other Current Assets	2277	5705	396	377	1015	2765	3657	1696	1795	2435	3399	3964	2017	2042	858	1120	1803	296	296	906	1278	1744	294	294	3575	1074	3504	730	1958	1784	4830	5296	3546	2730	3336	3532	4542	2461	2229	2724	2667	3068	2351	3869	3821	3808	3953	2988	2988	1815	1565	1434	785	1011	2683	2562	2957	2765	2765	0
Tài sản dài hạn###Non-current Assets	166372	165371	139410	139744	140529	154386	151708	145479	145479	122501	113249	106125	82331	82331	63181	58930	60688	65215	62785	63827	59076	61143	57311	49782	58862	60762	53977	54704	50132	52195	53333	55046	56431	61779	59750	59759	60961	53400	53780	51937	52575	51432	52725	51634	52825	54505	55897	59094	59148	56995	51793	46246	46867	47203	45636	46011	46762	47434	47434	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	115043	116108	119198	119532	122166	125143	81417	69259	61242	51380	44748	42978	44506	44506	46309	47858	49502	50376	50376	44785	46306	47756	43349	43348	44979	46012	39214	39597	39597	41116	42386	43810	46469	51817	49625	50347	51554	39137	48135	46469	46988	47616	40294	48339	48839	50010	51415	45065	53100	50820	45674	40283	41064	41036	40906	41299	42053	42737	42737	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-78593	-74875	-71165	-70831	-68537	-64948	-62219	-59526	-59526	-57258	-55316	-53521	-51737	-51737	-49938	-48151	-46244	-45767	-45767	-44083	-42445	-40777	-39161	-39162	-37455	-35895	-34376	-33865	-33865	-32401	-30942	-29472	-28228	-27752	-26558	-25639	-24056	-22884	-22884	-21871	-20853	-19645	-18444	-18444	-17238	-16034	-14831	-13630	-13602	-12880	-12003	-12096	-11379	0	-10770	-9975	-9181	-8155	-8155	0
