CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	921280	1132457	958063	973224	862634	820890	725065	601384	602142	591721	513785	510369	467512	485480	453075	440199	465240	438231	436053	496284	504533	531545	453725	469231	496605	450632	457531	425041	436600	458495	403949	359943	408358	427810	368295	376452	495906	513495	516787	596322	638742	687682	700730	717139	772631	862017	881342	923578	900078	954401	682532	644129	644129	342993	342993	286678
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	33836	15607	39680	39652	29896	15429	9996	3609	3609	6473	5615	4403	8221	8221	3685	6158	6335	10015	10015	6150	6280	9261	11256	11256	8179	7364	5402	7143	7141	15398	11328	4244	6702	6702	2141	2298	1835	4203	4203	13329	12652	13615	15361	4361	21744	24979	21254	7663	7663	20897	29422	45910	45910	39643	39643	1832
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11000	11020	51006	36960	16120	16120	23120	23000	23000	23000	11000	11000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	301662	476675	323340	325262	319559	269297	210113	163908	164055	174686	110135	118469	73118	87683	108731	71829	91203	76444	79475	89166	95722	167309	88114	96704	127035	106387	71695	58633	57279	102086	92283	48090	70752	92117	57290	61799	46488	82608	86224	99608	119272	110063	127704	138041	171351	247873	200788	203865	180866	264361	156148	99056	99056	76794	76794	77709
Hàng tồn kho###Inventory	561412	627731	580797	594051	500105	524042	491693	420979	421752	394771	376572	365150	363045	365542	313138	334666	340205	325103	318207	368313	366201	321258	322347	329700	341711	321630	370612	348720	359678	326704	287943	296454	316866	316865	298262	303348	437968	418402	418402	472065	494171	552020	536434	536681	544796	512528	587634	659569	659569	548119	389846	310337	310337	204278	204278	195179
Tài sản ngắn hạn khác###Other Current Assets	16371	12443	14247	14260	13073	12122	13263	12888	12725	15792	21464	22348	23128	24034	27520	27547	27498	26669	28355	32654	36329	33717	32007	31571	19680	15251	9821	10546	12503	14307	12394	11156	14038	12126	10602	9008	9614	8282	7958	11321	12648	11984	21232	27056	23721	25631	34706	36361	35859	97904	84116	165827	165827	11277	11277	11958
Tài sản dài hạn###Non-current Assets	541700	480932	465733	465356	398128	376587	300437	274919	270456	267472	266268	264244	265996	261344	256487	263861	253902	246205	244168	244715	244096	239340	224939	216636	225738	225638	195105	190621	196004	198699	195918	199950	200889	198823	359448	358883	203803	197852	198912	195656	195773	195308	194965	186740	177135	138152	143374	124977	148265	133939	128271	128879	128879	121648	121648	106365
Các khoản phải thu dài hạn###Long term Account Receivable	8775	8774	8774	8774	8780	8780	1305	1305	1247	1247	1247	1247	1247	1247	1247	1247	1247	1247	132	132	132	132	132	132	132	132	616	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	132	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	229416	198078	205584	202463	180149	201270	157678	137162	133488	133823	134425	139983	143630	139996	131751	138742	114353	111030	113044	114465	113916	117430	118092	111798	117341	118010	106545	102803	107305	110247	108356	106196	200590	197908	14361	13782	202527	123152	197324	194951	195035	192623	127585	183813	174348	137412	142611	118049	147445	133556	127888	128302	128302	115619	115619	100787
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-253983	-244928	-239732	-242964	-233594	-227774	-222605	-217484	-218274	-212306	-207124	-202378	-195235	-198870	-191866	-183685	-178564	-174364	-174629	-169479	-166305	-161854	-158011	-162012	-156183	-151056	-148046	-144068	-138599	-136250	-133106	-131683	-127129	-129814	0	0	-117674	-114340	-114958	-112394	-108954	-109174	-105827	-105769	-110099	-106328	-103090	-100799	-100737	-98178	-95916	-91448	-91448	-91525	0	-83922
