CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	278263	279184	253660	253532	296802	290978	274572	234327	269442	335540	249397	229206	224798	249292	232607	189010	168265	144713	143845	149880	155290	150173	134736	143066	184486	99852	95479	103424	103504	125436	129955	130117	135435	135435	136604	132286	164717	260024	264540	305866	308224	399535	316142	318102	341534	341858	186695	153320	153443	186588	116423	0	86654	35157
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	311	1041	3476	3282	5359	5374	5685	7841	7841	5545	12035	9716	5788	788	42234	39	529	167	2367	2959	4940	1900	6275	7225	62199	129	273	2628	2628	636	959	196	4164	4164	537	45	126	3207	3207	359	8046	5488	12492	12492	7318	28876	6758	19884	19884	3801	1465	0	4778	5340
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	371	371	371	371	1485	4100	4800	2200	2200	2200	2200	2200	2200	7200	2200	2200	2200	2200	0	0	950	950	950	0	0	0	0	0	0	0	0	0	0	0	4366	4366	5475	5475	5475	4782	7693	5821	5821	5821	9494	9494	15847	15847	15847	18573	18573	0	0	2378
Các khoản phải thu ngắn hạn###Short term Account Receivables	63384	61882	55377	56602	83937	93101	86682	94586	130569	161670	115028	101123	103836	128934	90016	102421	121291	89341	88304	94032	91543	106615	108530	116413	88575	70172	77904	86056	81227	85979	92104	96656	103295	103295	104997	103769	137545	231521	231525	261140	268569	342243	196708	198651	241570	219573	93584	69526	69648	78551	52243	0	30735	15530
Hàng tồn kho###Inventory	211914	211069	192141	191040	199630	184376	170609	125963	125252	157638	118159	112640	110320	109620	95088	81619	39820	51011	51006	50591	54062	37505	18152	18152	32586	22913	16933	14243	14243	34460	32768	29358	26794	26794	24543	21303	19361	17461	22032	37258	22847	44468	95767	95767	75868	75541	58095	38806	38806	72096	33582	0	42008	9363
Tài sản ngắn hạn khác###Other Current Assets	2283	4821	2295	2237	6391	4028	6796	3737	3579	8488	1976	3526	2655	2750	3069	2732	4426	1993	2168	2298	3796	3203	829	1276	1126	6637	369	497	5406	4361	4123	3907	1183	1183	2161	2803	2209	2361	2302	2326	1069	1515	5353	5371	7283	8374	12411	9257	9258	13568	10561	0	9133	2547
Tài sản dài hạn###Non-current Assets	52421	55720	59059	58815	66812	71414	77758	81334	81989	85814	84444	87413	89563	89472	80509	78777	82347	84674	84226	88609	82846	80703	71781	71427	53208	49636	52358	53314	53314	66971	67411	66817	67032	67032	65956	67449	62598	48404	45697	42286	28179	31198	32771	32771	34353	42994	45494	48240	48240	44060	45838	0	42671	18017
Các khoản phải thu dài hạn###Long term Account Receivable	1059	1059	1059	1059	1059	1059	0	0	779	0	0	0	0	0	0	0	0	447	0	447	447	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	47461	50412	53367	52573	60503	64695	72294	75488	75488	78374	77862	79856	81723	81633	68701	70538	73769	75687	75687	77373	73837	64861	57050	57050	31782	34204	36330	37842	37842	22675	24647	59613	61708	61708	52671	53348	37956	39366	40401	37476	23462	26570	27108	28143	25453	34094	36594	38304	39340	32694	34472	0	33771	9117
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-81813	-78862	-75907	-76701	-72936	-70629	-66987	-62062	-62062	-60822	-57018	-53120	-51156	-50194	-56336	-54411	-51328	-49594	-49594	-49096	-47274	-47544	-46294	-46294	-46726	-48082	-45869	-44357	-44357	-45076	-43105	-41111	-39017	-39017	-36877	-36762	-38043	-35598	-35598	-33287	-31229	-29245	-26530	-26530	-29105	-20114	-17372	-14600	-14600	-9336	-7566	0	-4119	-765
