CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	436895	448080	423646	423398	419983	420748	411439	394516	396415	391643	394340	484658	473872	473550	358785	357108	387370	533463	533463	427350	424901	501393	491921	494076	517262	537880	456411	478364	506036	733914	727788	722696	693003	816471	492067	482920	434215	376473	325692	330832	306484	307000	303196	302356	359796	334880	322081	322847	317343	312827	314931	284864	278150	321742	257391	274000	338380	281375	469549	458624	396373	251826	374177	374177	279317	124940	86710	76575	76575	62615	44060	26168	23574	23331	23426	28737	25225
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4004	2365	8721	8721	9535	3975	5197	5098	5099	5997	6612	7239	105482	105482	4488	7610	3263	6290	6290	8792	7283	15164	10568	10568	9398	8888	7015	6919	6919	12178	13517	18508	57878	76578	19524	41820	32941	22447	19433	18746	31392	17220	26279	26279	24174	17150	41237	26609	26870	25929	32268	27573	38322	38887	17631	32326	32288	38551	57252	22582	8375	30034	82703	82703	121707	8327	21456	4843	4843	11916	7745	294	829	899	1386	1431	3073
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	50440	42700	44700	44700	35700	29700	24700	22700	22700	16900	16900	16900	15900	15900	15900	16778	46733	46733	46733	46733	46733	114000	114017	114017	160969	152331	62230	96435	96435	337757	323334	322341	326432	332732	60701	69137	55974	46016	46016	15883	10303	374	420	420	86205	125500	107507	111102	90079	96852	100134	84715	75609	78389	46423	51988	92856	104262	136522	254627	211537	97804	198472	198472	8596	2892	6153	3541	3541	21457	11853	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	283111	297975	253492	253469	258068	265386	277246	273307	274682	278579	289173	366744	261574	261361	254290	249602	252090	388101	388101	282535	271982	272108	281095	283249	273498	287910	274651	257196	284868	270340	256437	250720	195294	295023	296781	245449	229803	206523	159753	199258	174626	185887	187107	186552	173338	115942	107444	116219	130518	106695	90083	84574	81191	122845	115157	113989	127648	47816	194383	73577	76093	47950	47853	47853	127106	88976	40357	38747	38747	13541	9991	20997	17571	14539	14857	20027	15329
Hàng tồn kho###Inventory	91479	95539	108056	107845	105575	110686	94130	84164	84612	77918	67791	81811	80120	80120	70761	69192	70504	81609	81609	77558	78514	83238	78842	78842	71108	82694	99423	104599	104599	104032	120355	109357	101510	100260	102294	113682	103807	91878	90924	88749	83261	93241	79988	79815	62945	64022	55738	58015	59190	63187	73326	72934	66976	64073	66381	65653	75565	78785	65529	92181	81050	57863	34153	34153	15960	18204	16441	20956	20956	2034	2317	2916	3714	3714	4199	2507	4057
Tài sản ngắn hạn khác###Other Current Assets	7861	9503	8677	8663	11106	11001	10166	9247	9321	12250	13863	11964	10795	10687	13346	13926	14781	10731	10731	11732	20390	16882	7399	7399	2289	6058	13092	13215	13215	9608	14145	21770	11889	11878	12766	12833	11689	9609	9567	8195	6902	10277	9402	9290	13134	12266	10155	10901	10686	20164	19120	15067	16052	17548	11799	10044	10023	11960	15863	15657	19318	18176	10996	10996	5948	6541	2303	8489	8489	13667	12153	1961	1460	4179	2984	4771	2765
Tài sản dài hạn###Non-current Assets	392811	381459	388246	388459	415948	420562	422028	425885	425696	417687	418726	321308	321726	321542	437359	439774	478259	448017	448017	615632	643450	625303	625828	625906	623986	624152	613428	613286	630512	604906	597693	523060	522335	435952	395538	389985	392600	381475	431185	390462	390663	386308	384475	387021	329618	319914	319955	320287	320551	328534	320603	414094	413726	413192	403824	407112	411710	392593	316946	353060	357719	495624	358095	358095	210009	190642	189211	187243	187243	166339	163094	141632	139764	139782	130262	134918	127198
Các khoản phải thu dài hạn###Long term Account Receivable	78350	75636	78636	78636	102950	103236	103486	103486	103486	103836	103836	6600	6600	6600	6850	6850	6850	6856	6856	7356	7406	8878	8946	9064	9960	9723	10523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	295	439	85	85	0	0	7139	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	75533	69418	73544	73544	77493	81439	84297	88568	84889	76371	77820	74740	75277	75277	78114	80582	84372	88426	88426	84768	86870	90406	93685	93644	99879	101355	105561	471464	109877	114523	119121	123119	385013	323754	281844	275729	263949	136156	251913	241705	241845	234455	145904	233517	222753	210283	206493	142427	202695	208937	201364	256380	257195	256364	238778	243811	245077	251096	251269	262596	261447	284036	265108	265108	157926	146149	136532	152192	153140	136259	131984	119757	118217	118221	115841	112058	107689
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-203009	-195809	-193278	-193278	-190922	-189926	-186007	-183814	-181409	-183966	-181182	-180678	-176743	-176743	-174355	-172364	-168452	-164374	-164374	-165185	-161337	-157095	-152660	-152700	-146628	-144044	-139854	-135459	-135459	-135395	-130616	-126183	-121585	-121631	-117079	-112489	-109837	-105347	-105229	-100890	-96571	-92602	-89787	-89798	-85765	-82422	-79463	-75550	-75433	-72211	-68310	-86600	-81447	-81647	-78843	-74260	-55076	-64696	-62649	-54361	0	-45427	-38809	-38809	-14946	0	-11366	-22112	-22112	-10549	-10116	-9637	0	0	0	0	0
