CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	 2015	Q4 2015	 2014	Q4 2014	Q2 2014	 2013	Q4 2013	Q3 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	336290	96541	128174	128174	152494	192802	217728	214360	283948	219365	137613	206806	163115	163060	175207	142790	154033	149154	149154	72332	72332	91510	91510	86414	60664	60664	66973	105527	90061
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	39645	14025	19482	21546	40819	97115	91625	75917	106917	107322	11491	51073	23636	23636	38762	19365	12848	38690	38690	22761	22761	30836	30836	26574	6457	6457	19042	38395	56753
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2505	5000	2064	0	0	2064	0	1000	0	0	1000	0	0	0	0	0	16000	438	438	0	0	0	0	0	2000	2000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	275215	57342	90288	90288	96116	78296	108706	111867	151905	97117	100501	130786	109335	109335	110296	102379	110414	97364	97364	36890	36890	57688	57688	53836	48043	48043	44689	63844	27428
Hàng tồn kho###Inventory	14785	19267	15717	15717	14172	13654	14412	21626	21626	12537	15308	15598	13305	13305	13998	12604	9668	8227	8227	10590	10590	1697	1697	2345	1226	1226	844	1266	4034
Tài sản ngắn hạn khác###Other Current Assets	4140	907	624	624	1387	1672	2985	3950	3499	2389	9313	9349	16839	16784	12151	8443	5103	4436	4436	2090	2090	1290	1290	3659	2939	2939	2399	2022	1846
Tài sản dài hạn###Non-current Assets	2665734	1436625	1458248	1458248	1481814	1504224	1530012	1539345	1539951	1537312	1524246	1408322	1367108	1367163	1323232	1288655	1264358	1256055	1256055	1124771	1124771	1162885	1162885	1183965	1233859	1233859	1235754	1291350	1367343
Các khoản phải thu dài hạn###Long term Account Receivable	648745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1788878	1409608	1432345	1432345	1454836	1477562	1481202	1491981	1493346	1072961	1087003	1105069	1122721	1122721	1136181	998214	1014293	1030376	1030376	1058054	1058054	1141722	1124739	1144464	1204209	1192956	1194196	1245695	1314316
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-960384	-626793	-604932	-604932	-583071	-561222	-539552	-517052	-517133	-496604	-479423	-462797	-445635	-445635	-429683	-412623	-397313	-382000	-382000	-373056	-373056	-302993	-302993	-264062	-232182	-232182	-211984	-159606	-90314
