CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	805957	694419	635587	635587	637585	679028	677463	603189	603189	562176	568201	523290	492370	492370	654260	574577	639129	605005	605005	584643	574863	722742	585876	585876	536527	522419	572454	480360	480360	652691	603363	516142	493460	493460	511628	506548	534988	544694	544694	594134	600011	632506	592129	592129	605779	588211	622329	527604	527604	477233	0	0	357046	0	0	0	264571	255599	255657	281773	266852	220512	0	205546	258872	0	122362
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	377261	286238	296858	296858	276170	257367	302182	279500	279500	238260	251087	238737	212264	212264	325174	274190	246414	331452	331452	328546	322056	477606	332398	332398	286103	329001	337300	216025	216025	429296	365256	290697	281725	281725	312653	299929	43361	46856	46856	65317	47044	54178	59052	59052	60977	60721	80983	88632	88632	63139	0	0	58985	0	0	0	51834	79237	79237	48518	74060	43708	0	47711	51034	0	47063
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	69400	22506	3300	3300	3300	3300	3300	3300	3300	3300	3856	4405	49155	49155	69369	68355	11341	32327	32327	20524	21518	41462	78526	78526	52426	48404	31426	52106	52106	80229	76957	78380	60857	60857	33926	33095	319135	330605	330605	331346	346953	371630	389403	389403	369870	375653	407669	332694	332694	256441	0	0	167676	0	0	0	102911	83030	82955	121069	88382	77913	0	82182	84585	0	4724
Các khoản phải thu ngắn hạn###Short term Account Receivables	215619	258376	211130	211130	231319	299434	232324	201088	201088	217464	216447	190830	155425	155425	192435	185447	272562	130269	130269	120989	124569	109327	92981	92981	137520	122843	149806	158634	154266	114262	133530	121901	121091	121091	137773	133368	134065	126541	126541	154287	172201	176197	125671	125671	154539	130822	115917	89686	89686	141001	0	0	117932	0	0	0	99178	80197	80305	105142	86498	92892	0	69643	119174	0	69588
Hàng tồn kho###Inventory	25351	25045	26442	26442	31558	25295	20674	20524	20524	21711	21133	17549	13370	13370	12759	9831	9216	9263	9263	14119	13443	12774	9960	9960	9688	9229	8345	7338	7338	11276	11370	11365	10323	10323	13143	13095	12608	15305	15305	21885	20680	21883	8493	8493	12682	13226	12747	11820	11820	12168	0	0	3339	0	0	0	3096	3258	3258	2774	3165	2765	0	2605	1794	0	917
Tài sản ngắn hạn khác###Other Current Assets	118325	102254	97858	97858	95237	93632	118983	98778	98778	81442	75679	71769	62156	62156	54522	36754	99596	101693	101693	100465	93278	81573	72011	72011	50789	12942	45577	46257	50625	17627	16249	13799	19464	19464	14134	27061	25819	25386	25386	21299	13133	8617	9510	9510	7711	7789	5014	4773	4773	4484	0	0	9113	0	0	0	7553	9876	9903	4270	14748	3233	0	3405	2285	0	71
Tài sản dài hạn###Non-current Assets	1671044	1705790	1757658	1757658	1773762	1808531	1836983	1885894	1885894	1926020	1939866	1968722	1986633	1986633	1925006	1920418	1755346	1792433	1792433	1798646	1748312	1674122	1638136	1638136	1308824	1075854	979595	1014742	1014742	614124	641254	642166	639103	639103	556053	532203	527618	509865	509865	450693	365347	267788	264809	264809	226017	228467	231545	283972	283972	273481	256400	253570	290303	255671	256468	191021	183144	182623	182451	158660	157775	159857	144427	150933	141079	109571	87887
Các khoản phải thu dài hạn###Long term Account Receivable	1479	323	353	353	53	53	53	53	53	53	53	53	53	53	0	0	0	0	0	0	291	291	291	291	0	0	-747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	156	0	0	0	0	0
Tài sản cố định ###Fixed assets	1016896	1029230	1082398	1082398	1094060	1114897	1153155	1189337	1189337	1230073	1229325	1260991	1201904	1201904	1209089	1161354	1184729	1215129	1215129	1166899	1092392	939140	958833	958833	384929	373400	386916	415334	415334	430760	446292	454233	456542	456542	392579	370744	366460	351831	364798	295535	231981	219524	189784	212304	191133	195790	201593	244229	255177	246170	256400	253570	255671	255671	256468	191021	153685	151038	150866	147601	147315	148854	144427	144427	138323	109571	85753
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1240794	-1186233	-1133500	-1133500	-1079509	-1026645	-983939	-931529	-931529	-876042	-831082	-783302	-733641	-733641	-689897	-648553	-605515	-562439	-562439	-521006	-482990	-448995	-412172	-412172	-391403	-374944	-359185	-353655	-353655	-336850	-319771	-302836	-293502	-293502	-282383	-267958	-253797	-239159	-239159	-229745	-219348	-209037	-199482	-199482	-193104	-182782	-177007	-174409	-174409	-163667	0	0	-131913	0	0	0	-107319	-99803	-99820	-98806	-92106	-85808	0	-79000	-72668	0	0
