CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	1263765	955205	941907	955817	882084	871250	890709	912799	953932	1029962	1046625	725885	833680	824832	904725	763549	311024	320400	319024	343802	604483	305288	367282	358905	399836	287529	309557	270204	278158	205638	196619	202148	204664	205654	171611	185545	207875	164977	165610	153053	133413	115893	118325	115893	100292	108363	129294	108363	177676	208516	130691	129932	170755	170755	105444	85356	44184	43844	81684	85576	86996	98849	97306	110887	101527	37357	45737	45716	38918	44760	47318	47318	47303	47623	30340	27137
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	310539	320031	329619	404275	356596	261017	222352	337230	325402	278010	408884	180263	244474	242392	211514	244625	99908	122977	152977	170655	119129	108063	235469	204039	239520	178725	193148	172007	170959	77337	88372	97215	90512	95012	84886	100399	107365	87794	87916	72948	66187	35669	56486	35669	34962	37076	60609	37076	102771	120976	55584	53270	53170	53170	61423	63489	22551	22551	10816	9638	21704	21021	21021	15041	21526	16637	20812	20812	27623	28492	38151	38151	38151	37614	22382	18377
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	290014	117245	141738	67241	58139	106826	140348	92428	84428	198030	112218	66898	53109	109459	158417	58723	51304	47302	17302	20908	23196	47824	13925	45195	45279	15888	16771	9727	9727	4249	20941	25845	25903	21403	5640	3799	2716	2123	2123	2223	1722	8676	1653	8676	6884	5159	7977	5159	7045	7031	6429	4092	4092	4092	255	255	255	255	53449	60675	48154	58102	58102	83055	63000	3000	8000	8000	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	640084	495026	447798	461868	440450	476029	500467	457473	516411	517070	492743	451065	511218	448427	507101	432194	133351	122219	120740	122170	404072	103751	78966	70818	93428	76450	75650	65650	76897	100313	67150	56184	57083	58131	57753	54271	76628	47125	47536	53756	47222	43290	39494	43290	31151	36715	37979	36715	46594	58636	48785	57702	98963	98963	34466	10603	11513	11453	8768	8236	9152	10941	9398	5959	10373	10987	12773	12672	9770	14438	7851	7851	7845	6378	5002	5820
Hàng tồn kho###Inventory	5488	5394	5301	5293	6229	6843	6686	5890	8165	6648	6709	6478	5294	5294	5462	4938	5501	5577	5577	6421	6812	6647	7456	7456	6825	5776	5966	5466	5466	10198	6755	9333	16097	16097	9994	11428	7090	14418	14511	10666	6540	7762	8157	7762	9505	10885	7930	10885	8071	9322	8635	5421	5065	5065	3475	2362	2574	2574	1754	2420	2273	2102	2102	1979	2586	3041	1286	1286	1318	1508	1285	1285	1285	1425	981	893
Tài sản ngắn hạn khác###Other Current Assets	17641	17508	17451	17140	20671	20535	20856	19777	19525	30204	26071	21180	19584	19260	22230	23069	20961	22325	22427	23649	51275	39004	31465	31397	14786	10690	18022	17353	15108	13541	13401	13570	15069	15011	13338	15648	14076	13516	13524	13459	11742	20496	12534	20496	17790	18528	14800	18528	13196	12550	11257	9447	9465	9465	5825	8647	7292	7011	6897	4607	5713	6683	6683	4852	4042	3692	2866	2946	207	323	31	31	22	2205	1976	2047
Tài sản dài hạn###Non-current Assets	2464791	2374133	2368352	2245313	2222041	2309309	2199296	2253413	2256854	2098456	1975891	1897012	1903681	1907747	1722655	1736886	1715098	1685878	1686204	1584843	1270539	1263271	1052788	1049986	910515	832352	775592	741525	735361	686953	667213	648383	631846	632001	629720	617925	589121	590702	589128	587960	538036	507518	529975	507518	494293	475447	469278	475447	440951	393597	355656	329294	287112	287112	237255	196669	182087	182087	140591	124707	117633	114365	114901	102601	100699	99544	101367	100937	83833	75001	67394	67394	67394	66230	64090	62083
Các khoản phải thu dài hạn###Long term Account Receivable	15145	18734	17519	21663	13220	14428	14037	11527	11761	8357	11499	10196	9408	7999	7999	42777	290	3322	3322	1702	569	569	33475	33185	33185	20269	20000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1001647	940013	1006281	1003224	996355	1003285	984607	824634	825585	777542	780941	793047	776325	777203	759761	773699	761723	762692	763640	374830	365735	341750	315350	315329	300874	308179	306463	309198	284057	262222	268046	266832	280555	280342	286874	291186	234834	213806	224228	225182	232121	239703	238069	246042	249435	245053	199976	245053	230506	204300	198686	175257	131709	131709	95312	175498	162461	161042	130055	119371	112257	108989	109323	97016	95194	94038	95942	95942	78461	69913	62187	62187	62187	60104	58135	55491
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-446298	-414750	-417922	-424740	-406656	-381212	-374477	-351889	-351357	-336820	-322397	-316397	-301650	-301119	-289577	-275211	-252604	-239914	-239311	-237175	-231400	-222564	-213987	-213376	-205788	-201454	-197222	-189912	-188621	-184099	-179749	-172431	-167719	-166458	-161631	-154739	-149678	-143410	-143410	-139505	-134345	-122239	-127790	-122239	-115661	-108990	-97804	-108990	-95387	-90262	-89112	-84202	-84243	-84243	-80065	-73497	-69185	-69185	-64956	-61150	-57210	-53623	-53623	-50181	-48393	-47329	-44518	-44518	-42019	-39811	-35116	0	0	0	0	0
